"Daily Weather Observations for Murwillumbah, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2091.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Murwillumbah (Bray Park) {station 058158}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.4,21.6,51.5,,,,,,17.9,96,8,W,2,,,,,,,
,2021-05-2,16.2,24.0,11.0,,,,,,20.5,85,7,W,7,,,,,,,
,2021-05-3,16.6,25.2,4.0,,,,,,20.3,79,3, ,Calm,,23.2,76,3,SE,13,
,2021-05-4,12.7,25.6,,,,,,,19.6,81,1,SW,4,,23.5,75,5,E,6,
,2021-05-5,14.5,17.8,3.5,,,,,,16.5,90,8,W,4,,15.0,94,7,NW,4,
,2021-05-6,,23.0,17.0,,,,,,17.0,78,2,NW,2,,23.0,74,4,SE,4,
,2021-05-7,11.6,26.4,0,,,,,,20.0,79,2, ,Calm,,25.6,81,4,WNW,4,
,2021-05-8,14.3,27.4,0,,,,,,20.6,78,1,SSW,2,,,,,,,
,2021-05-9,15.1,,0,,,,,,19.0,92,4, ,Calm,,,,,,,
,2021-05-10,,28.0,,,,,,,,,,,,,26.0,88,3,E,9,
,2021-05-11,15.5,28.3,5.0,,,,,,20.5,86,6,W,2,,27.5,88,2,NE,11,
,2021-05-12,16.5,22.4,21.5,,,,,,18.0,90,7,W,4,,20.0,95,7,W,2,
,2021-05-13,15.5,,14.0,,,,,,19.5,84,1,SW,6,,,,,,,
,2021-05-14,,,0,,,,,,,,,,,,,,,,,
,2021-05-15,,,0,,,,,,,,,,,,,,,,,
,2021-05-16,,,0,,,,,,,,,,,,,,,,,
,2021-05-17,,22.9,0,,,,,,,,,,,,,,,,,
,2021-05-18,9.3,22.1,0,,,,,,16.2,87,4,NW,4,,20.2,92,5,SE,7,
,2021-05-19,14.1,,0,,,,,,18.6,92,2,W,6,,21.0,86,5,S,6,
,2021-05-20,,23.5,0,,,,,,,,,,,,23.0,91,3,ESE,11,
,2021-05-21,9.5,22.0,0,,,,,,18.0,80,2,SSW,6,,20.8,92,3,SE,7,
,2021-05-22,14.3,22.6,0.4,,,,,,19.0,72,1,SW,19,,,,,,,
,2021-05-23,14.5,23.2,0,,,,,,19.0,76,1,W,15,,,,,,,
,2021-05-24,13.1,22.7,0,,,,,,18.9,99,1,S,19,,21.8,89,3,S,15,
,2021-05-25,14.5,22.0,0,,,,,,16.7,85,8,SW,11,,20.2,89,,S,2,
,2021-05-26,10.7,25.0,0.2,,,,,,16.0,89,0,,,,25.0,,1,E,4,
,2021-05-27,11.7,22.6,0,,,,,,17.2,80,4,SW,7,,20.4,89,0,SE,9,
,2021-05-28,7.1,20.8,0,,,,,,16.4,75,0,NW,2,,19.6,87,0,SE,7,
,2021-05-29,11.5,19.9,,,,,,,15.4,56,3,SW,9,,,,,,,
,2021-05-30,10.4,20.0,0,,,,,,15.6,67,7,SW,6,,,,,,,
,2021-05-31,11.0,22.1,0,,,,,,17.4,62,7,S,4,,22.0,58,3,SW,11,
