"Daily Weather Observations for Murwillumbah, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2091.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Murwillumbah (Bray Park) {station 058158}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,9.0,24.5,0,,,,,,16.5,79,6,SW,2,,23.0,52,3,E,6,
,2021-06-2,10.5,23.6,0,,,,,,14.5,89,7, ,Calm,,22.1,80,8,N,6,
,2021-06-3,12.9,21.0,0,,,,,,15.5,99,6,SW,4,,17.0,95,8,SW,2,
,2021-06-4,9.4,22.2,2.0,,,,,,17.8,73,0,NE,6,,,,,,,
,2021-06-5,9.8,20.7,0,,,,,,17.5,87,0,W,15,,,,,,,
,2021-06-6,6.7,22.5,0,,,,,,13.5,83,0, ,Calm,,,,,,,
,2021-06-7,6.9,22.6,0,,,,,,13.0,86,0, ,Calm,,22.6,86,,,,
,2021-06-8,7.5,22.4,0,,,,,,11.5,94,4,S,2,,20.0,60,6,NE,4,
,2021-06-9,11.0,,0.6,,,,,,16.8,62,8,W,30,,17.5,23,0,W,30,
,2021-06-10,,18.5,0,,,,,,,,,,,,17.5,27,2,NNW,7,
,2021-06-11,3.5,20.3,0,,,,,,11.0,68,3,W,2,,20.0,44,3,W,13,
,2021-06-12,4.2,21.5,0,,,,,,11.5,82,0,SW,2,,,,,,,
,2021-06-13,3.0,21.4,0,,,,,,10.0,87,0, ,Calm,,,,,,,
,2021-06-14,5.3,22.5,0,,,,,,14.4,69,0,SW,4,,,,,,,
,2021-06-15,9.0,21.0,0,,,,,,15.0,79,5,W,6,,,,,,,
,2021-06-16,9.9,24.4,9.5,,,,,,12.2,94,8,,,,23.5,42,0,NE,19,
,2021-06-17,11.5,,,,,,,,21.8,63,1,N,6,,24.2,38,0,WSW,9,
,2021-06-18,,24.7,0,,,,,,,,,,,,20.8,37,2,SW,11,
,2021-06-19,3.9,21.1,0,,,,,,16.0,50,0,WSW,11,,,,,,,
,2021-06-20,13.5,21.0,0,,,,,,18.5,54,1,WSW,30,,,,,,,
,2021-06-21,11.5,21.0,0,,,,,,17.5,61,2,SW,9,,20.0,55,4,SW,9,
,2021-06-22,11.5,21.5,0,,,,,,17.0,65,3,SW,6,,21.0,51,3,S,7,
,2021-06-23,11.5,21.8,1.0,,,,,,16.0,79,5,W,4,,21.0,61,8,NE,7,
,2021-06-24,13.9,21.5,1.8,,,,,,17.6,88,6, ,Calm,,20.0,72,7,NE,9,
,2021-06-25,16.6,22.1,,,,,,,20.4,69,8,N,4,,21.5,65,8,NE,2,
,2021-06-26,15.4,18.6,1.1,,,,,,17.9,69,8,W,2,,,,,,,
,2021-06-27,7.4,21.0,0,,,,,,16.4,52,1,NW,2,,,,,,,
,2021-06-28,7.4,20.6,0,,,,,,15.1,67,0,SW,2,,20.0,47,3,SW,9,
,2021-06-29,13.1,20.1,0.8,,,,,,15.0,87,7,SSW,7,,20.0,64,4,SW,6,
,2021-06-30,12.5,19.5,18.0,,,,,,14.5,94,7,NW,7,,19.0,72,4,SW,7,
