"Daily Weather Observations for Murwillumbah, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2091.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Murwillumbah (Bray Park) {station 058158}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,13.6,19.5,20.0,,,,,,16.0,91,7, ,Calm,,17.5,90,7,S,4,
,2021-07-2,15.4,20.0,48.0,,,,,,17.4,91,7, ,Calm,,20.0,81,6,S,2,
,2021-07-3,15.0,17.4,16.0,,,,,,16.2,94,8, ,Calm,,,,,,,
,2021-07-4,12.3,19.5,5.2,,,,,,16.6,87,3,SW,7,,,,,,,
,2021-07-5,,20.0,0,,,,,,15.0,79,4,NW,4,,18.0,62,6,S,2,
,2021-07-6,8.5,19.7,0,,,,,,12.0,76,7,SW,6,,19.0,46,5,W,4,
,2021-07-7,5.1,20.7,0,,,,,,12.2,74,0,SW,6,,20.0,47,2,SE,7,
,2021-07-8,7.2,21.3,0,,,,,,14.0,79,2,W,2,,20.0,55,4,NE,11,
,2021-07-9,13.1,21.3,5.5,,,,,,15.5,96,8,,,,19.0,73,3,NE,2,
,2021-07-10,10.2,21.2,4.0,,,,,,16.2,57,0,S,4,,,,,,,
,2021-07-11,14.2,20.7,0,,,,,,17.1,58,0,SW,15,,,,,,,
,2021-07-12,11.5,,0,,,,,,15.8,70,7,SW,6,,17.5,66,6,SE,11,
,2021-07-13,,23.0,0,,,,,,,,,,,,,,,,,
,2021-07-14,9.4,22.0,0,,,,,,13.5,88,5,SW,2,,22.0,50,3,NE,6,
,2021-07-15,12.7,23.6,1.0,,,,,,18.0,86,8, ,Calm,,22.0,70,6,W,2,
,2021-07-16,13.0,23.9,2.0,,,,,,24.0,64,5,N,7,,18.4,79,6, ,Calm,
,2021-07-17,14.2,23.0,0.2,,,,,,18.1,28,0,W,22,,,,,,,
,2021-07-18,5.0,21.0,0,,,,,,14.5,47,0, ,Calm,,,,,,,
,2021-07-19,5.0,21.5,0,,,,,,11.0,75,6,W,2,,20.2,53,2,NE,6,
,2021-07-20,3.0,,0,,,,,,11.0,75,1,NW,17,,19.0,30,5,W,7,
,2021-07-21,,,0,,,,,,,,,,,,17.5,34,2,S,19,
,2021-07-22,,20.3,0,,,,,,,,,,,,,,,,,
,2021-07-23,3.5,21.3,0,,,,,,11.9,89,7, ,Calm,,18.7,63,7,WSW,11,
,2021-07-24,8.1,,1.6,,,,,,18.6,75,1,E,2,,,,,,,
,2021-07-25,,23.2,0,,,,,,,,,,,,,,,,,
,2021-07-26,4.4,22.3,0,,,,,,14.0,48,0,NNW,4,,22.3,34,5,NE,11,
,2021-07-27,4.9,23.2,0,,,,,,11.6,77,0,SW,2,,22.5,29,0,N,19,
,2021-07-28,5.5,24.0,0,,,,,,20.0,60,1,NW,2,,,,,,,
,2021-07-29,13.4,25.5,0,,,,,,19.0,73,2,SE,2,,25.0,28,4,SW,7,
,2021-07-30,5.2,21.5,0,,,,,,15.6,53,1, ,Calm,,20.5,37,2,NE,11,
,2021-07-31,4.5,23.3,0,,,,,,15.6,77,0, ,Calm,,,,,,,
