"Daily Weather Observations for Narooma, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2092.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,9.0,18.5,0.8,,,,,,16.0,69,3,S,6,,17.0,59,4,SE,9,
,2020-10-2,8.5,20.0,0,,,,,,16.2,71,0,N,7,,19.0,63,0,SE,9,
,2020-10-3,9.9,21.2,0,,,,,,19.0,67,0,N,9,,20.0,68,0,NNE,37,
,2020-10-4,13.3,22.1,0,,,,,,16.0,72,1,W,7,,20.5,70,2,N,11,
,2020-10-5,15.0,30.1,0,,,,,,22.0,58,7,N,7,,22.5,55,7,NNE,9,
,2020-10-6,12.5,16.0,1.6,,,,,,13.4,96,8,W,4,,14.7,92,8,SW,6,
,2020-10-7,11.6,17.0,29.0,,,,,,16.0,100,8,N,4,,16.8,98,8,NE,7,
,2020-10-8,15.5,25.8,33.0,,,,,,16.1,99,8,N,13,,24.0,38,3,N,22,
,2020-10-9,13.0,24.5,0.2,,,,,,17.5,53,6,W,7,,22.4,37,6,W,6,
,2020-10-10,9.5,21.5,0.4,,,,,,16.5,59,0,W,4,,18.5,66,5,SE,4,
,2020-10-11,11.5,18.4,0,,,,,,16.0,79,7,S,15,,17.5,64,8,SE,9,
,2020-10-12,12.3,19.0,0.2,,,,,,15.4,88,7,S,2,,17.0,89,5,NE,15,
,2020-10-13,12.6,21.7,0,,,,,,17.4,82,0,NE,7,,19.0,76,4,SE,6,
,2020-10-14,12.4,18.0,2.0,,,,,,14.0,97,8, ,Calm,,15.8,85,8,E,7,
,2020-10-15,12.5,21.5,0.2,,,,,,18.0,81,1,N,13,,21.5,71,5,NNE,11,
,2020-10-16,12.5,16.9,9.8,,,,,,13.5,72,8,S,7,,16.9,62,8,E,2,
,2020-10-17,12.2,19.5,4.8,,,,,,14.9,84,8,N,19,,19.0,85,8,N,24,
,2020-10-18,14.3,18.5,3.2,,,,,,15.2,96,8,E,7,,18.4,66,3,E,9,
,2020-10-19,12.3,17.0,0,,,,,,13.3,61,8,S,6,,16.0,57,6,E,9,
,2020-10-20,12.5,17.8,0,,,,,,16.0,61,5,NNE,4,,17.3,72,1,NE,19,
,2020-10-21,13.2,19.3,0,,,,,,17.4,76,1,N,7,,18.8,82,3,ENE,46,
,2020-10-22,14.0,20.0,0.4,,,,,,16.0,84,8,SW,15,,19.0,81,4,ESE,4,
,2020-10-23,15.0,21.5,0,,,,,,19.0,81,3,NE,7,,21.2,80,6,NNE,22,
,2020-10-24,16.4,20.6,2.0,,,,,,18.6,90,8,N,9,,20.0,82,8,S,22,
,2020-10-25,10.0,15.2,11.2,,,,,,11.5,76,8,SW,9,,14.5,68,8,S,24,
,2020-10-26,9.5,15.8,13.0,,,,,,11.2,79,8,SW,17,,15.0,66,7,SE,15,
,2020-10-27,9.0,17.4,22.0,,,,,,12.5,94,8,SW,9,,16.5,79,5,SE,19,
,2020-10-28,12.4,19.0,2.2,,,,,,16.5,76,5,W,6,,18.4,75,2,ESE,19,
,2020-10-29,12.1,20.0,0,,,,,,16.4,85,5,W,4,,18.5,81,7,SE,6,
,2020-10-30,13.5,20.1,0.6,,,,,,17.6,79,6,E,4,,20.0,68,4,E,11,
,2020-10-31,15.3,18.2,18.4,,,,,,18.0,84,8,E,22,,17.5,90,8,E,37,
