"Daily Weather Observations for Narooma, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2092.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,14.0,20.2,25.4,,,,,,14.7,92,8,SW,26,,20.0,66,1,S,24,
,2020-11-2,12.2,20.8,1.9,,,,,,18.5,72,4,S,9,,19.6,71,3,NE,6,
,2020-11-3,11.4,19.2,0,,,,,,18.0,76,3,N,9,,18.5,71,0,ENE,28,
,2020-11-4,12.6,23.2,0,,,,,,18.2,76,1,N,9,,22.5,74,6,N,7,
,2020-11-5,10.0,15.7,19.6,,,,,,11.0,94,8,SW,9,,14.5,73,8,SW,6,
,2020-11-6,8.5,18.7,1.4,,,,,,15.2,58,1,S,4,,18.0,53,3,E,11,
,2020-11-7,13.2,19.3,0,,,,,,16.7,51,8,S,17,,18.0,47,2,S,17,
,2020-11-8,9.0,19.0,0,,,,,,15.5,54,2,S,2,,18.5,62,1,E,7,
,2020-11-9,11.5,18.7,0,,,,,,17.6,65,2,N,9,,17.8,59,1,N,30,
,2020-11-10,11.5,19.0,0,,,,,,17.5,75,1,N,9,,18.6,71,0,ENE,33,
,2020-11-11,14.4,20.4,0,,,,,,17.6,78,1,N,7,,19.8,85,0,NE,28,
,2020-11-12,17.0,22.0,0.1,,,,,,18.0,94,8,NE,11,,18.5,81,6,N,9,
,2020-11-13,16.1,22.0,4.0,,,,,,19.7,79,5,S,15,,21.5,78,3,S,19,
,2020-11-14,15.0,21.3,0,,,,,,18.9,72,4,S,9,,20.8,74,5,SE,7,
,2020-11-15,15.5,23.4,0,,,,,,20.0,81,1,N,7,,21.3,83,2,E,9,
,2020-11-16,17.4,32.0,0,,,,,,19.6,83,6,N,33,,31.2,31,8,N,7,
,2020-11-17,15.5,20.2,0,,,,,,17.0,59,6,S,19,,19.0,58,1,SE,13,
,2020-11-18,14.4,20.0,0,,,,,,18.0,74,2,N,6,,19.9,67,1,NNE,37,
,2020-11-19,15.4,21.2,0,,,,,,18.6,84,4,NE,7,,20.1,84,7,NE,15,
,2020-11-20,15.0,23.6,0,,,,,,20.6,83,0,NE,9,,23.5,56,2,E,7,
,2020-11-21,14.1,22.5,0,,,,,,20.5,69,7,E,4,,20.5,74,8,E,4,
,2020-11-22,17.2,22.1,0,,,,,,19.0,85,8,N,7,,21.7,80,5,N,6,
,2020-11-23,17.6,23.0,2.8,,,,,,20.5,92,8, ,Calm,,18.0,100,7,S,7,
,2020-11-24,13.0,21.2,9.8,,,,,,18.8,63,5,SW,19,,20.5,65,1,ENE,7,
,2020-11-25,15.8,20.5,0,,,,,,19.6,71,5,E,6,,20.0,77,1,N,28,
,2020-11-26,16.2,24.0,0,,,,,,20.5,86,0,ENE,9,,22.5,74,4,SE,13,
,2020-11-27,16.5,23.3,0,,,,,,20.0,64,1,NE,7,,20.0,72,2,NE,19,
,2020-11-28,17.4,29.5,0,,,,,,22.6,78,8,S,4,,24.0,60,7,S,15,
,2020-11-29,20.7,34.4,0,,,,,,29.0,43,2,N,35,,25.6,54,2,S,46,
,2020-11-30,14.5,,0,,,,,,18.3,59,7,W,4,,19.0,72,8,N,30,
