"Daily Weather Observations for Narooma, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2092.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,18.1,22.8,0,,,,,,19.8,65,8,E,22,,21.0,59,7,SE,15,
,2021-01-2,14.3,21.0,0,,,,,,19.8,71,8,W,6,,20.2,75,8,NE,7,
,2021-01-3,16.5,21.2,36.6,,,,,,18.5,100,8,E,33,,20.7,90,8,NE,30,
,2021-01-4,17.4,24.0,5.2,,,,,,20.0,100,6, ,Calm,,21.9,90,8,SW,17,
,2021-01-5,16.6,24.0,8.8,,,,,,20.2,93,7,NW,6,,,,,,,
,2021-01-6,15.6,22.0,12.8,,,,,,20.2,71,2,W,20,,20.4,63,7,SE,30,
,2021-01-7,14.4,22.0,0,,,,,,20.0,64,4,SW,19,,21.0,60,6,SE,11,
,2021-01-8,15.0,22.7,4.8,,,,,,18.0,62,8,SW,15,,22.2,57,5,SE,13,
,2021-01-9,14.9,22.1,0,,,,,,19.8,71,7,W,6,,21.7,61,1,NE,17,
,2021-01-10,14.5,23.6,0,,,,,,20.5,78,1,ENE,7,,23.3,75,1,ENE,19,
,2021-01-11,15.5,24.5,0.2,,,,,,21.0,86,1,N,7,,24.5,76,2,NNE,33,
,2021-01-12,17.4,27.6,0,,,,,,20.5,86,6,NNE,9,,23.0,83,6,S,28,
,2021-01-13,15.6,24.4,0,,,,,,20.0,87,1,NE,4,,24.1,76,1,ENE,19,
,2021-01-14,15.5,26.0,0,,,,,,21.8,80,1,NE,4,,21.2,59,8,S,19,
,2021-01-15,16.5,23.9,0,,,,,,20.2,69,1, ,Calm,,23.1,74,5,ENE,19,
,2021-01-16,11.0,25.4,0,,,,,,17.4,40,0,W,24,,25.0,29,1,W,33,
,2021-01-17,14.5,21.6,0,,,,,,18.2,52,0,S,13,,20.9,46,0,SE,19,
,2021-01-18,12.9,24.4,0,,,,,,20.5,61,0,SW,4,,23.5,71,1,NE,11,
,2021-01-19,13.1,22.0,0,,,,,,19.5,45,0,SW,28,,21.0,49,0,S,37,
,2021-01-20,14.2,22.2,0,,,,,,18.2,53,1,S,11,,21.0,56,2,SSE,19,
,2021-01-21,15.1,23.1,0,,,,,,21.0,59,0,NE,11,,22.5,63,2,NE,33,
,2021-01-22,16.0,27.4,0,,,,,,23.0,71,0,NW,15,,26.5,73,6,NE,22,
,2021-01-23,16.5,26.5,0,,,,,,23.4,65,1,SE,4,,24.8,65,3,E,11,
,2021-01-24,19.0,28.2,0,,,,,,24.5,79,0,NE,6,,26.0,88,3,E,6,
,2021-01-25,18.1,27.5,0,,,,,,24.0,96,2,N,19,,27.0,73,5,N,17,
,2021-01-26,19.3,32.2,0,,,,,,22.0,84,5,NNE,28,,26.4,62,8,N,4,
,2021-01-27,16.8,21.6,11.8,,,,,,18.4,75,8,S,11,,21.4,55,8,SSW,19,
,2021-01-28,16.1,20.5,4.0,,,,,,18.2,86,8,NW,2,,20.0,74,8,E,9,
,2021-01-29,15.5,21.2,13.2,,,,,,19.2,90,8,ENE,26,,19.5,95,8,ENE,19,
,2021-01-30,17.0,24.1,27.6,,,,,,20.4,98,8,N,20,,21.0,95,8,NE,6,
,2021-01-31,16.3,21.3,19.6,,,,,,18.0,85,8,S,30,,20.9,73,8,S,4,
