"Daily Weather Observations for Narooma, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2092.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,19.7,25.5,0,,,,,,20.0,86,0,NNW,17,,25.0,76,2,NE,19,
,2021-03-2,15.2,21.4,0,,,,,,16.5,39,1,S,19,,20.5,44,0,SE,19,
,2021-03-3,13.8,21.4,0,,,,,,16.0,54,1,WSW,9,,20.0,44,2,SE,19,
,2021-03-4,16.1,23.8,0,,,,,,17.0,66,0, ,Calm,,22.5,53,2,ESE,9,
,2021-03-5,14.8,21.0,0,,,,,,17.5,40,0,SW,28,,20.0,52,0,S,28,
,2021-03-6,12.8,21.5,0,,,,,,17.0,56,1,W,6,,20.8,50,6,SE,33,
,2021-03-7,14.5,22.2,6.2,,,,,,17.0,90,6,N,7,,21.0,70,6,NE,31,
,2021-03-8,16.2,25.0,0,,,,,,18.0,92,8,NNW,13,,22.5,83,8,N,2,
,2021-03-9,15.0,23.4,0,,,,,,19.1,80,1, ,Calm,,22.2,65,1,SE,9,
,2021-03-10,15.0,21.2,3.0,,,,,,17.6,90,8,SE,4,,20.3,65,7,E,15,
,2021-03-11,16.0,23.7,0,,,,,,20.2,80,0,N,9,,23.2,76,5,NE,28,
,2021-03-12,18.0,22.4,62.2,,,,,,19.5,95,8,ESE,41,,20.7,93,8,E,4,
,2021-03-13,17.5,26.0,3.8,,,,,,20.6,95,3,N,9,,25.5,80,4,NNE,26,
,2021-03-14,12.5,,0,,,,,,18.0,95,8,SSW,13,,16.9,63,7,WSW,15,
,2021-03-15,,20.4,0,,,,,,,,,,,,19.8,49,1,NE,6,
,2021-03-16,11.8,20.8,0,,,,,,17.0,75,4,W,9,,18.6,86,8,SE,15,
,2021-03-17,14.8,20.5,2.0,,,,,,18.0,80,4, ,Calm,,18.4,79,8,ESE,22,
,2021-03-18,16.7,21.3,10.2,,,,,,20.4,78,8,E,20,,20.2,89,8,ESE,37,
,2021-03-19,17.8,22.9,12.6,,,,,,20.6,83,8,E,37,,22.9,67,8,SE,28,
,2021-03-20,18.5,22.0,0.6,,,,,,20.5,79,8,ESE,28,,20.9,88,8,SE,37,
,2021-03-21,18.5,24.3,16.8,,,,,,22.0,82,8,ENE,41,,21.4,83,8,ENE,13,
,2021-03-22,17.2,20.6,5.8,,,,,,20.0,91,8,NE,30,,19.0,92,,NE,13,
,2021-03-23,18.2,20.0,73.0,,,,,,19.0,95,8,NE,46,,19.5,99,8,ENE,33,
,2021-03-24,15.6,28.5,74.0,,,,,,,,3, ,Calm,,28.0,41,4,NW,13,
,2021-03-25,15.0,25.0,0,,,,,,18.0,85,5,W,4,,22.0,82,6,NE,7,
,2021-03-26,13.5,21.2,0,,,,,,15.5,94,2,SSW,15,,,,,,,
,2021-03-27,14.5,21.5,0,,,,,,17.0,85,4,W,7,,20.7,76,7,NE,19,
,2021-03-28,12.5,21.7,5.8,,,,,,15.5,89,1,NW,6,,21.4,58,5,NNE,4,
,2021-03-29,12.8,23.0,0,,,,,,15.5,84,0,WSW,9,,20.5,60,4,ENE,13,
,2021-03-30,11.2,21.0,0,,,,,,16.0,59,0,W,9,,20.0,52,1,SE,9,
,2021-03-31,10.8,22.0,0,,,,,,,,2,SE,6,,21.1,62,3,SE,19,
