"Daily Weather Observations for Narooma, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2092.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Narooma (Marine Rescue) {station 069022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,12.0,21.2,0,,,,,,19.4,73,,NE,15,,20.0,81,2,NE,33,
,2021-05-2,13.0,21.9,0,,,,,,16.0,89,6,NW,11,,21.1,79,6,NNE,11,
,2021-05-3,12.1,22.5,0.6,,,,,,15.7,93,2,NW,17,,20.6,68,6, ,Calm,
,2021-05-4,13.1,18.9,25.8,,,,,,14.3,97,8,W,9,,17.5,94,8,SW,22,
,2021-05-5,13.4,20.0,28.0,,,,,,18.0,90,7,SE,31,,,,,,,
,2021-05-6,15.7,20.5,19.8,,,,,,20.0,81,8,ESE,11,,19.8,78,8,SSE,19,
,2021-05-7,17.0,20.2,24.7,,,,,,17.5,95,8,SW,24,,19.9,89,7, ,Calm,
,2021-05-8,13.0,21.5,2.6,,,,,,16.2,93,7,WNW,9,,,,,,,
,2021-05-9,13.6,,0,,,,,,15.8,86,5,W,6,,19.4,73,1,NE,19,
,2021-05-10,,23.3,0.3,,,,,,14.4,84,0,NW,13,,22.5,55,4,W,13,
,2021-05-11,12.8,19.8,0,,,,,,15.8,81,3,W,4,,16.5,79,7,WSW,22,
,2021-05-12,12.2,21.0,0,,,,,,15.8,85,1,,,,19.2,77,7, ,Calm,
,2021-05-13,11.5,21.0,0,,,,,,14.8,75,1,W,4,,19.2,70,6, ,Calm,
,2021-05-14,9.8,19.1,0,,,,,,15.5,54,1,W,20,,18.0,,1,E,19,
,2021-05-15,8.5,16.5,0,,,,,,13.0,60,2,SE,9,,13.5,39,7, ,,
,2021-05-16,7.0,15.8,0,,,,,,11.0,58,1,W,31,,14.5,50,1,NE,17,
,2021-05-17,8.6,17.5,0,,,,,,14.4,54,3,WSW,20,,17.0,44,,WSW,9,
,2021-05-18,7.2,16.2,0,,,,,,10.8,71,0,W,9,,15.7,57,0,SE,6,
,2021-05-19,8.0,17.4,0,,,,,,11.8,76,1,NW,6,,16.5,67,0, ,Calm,
,2021-05-20,8.0,20.5,0,,,,,,12.0,76,4,W,6,,18.2,43,6, ,Calm,
,2021-05-21,9.5,17.4,0,,,,,,14.5,57,1,SW,19,,,,,,,
,2021-05-22,9.5,18.8,0,,,,,,12.6,64,2,W,9,,17.9,63,0,NE,9,
,2021-05-23,9.5,17.9,0,,,,,,12.5,77,5,SW,13,,16.4,84,7,S,9,
,2021-05-24,11.5,19.0,0,,,,,,14.8,88,6,NNW,11,,18.4,74,7,ENE,7,
,2021-05-25,13.0,20.2,0,,,,,,17.3,75,4,N,19,,19.5,75,4,NE,37,
,2021-05-26,15.6,20.4,0,,,,,,17.5,39,1,NW,9,,19.9,40,6,NE,19,
,2021-05-27,7.0,20.0,0,,,,,,13.4,58,1,NW,4,,19.0,30,2,WSW,9,
,2021-05-28,9.2,14.1,0,,,,,,12.0,48,4,SW,17,,13.0,50,3,SW,37,
,2021-05-29,9.5,15.0,0,,,,,,12.0,48,1,WSW,28,,14.8,44,1,SW,33,
,2021-05-30,10.0,16.3,0,,,,,,12.0,64,6,SW,28,,15.3,55,4,WSW,7,
,2021-05-31,,15.9,0,,,,,,8.8,80,1,WSW,9,,15.5,58,0,NE,9,
