"Daily Weather Observations for Narrandera, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2094.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Narrandera Airport."
"Observations were drawn from Narrandera Airport AWS {station 074148}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-1.5,17.2,0,,,N,24,12:44,7.9,83,,NNE,2,1024.6,16.3,49,,NNE,13,1019.7
,2020-09-2,6.1,23.3,0,,,NNE,44,20:27,15.5,57,,NNE,13,1018.1,23.1,36,,N,24,1013.9
,2020-09-3,8.2,23.9,0,,,N,44,00:45,15.3,66,, ,Calm,1015.4,23.1,36,,WNW,20,1013.8
,2020-09-4,7.0,20.2,0,,,SW,28,15:28,15.1,59,, ,Calm,1019.8,18.7,44,,SW,15,1016.3
,2020-09-5,2.3,18.8,0,,,SW,28,13:55,12.4,71,,NW,15,1020.1,18.4,44,,SSW,13,1019.9
,2020-09-6,0.9,19.4,0,,,E,24,10:54,12.7,69,,ENE,9,1027.6,19.0,33,,NNE,7,1025.4
,2020-09-7,3.2,24.0,0,,,NNE,33,10:55,15.0,69,,E,11,1029.3,23.4,47,,NNE,24,1024.9
,2020-09-8,10.8,27.5,0,,,N,39,11:30,19.1,56,,N,17,1026.9,27.1,43,,N,17,1022.5
,2020-09-9,13.3,19.8,0,,,E,30,23:12,14.2,89,,WSW,11,1025.9,18.8,62,,SW,13,1023.8
,2020-09-10,7.6,20.5,0,,,ENE,48,08:55,14.5,60,,ENE,35,1027.7,19.8,45,,E,28,1025.2
,2020-09-11,4.7,20.7,0,,,ENE,33,08:39,13.0,65,,ENE,22,1031.5,20.0,39,,E,9,1027.2
,2020-09-12,4.8,24.0,0,,,NNE,30,12:48,16.0,61,,NNE,19,1028.2,23.5,31,,N,17,1022.9
,2020-09-13,9.8,22.8,2.0,,,N,39,02:13,13.6,91,,NE,9,1023.4,20.4,63,,WSW,15,1021.4
,2020-09-14,2.4,20.2,0,,,SSW,28,13:29,11.6,85,,SSW,4,1028.6,20.0,46,,SSW,15,1026.4
,2020-09-15,1.1,22.7,0,,,SSW,17,13:45,12.3,80,,SSW,2,1029.5,22.5,35,,S,6,1026.1
,2020-09-16,3.7,26.7,0,,,NW,43,13:16,17.4,63,,ESE,6,1023.7,26.0,23,,NW,26,1018.3
,2020-09-17,8.8,29.2,0,,,N,28,09:47,20.9,53,,NE,6,1019.6,27.4,31,,SW,13,1019.2
,2020-09-18,13.0,26.4,0,,,NE,43,10:33,18.0,63,,ENE,22,1027.5,24.3,50,,ENE,22,1023.6
,2020-09-19,12.0,25.2,0,,,NNE,61,23:12,20.3,56,,NE,31,1022.3,22.3,49,,NNE,30,1016.7
,2020-09-20,15.0,23.4,12.6,,,NNE,43,00:14,17.7,92,,NNW,17,1011.8,22.4,54,,NNW,20,1009.4
,2020-09-21,11.3,27.1,0.2,,,NW,46,13:49,19.8,65,,N,24,1009.2,21.9,65,,W,30,1006.0
,2020-09-22,5.5,21.0,0.4,,,WNW,52,13:45,14.9,63,,NW,17,1013.0,19.4,38,,NW,35,1011.6
,2020-09-23,6.2,19.3,0.2,,,WNW,46,13:58,14.2,69,,WNW,20,1016.7,16.2,49,,WNW,24,1013.7
,2020-09-24,7.0,16.6,0.6,,,W,35,12:50,11.9,69,,W,19,1017.3,14.3,42,,NW,19,1013.4
,2020-09-25,8.1,11.4,2.8,,,WNW,57,15:21,10.4,80,,NW,24,1005.1,10.3,79,,WNW,26,1003.8
,2020-09-26,3.8,15.7,9.4,,,W,43,09:47,7.9,78,,WSW,20,1016.1,14.0,43,,W,28,1016.3
,2020-09-27,4.2,17.5,0.2,,,W,30,13:34,10.7,72,,SW,17,1025.1,15.1,44,,WSW,13,1024.0
,2020-09-28,-0.3,19.3,0,,,W,24,13:03,12.3,67,,NNW,4,1028.5,18.7,33,,W,9,1025.1
,2020-09-29,2.4,22.7,0,,,N,33,11:47,13.9,61,,ENE,19,1025.3,20.3,35,,NNE,19,1020.1
,2020-09-30,11.4,21.8,0.8,,,NNE,43,14:45,13.9,79,,ENE,15,1015.7,20.1,57,,N,28,1009.6
