"Daily Weather Observations for Narrandera, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2094.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Narrandera Airport."
"Observations were drawn from Narrandera Airport AWS {station 074148}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,19.0,30.3,0,,,ENE,54,14:55,24.0,45,,ENE,31,1017.8,28.5,37,,NE,30,1015.0
,2021-01-2,16.8,27.3,0,,,ENE,39,06:55,20.5,54,,ENE,26,1013.3,24.6,54,,W,15,1009.5
,2021-01-3,18.4,32.6,10.0,,,W,31,13:24,22.6,72,,N,19,1007.6,30.7,35,,W,19,1004.8
,2021-01-4,18.0,27.9,4.0,,,NW,37,03:46,18.1,92,,NW,9,1007.6,24.1,59,,NE,9,1005.6
,2021-01-5,14.4,29.4,8.0,,,NNW,46,12:15,18.6,67,,W,9,1010.1,27.3,36,,W,19,1008.3
,2021-01-6,15.6,30.7,0,,,E,39,21:41,20.9,62,,WSW,11,1013.4,30.2,33,,SE,4,1010.9
,2021-01-7,15.4,30.6,0,,,ESE,44,08:06,22.5,45,,E,26,1020.0,29.5,24,,E,15,1017.7
,2021-01-8,15.7,30.6,0,,,ENE,46,00:47,20.8,43,,ENE,30,1023.4,29.8,21,,ESE,22,1019.7
,2021-01-9,15.5,32.5,0,,,SE,37,16:15,21.5,45,,ENE,26,1021.9,30.6,19,,E,15,1018.4
,2021-01-10,16.8,36.4,0,,,SE,46,13:47,26.2,42,,NNW,17,1019.7,35.8,18,,ESE,15,1015.6
,2021-01-11,20.7,37.6,0,,,NE,37,13:53,28.0,33,,NNE,22,1016.2,36.0,16,,ENE,19,1011.8
,2021-01-12,25.3,40.2,0,,,NNW,54,08:33,30.9,30,,NNW,31,1012.1,37.8,14,,NNW,26,1009.5
,2021-01-13,22.2,40.4,0,,,WNW,81,19:41,30.4,31,,NW,15,1013.4,40.0,13,,NW,30,1009.4
,2021-01-14,20.5,32.6,0,,,W,48,14:51,24.0,30,,W,13,1011.9,31.6,14,,WSW,26,1009.8
,2021-01-15,11.8,27.0,0,,,SW,59,15:12,20.4,41,,SW,15,1009.4,25.9,22,,WSW,28,1007.4
,2021-01-16,10.9,28.5,0,,,SW,54,15:35,16.1,49,,SW,20,1014.6,24.1,26,,W,30,1012.7
,2021-01-17,10.8,29.1,0,,,SW,44,14:38,17.5,48,,SW,22,1017.0,26.6,19,,SW,20,1014.7
,2021-01-18,11.6,32.0,0,,,W,48,14:17,19.5,44,,SW,13,1015.9,30.0,17,,SW,28,1013.2
,2021-01-19,14.6,32.9,0,,,SSW,43,01:28,18.9,48,,SSW,20,1017.3,30.7,15,,SSW,20,1015.1
,2021-01-20,13.8,33.4,0,,,E,39,06:52,20.8,48,,ENE,28,1020.2,31.5,21,,E,9,1016.1
,2021-01-21,18.4,37.2,0,,,N,41,10:52,24.1,44,,NE,24,1016.0,34.5,20,,NNW,19,1010.2
,2021-01-22,22.4,39.5,0,,,NNW,59,14:01,28.3,35,,NW,31,1009.0,38.5,8,,NNW,26,1006.2
,2021-01-23,14.2,40.8,0,,,WNW,35,13:43,27.2,20,,SW,6,1011.0,39.2,6,,NW,22,1008.9
,2021-01-24,16.6,42.3,0,,,NNW,52,12:51,31.4,17,,N,20,1010.3,40.7,8,,NNW,19,1007.1
,2021-01-25,22.4,42.2,0,,,N,54,13:39,33.3,25,,NNW,28,1006.6,39.4,15,,NNW,26,1001.7
,2021-01-26,22.3,25.8,1.0,,,N,48,00:46,23.2,77,,NE,9,1001.9,24.5,81,,NW,19,1002.4
,2021-01-27,14.9,35.3,11.2,,,E,57,20:22,18.6,67,,S,9,1010.2,32.1,36,,SSW,17,1008.7
,2021-01-28,17.0,19.6,17.0,,,E,83,07:02,19.5,71,,E,30,1015.8,18.6,93,,E,35,1015.6
,2021-01-29,16.1,22.8,38.6,,,ENE,61,23:26,18.8,88,,ENE,20,1013.5,21.4,85,,NE,28,1009.9
,2021-01-30,18.8,31.7,12.6,,,W,31,14:48,22.6,83,,NNW,7,1010.9,28.9,54,,SW,17,1010.0
,2021-01-31,14.4,32.3,0,,,NW,26,12:29,19.5,70,,SW,11,1014.8,30.9,28,,NNW,9,1012.7
