"Daily Weather Observations for Narrandera, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2094.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Narrandera Airport."
"Observations were drawn from Narrandera Airport AWS {station 074148}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,10.7,19.5,4.2,,,NW,30,14:17,16.2,71,,N,15,1007.1,15.8,87,,NW,20,1003.9
,2021-10-2,13.4,21.5,10.2,,,W,41,14:58,15.2,84,,WSW,9,1006.0,20.7,56,,W,22,1003.9
,2021-10-3,9.1,21.8,1.0,,,NNW,28,15:17,12.9,99,,NW,9,1006.3,20.8,53,,N,7,1002.4
,2021-10-4,9.4,20.2,0.2,,,W,57,15:04,13.0,71,,WSW,15,1005.3,18.8,49,,NW,26,1003.4
,2021-10-5,9.4,18.7,0.2,,,WSW,50,09:58,11.8,71,,W,24,1013.2,17.6,41,,W,28,1013.4
,2021-10-6,3.3,23.1,0,,,NNW,37,11:12,13.3,74,,N,2,1017.2,22.0,29,,NW,11,1013.0
,2021-10-7,8.3,18.9,0,,,SW,39,08:41,14.3,67,,SW,22,1010.8,18.3,29,,SW,26,1012.9
,2021-10-8,2.5,22.5,0,,,NW,22,13:01,12.4,69,,ENE,7,1018.7,20.9,34,,NE,7,1016.0
,2021-10-9,7.2,29.0,0,,,N,39,12:39,15.5,59,,ENE,19,1015.3,28.4,22,,NW,24,1011.5
,2021-10-10,11.9,20.7,0,,,SSW,41,00:48,16.7,58,,SW,7,1011.3,16.9,65,,WSW,17,1010.3
,2021-10-11,4.7,19.5,0,,,SW,28,23:42,8.5,72,,SSW,15,1016.8,17.0,35,,SSE,11,1014.6
,2021-10-12,7.6,18.8,0,,,ENE,44,08:38,13.1,63,,E,26,1016.3,17.6,51,,ENE,19,1013.5
,2021-10-13,8.9,23.0,0,,,W,50,21:38,13.6,68,,ENE,24,1012.4,20.9,49,,NE,30,1007.5
,2021-10-14,6.8,21.9,3.2,,,NNW,57,19:07,11.7,99,,NE,7,1007.1,19.8,31,,NNW,15,1003.3
,2021-10-15,6.4,16.4,1.6,,,SSW,37,17:39,11.5,93,,NW,15,1003.6,13.2,84,,WSW,17,1003.0
,2021-10-16,9.4,19.9,7.0,,,WNW,50,06:24,11.8,73,,WSW,26,1009.7,19.3,43,,W,28,1009.5
,2021-10-17,3.5,21.6,0,,,NNW,28,13:12,12.0,73,,WSW,2,1016.3,19.4,37,,NW,11,1014.1
,2021-10-18,7.4,26.9,0,,,NW,37,12:42,18.2,52,,NNE,11,1015.6,25.2,26,,NNW,28,1013.4
,2021-10-19,8.3,22.0,0,,,SSW,35,11:14,12.2,72,,SW,11,1019.3,20.8,34,,SSW,20,1017.5
,2021-10-20,4.6,25.8,0,,,ENE,44,11:55,15.7,54,,SE,13,1020.1,24.5,34,,ENE,20,1016.5
,2021-10-21,12.2,25.5,0,,,NE,41,09:45,16.3,70,,ENE,17,1017.2,24.6,31,,ENE,7,1014.0
,2021-10-22,11.5,29.8,0,,,NE,31,09:15,19.4,61,,ENE,15,1016.0,28.0,27,,E,9,1012.8
,2021-10-23,14.5,27.6,0,,,WSW,43,13:21,20.7,57,,NNE,4,1012.7,26.4,36,,W,22,1012.1
,2021-10-24,7.5,21.2,0,,,SSW,44,15:17,12.9,59,,SW,26,1020.1,21.2,30,,SW,22,1018.5
,2021-10-25,5.4,21.2,0,,,SW,39,13:52,11.2,61,,SW,17,1019.7,20.0,31,,WSW,20,1017.4
,2021-10-26,2.1,,0,,,,,,13.5,56,,NW,9,1020.8,23.6,20,,SW,15,1017.0
