"Daily Weather Observations for Nelson Bay, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2095.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Nelson Bay (Nelson Head) {station 061054}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,15.7,23.5,0,,,,,,17.6,73,5,SW,15,,21.9,72,4,ESE,11,
,2021-04-2,16.4,,0,,,,,,17.5,95,1,SE,11,,22.8,67,1,SE,22,
,2021-04-3,,26.7,0,,,,,,,,,,,,,,,,,
,2021-04-4,16.6,25.0,0.1,,,,,,,,3,WSW,4,,22.2,28,7,NNE,22,
,2021-04-5,,27.2,0,,,,,,24.7,58,3,NNE,7,,24.4,85,6,NE,19,
,2021-04-6,19.9,27.5,7.4,,,,,,23.1,87,4,NE,7,,26.1,79,7,ENE,13,
,2021-04-7,19.2,26.1,0,,,,,,21.5,93,7,WNW,2,,26.0,70,6,E,6,
,2021-04-8,17.0,22.5,26.2,,,,,,19.5,94,6,SSW,6,,20.9,85,5,SSE,13,
,2021-04-9,16.6,26.9,5.6,,,,,,20.0,86,3,W,6,,26.0,61,5,SW,19,
,2021-04-10,19.0,24.3,0.5,,,,,,19.9,92,7,WSW,11,,23.8,54,1,SW,15,
,2021-04-11,15.4,19.4,0.1,,,,,,17.9,60,1,SW,26,,19.0,47,2,SW,33,
,2021-04-12,12.0,19.2,0,,,,,,13.9,63,1,SW,19,,17.4,75,1,SSE,17,
,2021-04-13,13.2,22.3,0,,,,,,15.0,76,5,SW,15,,20.5,64,1,E,13,
,2021-04-14,13.7,26.0,0,,,,,,16.8,71,0,WSW,2,,24.4,58,1,N,6,
,2021-04-15,16.5,26.0,0,,,,,,19.8,64,1,SW,17,,23.6,57,1,E,13,
,2021-04-16,17.0,21.0,0,,,,,,17.7,93,7,SW,11,,19.5,99,7,ESE,24,
,2021-04-17,15.0,17.3,5.8,,,,,,15.1,99,8,S,4,,15.0,99,8,WNW,4,
,2021-04-18,12.2,19.6,16.2,,,,,,13.2,96,7,SW,19,,19.4,98,4,S,11,
,2021-04-19,12.4,22.5,0.2,,,,,,15.6,98,0,WSW,9,,22.0,66,1,E,11,
,2021-04-20,13.6,22.5,0,,,,,,16.1,83,1,SW,9,,22.2,45,6,SW,9,
,2021-04-21,14.5,19.4,0,,,,,,16.9,52,4,SSW,15,,18.9,43,1,S,13,
,2021-04-22,12.4,20.4,0,,,,,,13.9,65,1,SW,17,,20.1,79,1,SW,17,
,2021-04-23,11.8,21.1,0,,,,,,13.6,56,1,SW,19,,20.6,40,0,SSW,4,
,2021-04-24,13.2,22.5,0,,,,,,15.0,68,2,SW,17,,21.5,61,2,ENE,9,
,2021-04-25,14.5,21.1,0.2,,,,,,14.5,83,2,SW,17,,20.0,72,3,SSE,11,
,2021-04-26,14.0,23.5,3.2,,,,,,15.2,89,7,SW,15,,,,,,,
,2021-04-27,14.4,22.1,0.2,,,,,,16.7,82,2,SW,17,,20.5,62,3,SE,13,
,2021-04-28,14.9,22.0,0,,,,,,17.5,81,5,SW,13,,20.4,59,6,SE,11,
,2021-04-29,14.2,22.5,0.1,,,,,,16.5,82,2,WSW,11,,21.0,62,3,SE,13,
,2021-04-30,15.0,23.8,0,,,,,,17.0,86,3,SW,11,,21.9,67,3,ESE,15,
