"Daily Weather Observations for Newcastle, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2097.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,16.7,23.2,4.4,,,S,30,09:44,18.1,,,W,9,,22.4,,,S,11,
,2021-04-2,16.2,23.5,0.4,,,SE,24,14:45,18.5,100,,W,4,,22.8,77,,SSE,19,
,2021-04-3,17.5,24.1,0,,,NE,37,18:32,20.1,96,,W,4,,23.4,81,,ESE,19,
,2021-04-4,16.3,26.2,0,,,NNW,30,10:55,20.3,92,,NW,19,,23.8,75,,ENE,15,
,2021-04-5,19.2,24.3,0,,,S,22,11:30,20.9,93,,S,9,,23.6,86,,S,11,
,2021-04-6,20.6,23.8,0,,,SE,30,16:37,22.6,100,,SSW,13,,22.6,89,,SE,17,
,2021-04-7,19.9,24.4,0.4,,,ESE,52,17:15,21.8,95,,S,19,,22.6,86,,ESE,17,
,2021-04-8,19.1,23.2,2.0,,,E,30,01:49,21.1,97,7,S,13,,22.1,82,,E,11,
,2021-04-9,16.6,28.1,0.4,,,S,54,21:02,20.2,93,2,NW,26,,26.8,53,,WNW,24,
,2021-04-10,18.8,25.9,0.4,,,W,44,12:44,19.1,100,,WNW,7,,25.0,47,,WSW,7,
,2021-04-11,13.8,20.5,0,,,W,74,12:40,17.6,55,,WNW,26,,20.0,31,,WSW,28,
,2021-04-12,9.7,18.0,0,,,SSE,35,14:37,15.7,50,0,WSW,20,,17.2,50,,S,22,
,2021-04-13,10.0,21.0,0,,,NNE,30,21:44,16.2,70,0,WNW,11,,19.9,63,,E,17,
,2021-04-14,12.2,26.7,0,,,NW,57,13:06,17.7,62,,NW,28,,26.7,34,,WNW,28,
,2021-04-15,17.7,23.5,0,,,NE,30,17:15,21.7,49,0,SSW,11,,22.4,62,,E,15,
,2021-04-16,16.5,21.4,0,,,SSE,52,12:35,18.4,51,7,SW,15,,19.5,73,,SSE,33,
,2021-04-17,14.9,15.9,1.0,,,SE,33,01:55,15.1,96,,WNW,7,,15.0,100,,WNW,13,
,2021-04-18,10.5,20.7,5.8,,,NNW,26,10:27,13.6,,,NW,20,,19.2,62,,SSE,19,
,2021-04-19,11.9,23.5,0,,,NNW,30,12:12,15.7,85,,WNW,19,,23.2,42,,NW,15,
,2021-04-20,12.1,22.9,0,,,WNW,46,12:03,17.3,60,,WNW,28,,22.3,40,,WNW,20,
,2021-04-21,14.4,19.6,0,,,SSW,46,09:27,17.4,59,,SSW,24,,18.3,51,,SSE,19,
,2021-04-22,10.2,21.6,0,,,NW,46,12:16,14.6,64,,NW,26,,21.0,36,,W,22,
,2021-04-23,10.2,22.7,0,,,WNW,31,03:14,14.5,53,,WNW,24,,20.9,41,,ESE,6,
,2021-04-24,10.7,22.4,0,,,E,22,14:55,15.7,73,,NW,15,,19.6,64,,E,19,
,2021-04-25,12.5,20.5,0,,,SSE,30,14:21,16.9,71,,WNW,13,,19.3,78,,SSE,24,
,2021-04-26,12.4,20.8,0,,,SE,20,15:37,17.1,97,,NW,7,,19.9,77,,SE,17,
,2021-04-27,13.6,22.1,0,,,,,,16.2,96,,WNW,11,,20.4,70,,SE,15,
,2021-04-28,14.5,21.2,0,,,SE,22,00:45,18.9,91,,NW,4,,19.8,67,,ESE,13,
,2021-04-29,12.5,22.3,0,,,SE,20,14:45,16.0,97,,NW,11,,20.7,73,,SE,15,
,2021-04-30,15.2,22.1,0,,,SE,24,14:48,19.8,90,,S,13,,21.1,76,,SE,17,
