"Daily Weather Observations for Norah Head, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2099.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,19.7,27.7,0,,,WSW,74,18:34,22.6,84,,NNE,30,1012.9,24.6,76,,NE,41,1007.6
,2020-12-2,19.5,24.2,5.8,,,SSW,56,03:37,21.0,84,,S,33,1017.7,21.9,74,,SSE,28,1019.2
,2020-12-3,18.8,23.2,0,,,NE,35,14:12,19.9,85,,NE,26,1022.6,20.5,85,,NE,26,1019.1
,2020-12-4,18.8,26.4,0,,,S,31,23:00,22.0,86,,SSW,15,1015.2,25.1,76,,ENE,7,1011.0
,2020-12-5,19.9,25.5,0,,,NNE,50,17:56,23.3,78,,ESE,6,1012.8,23.1,83,,SE,4,1007.8
,2020-12-6,20.4,31.7,20.6,,,N,46,00:06,25.3,53,,NW,9,1002.3,31.1,23,,WNW,13,1000.9
,2020-12-7,17.6,30.7,0,,,WNW,33,14:18,23.5,48,,NW,6,1006.5,30.4,27,,WNW,7,1002.6
,2020-12-8,16.7,21.7,0,,,SSE,46,12:09,18.8,39,,WSW,17,1012.3,20.8,55,,SSE,39,1013.2
,2020-12-9,15.0,24.0,0,,,NNE,43,20:49,21.2,59,,SSE,4,1020.1,22.8,58,,E,22,1017.4
,2020-12-10,17.0,26.1,0,,,S,67,16:05,22.2,68,,SSW,6,1017.6,22.9,73,,S,39,1018.0
,2020-12-11,17.6,22.3,0,,,SSE,65,00:41,19.3,59,,S,35,1027.2,21.0,57,,SSE,31,1026.9
,2020-12-12,17.5,24.2,0,,,SSE,48,03:39,21.3,61,,SE,35,1029.2,23.2,48,,SE,26,1027.8
,2020-12-13,19.2,23.3,0,,,E,48,08:08,20.3,69,,E,31,1025.5,22.1,66,,ESE,15,1023.2
,2020-12-14,17.9,24.4,2.6,,,ESE,37,11:58,21.2,83,,ESE,19,1020.4,23.5,77,,ESE,13,1018.8
,2020-12-15,18.7,24.5,10.4,,,ENE,46,22:07,21.5,100,,E,20,1016.0,22.8,91,,ENE,24,1013.8
,2020-12-16,21.1,27.6,6.4,,,NE,56,17:45,23.7,100,,NE,20,1012.0,26.5,80,,NE,37,1008.6
,2020-12-17,21.1,29.2,0.2,,,NNE,46,15:13,22.8,99,,NE,22,1007.5,25.8,75,,NE,28,1005.0
,2020-12-18,21.1,31.1,0.2,,,SSW,37,21:00,23.8,94,,NNE,7,1005.8,26.1,65,,N,24,1006.0
,2020-12-19,19.5,20.8,14.2,,,S,54,00:19,20.4,86,,SSE,26,1016.0,19.3,94,,S,20,1016.4
,2020-12-20,18.8,21.7,11.2,,,SSE,31,06:57,19.9,100,,SE,22,1012.5,20.8,100,,S,15,1011.8
,2020-12-21,19.5,21.9,2.2,,,NNE,37,20:10,20.8,100,,SSW,9,1012.5,20.0,100,,NE,28,1009.5
,2020-12-22,18.6,28.1,63.2,,,W,31,22:15,20.7,100,,NW,6,1002.0,23.9,76,,SSE,24,1002.6
,2020-12-23,16.2,23.1,0,,,S,52,13:21,21.3,52,,SW,13,1013.2,22.1,70,,S,39,1015.0
,2020-12-24,17.5,26.7,0,,,NE,43,17:01,20.5,80,,N,6,1017.0,25.5,69,,NE,28,1014.1
,2020-12-25,18.5,24.2,4.8,,,S,67,05:54,19.4,97,,SSE,41,1018.2,20.4,81,,SSE,28,1019.1
,2020-12-26,18.8,27.4,2.0,,,NNE,63,20:07,19.2,88,,NE,15,1020.2,24.6,70,,NE,31,1017.3
,2020-12-27,17.7,28.5,2.4,,,NE,41,18:49,22.9,76,,ENE,4,1013.5,26.6,72,,ENE,15,1009.8
,2020-12-28,21.6,30.5,0,,,S,56,17:32,26.3,51,,WNW,9,1006.1,22.4,84,,S,37,1008.7
,2020-12-29,18.0,21.5,14.8,,,SSW,41,16:55,21.0,89,,SSW,7,1014.1,20.3,97,,S,22,1012.7
,2020-12-30,18.5,21.3,3.6,,,SSE,44,10:25,20.1,100,,SSE,30,1017.5,20.6,100,,SSE,28,1017.7
,2020-12-31,19.5,22.1,8.2,,,SSE,37,09:40,20.3,98,,S,26,1019.2,21.6,87,,SSE,24,1019.2
