"Daily Weather Observations for Norah Head, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2099.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.8,26.5,0,,,NE,39,17:49,19.5,97,,SSW,7,1030.0,24.2,68,,NE,15,1027.6
,2021-05-2,16.0,24.6,0.2,,,NE,33,15:36,19.6,77,, ,Calm,1028.4,22.4,73,,NE,20,1024.8
,2021-05-3,14.3,25.2,0,,,NNE,30,18:05,19.7,85,,NNW,6,1022.2,24.3,68,,ENE,17,1018.1
,2021-05-4,16.1,20.8,0.2,,,SSW,28,02:52,18.4,83,,W,9,1016.1,17.3,79,,SW,11,1014.8
,2021-05-5,14.3,19.8,6.2,,,SSW,28,15:33,15.9,100,,SW,9,1014.6,18.6,85,,SSW,13,1012.5
,2021-05-6,15.8,22.3,7.2,,,SSW,67,07:45,19.8,100,,SSE,28,1007.4,20.9,90,,SSE,37,1009.3
,2021-05-7,19.2,21.7,2.0,,,SSE,56,01:25,20.9,91,,SSW,20,1010.2,20.7,88,,SSW,28,1008.5
,2021-05-8,16.4,25.8,1.0,,,W,22,10:45,20.4,88,,WNW,2,1013.1,23.9,64,,NW,2,1012.3
,2021-05-9,16.1,19.9,0,,,W,19,22:15,18.6,67,,WSW,7,1019.3,17.8,84,,W,4,1016.7
,2021-05-10,14.6,24.4,0.2,,,WNW,30,12:26,19.4,68,,NNW,2,1016.2,24.0,45,,W,9,1012.0
,2021-05-11,15.9,23.9,0,,,SSW,30,18:12,19.3,68,,WNW,2,1015.3,22.4,61,,NW,9,1014.0
,2021-05-12,14.7,21.0,0,,,SSW,33,12:20,17.3,91,,SW,7,1019.6,20.8,83,,SSE,19,1016.9
,2021-05-13,14.4,22.9,0,,,WSW,20,04:34,17.2,95,,WSW,7,1014.0,20.7,71,,ESE,9,1009.4
,2021-05-14,13.1,20.5,0,,,W,31,11:28,17.2,55,,WNW,9,1012.3,19.6,31,,WSW,11,1011.5
,2021-05-15,10.2,19.7,0,,,SW,46,15:21,15.4,59,,NNW,7,1013.8,17.3,45,,WSW,15,1011.5
,2021-05-16,9.4,18.3,0,,,WSW,28,05:06,12.5,51,,W,15,1021.2,17.2,43,,NW,6,1018.4
,2021-05-17,8.4,17.8,0,,,SSW,30,12:39,12.8,58,,W,7,1022.0,17.5,55,,S,19,1022.2
,2021-05-18,11.5,20.0,0,,,W,19,08:42,14.4,58,,W,11,1028.7,17.8,55,,ESE,11,1026.6
,2021-05-19,10.2,20.2,0,,,NNE,30,19:43,14.6,74,,W,9,1028.8,20.1,65,,NE,15,1025.7
,2021-05-20,10.8,21.1,0,,,S,28,18:56,16.7,66,,NNW,6,1026.9,19.3,58,,SSE,13,1024.7
,2021-05-21,12.1,17.9,0,,,S,50,11:04,16.2,70,,SW,20,1029.5,16.7,90,,S,30,1027.4
,2021-05-22,11.2,18.5,19.0,,,SSW,24,12:47,14.4,78,,W,11,1027.4,18.0,73,,S,17,1024.4
,2021-05-23,12.0,19.0,0,,,SSW,35,14:51,14.7,89,,W,11,1026.7,18.2,80,,SSW,26,1025.5
,2021-05-24,14.0,20.6,7.0,,,ESE,22,16:15,16.1,100,,SW,13,1030.5,20.3,76,,SSE,15,1028.1
,2021-05-25,13.6,22.1,0,,,NNE,52,19:35,16.6,95,,NW,6,1026.2,19.3,77,,NE,24,1021.3
,2021-05-26,14.3,22.5,0.2,,,NNE,35,00:17,18.9,71,,NNW,6,1017.5,21.0,40,,WSW,6,1015.7
,2021-05-27,10.6,18.3,0,,,WSW,28,10:12,13.6,61,,WSW,11,1023.8,17.3,47,,SSW,11,1020.8
,2021-05-28,9.7,16.3,0,,,SSW,67,14:00,13.9,60,,WSW,11,1023.2,15.8,51,,SSW,33,1023.2
,2021-05-29,10.2,15.7,,,,SSW,65,14:09,12.6,62,,SW,19,1027.6,14.9,67,,SSW,37,1026.0
,2021-05-30,10.5,16.7,4.4,,,SSW,48,11:43,12.3,81,,SW,13,1027.7,16.0,74,,SSW,30,1025.3
,2021-05-31,11.1,18.1,0,,,SSW,24,12:45,14.2,67,,W,7,1025.4,17.5,65,,SSE,15,1023.0
