"Daily Weather Observations for Norfolk Island for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2100.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,19.5,22.9,0,6.2,,NE,44,08:55,21.4,84,,ENE,33,1022.6,21.6,84,,NNE,20,1021.3
,2020-11-2,19.7,22.8,0,5.2,,NNE,43,09:45,22.0,84,,NNE,26,1020.4,21.5,85,,N,19,1018.9
,2020-11-3,17.3,23.4,24.4,2.8,,NE,43,13:21,21.6,93,,NNE,15,1016.9,20.1,92,,ENE,24,1013.8
,2020-11-4,19.2,21.6,4.4,2.2,,NNE,41,10:04,20.7,95,,NE,11,1012.6,19.4,96,,SSW,11,1009.8
,2020-11-5,18.4,23.5,105.6,,,WNW,39,08:13,21.7,76,,WNW,26,1011.6,22.8,73,,WNW,24,1010.7
,2020-11-6,16.9,24.4,0,4.6,,N,33,21:18,22.2,74,,NW,15,1014.6,22.4,82,,NNE,17,1012.3
,2020-11-7,19.2,24.0,3.6,6.0,,W,61,15:19,22.1,84,,NW,26,1010.3,22.7,66,,W,37,1009.7
,2020-11-8,18.4,22.0,0.2,7.6,,SW,59,17:34,21.4,59,,WSW,30,1013.9,19.8,54,,SW,31,1013.9
,2020-11-9,14.5,20.6,1.0,8.6,,SSW,57,01:29,18.3,52,,SW,26,1017.3,19.5,57,,SW,28,1015.2
,2020-11-10,15.3,21.4,0.4,6.2,,SW,35,12:08,19.6,61,,SSW,22,1017.4,20.5,59,,S,19,1015.8
,2020-11-11,14.9,21.3,0,7.0,,SSE,30,09:59,19.3,70,,S,13,1018.9,19.5,65,,SE,17,1017.5
,2020-11-12,15.5,21.6,0,6.2,,E,37,10:54,20.0,71,,SE,20,1019.6,19.4,73,,E,24,1018.2
,2020-11-13,15.7,23.2,0.8,3.4,,E,46,12:43,20.8,81,,E,20,1019.2,21.7,71,,ENE,30,1017.3
,2020-11-14,17.9,23.8,7.8,7.0,,NE,48,23:00,21.0,89,,NE,19,1019.1,22.5,80,,ENE,20,1017.0
,2020-11-15,19.6,23.9,1.8,4.8,,NE,46,23:21,22.1,81,,NE,19,1017.9,21.6,89,,NNE,20,1015.2
,2020-11-16,18.4,23.0,6.6,4.2,,SSE,37,09:34,21.5,81,,S,26,1017.7,21.5,71,,SSE,19,1017.2
,2020-11-17,16.7,22.7,0,7.4,,SW,30,16:51,21.1,71,,SSE,9,1018.5,22.4,67,,SW,17,1016.9
,2020-11-18,15.3,24.0,0,4.8,,SSE,35,22:34,21.2,73,,SW,15,1018.1,22.9,72,,SW,19,1016.2
,2020-11-19,17.0,21.8,0,7.6,,SE,37,23:23,20.7,60,,SSE,20,1020.3,20.6,61,,SSE,22,1019.6
,2020-11-20,15.9,21.8,0.2,7.6,,SE,37,12:26,19.9,53,,SSE,19,1022.2,19.6,66,,SE,22,1020.8
,2020-11-21,16.1,21.9,0.4,6.8,,SSE,33,11:35,20.4,60,,ESE,19,1021.5,20.6,58,,SE,17,1019.6
,2020-11-22,15.0,21.9,0,7.6,,SSE,30,10:05,19.6,60,,S,15,1018.7,20.0,59,,SSW,20,1016.6
,2020-11-23,15.9,22.0,0,6.4,,WNW,28,07:25,19.0,87,,WSW,17,1015.5,20.0,81,,ENE,11,1012.9
,2020-11-24,16.1,24.0,1.8,2.8,,WNW,39,12:46,21.8,72,,NW,19,1011.9,22.5,70,,NW,24,1010.0
,2020-11-25,19.9,24.4,0,6.4,,NW,41,09:06,22.8,78,,NW,19,1011.1,22.4,83,,W,13,1009.5
,2020-11-26,17.4,21.5,18.8,7.0,,WSW,33,02:07,20.8,89,,SSE,9,1011.9,20.7,79,,SSE,15,1011.1
,2020-11-27,18.0,22.7,0,1.8,,SSE,41,12:38,21.1,73,,SSE,26,1013.6,22.0,70,,SSE,28,1012.4
,2020-11-28,17.3,23.0,0,7.2,,SSE,43,11:10,21.3,70,,SSE,28,1015.1,20.5,65,,SSE,30,1015.3
,2020-11-29,14.0,22.1,0,6.6,,W,30,13:20,19.7,71,,W,13,1016.1,21.8,65,,WNW,17,1014.9
,2020-11-30,17.0,24.1,0,6.8,,WNW,43,10:19,21.6,69,,W,30,1015.6,23.4,68,,W,26,1013.6
