"Daily Weather Observations for Nowra, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2101.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,10.2,23.2,0,,,ENE,28,15:39,16.5,83,,NW,15,1030.1,21.3,73,2,E,20,1026.9
,2021-05-2,10.1,24.6,0,,,ENE,24,15:31,18.9,73,,WNW,9,1027.8,23.0,56,4,ENE,15,1023.5
,2021-05-3,11.9,26.7,0.2,,,NW,26,09:31,18.3,68,,NW,17,1021.6,26.7,34,7,WNW,9,1016.5
,2021-05-4,13.4,16.7,0,,,SSE,24,17:25,15.3,98,8,WSW,7,1017.1,14.7,100,8,SSE,9,1015.7
,2021-05-5,13.8,18.0,16.0,,,S,52,20:56,16.7,100,8,SSE,17,1015.9,16.9,100,7,S,19,1014.4
,2021-05-6,15.1,19.4,113.0,,,ESE,50,02:13,18.0,100,7,SSE,26,1016.0,17.8,100,8,SSE,22,1013.9
,2021-05-7,17.1,19.6,75.8,,,SE,46,00:47,17.6,100,8,S,9,1012.9,19.3,99,8,SSW,15,1010.2
,2021-05-8,14.2,24.3,6.2,,,WNW,30,08:40,18.5,78,,WNW,20,1012.1,23.8,38,2,WSW,17,1011.6
,2021-05-9,14.5,21.9,0,,,NW,24,23:25,17.1,68,8,WNW,11,1019.0,21.2,55,,NNE,7,1016.0
,2021-05-10,13.4,23.4,0,,,WNW,44,12:10,17.9,65,,N,11,1014.5,21.3,45,8,WNW,20,1010.8
,2021-05-11,12.2,19.6,0.2,,,WNW,37,01:06,15.8,75,7,WNW,15,1014.7,17.3,74,8,SSE,20,1014.8
,2021-05-12,10.4,20.3,1.0,,,S,31,15:30,13.5,93,5,WNW,13,1021.2,18.8,65,,SE,15,1018.2
,2021-05-13,11.2,22.3,0,,,W,44,15:04,14.8,81,,NW,17,1014.1,20.4,41,,W,28,1009.1
,2021-05-14,12.2,18.0,0,,,W,52,15:31,14.2,49,,W,35,1011.8,16.4,40,,WNW,26,1011.1
,2021-05-15,8.2,16.4,0,,,W,67,12:14,13.5,53,,WNW,20,1010.8,15.2,40,1,WSW,28,1010.8
,2021-05-16,5.3,17.0,0,,,WNW,52,21:23,10.0,54,,NW,19,1021.1,16.2,30,,WNW,24,1016.8
,2021-05-17,9.4,18.8,0,,,WNW,50,00:49,13.9,53,,W,22,1021.6,18.5,35,4,WSW,13,1021.7
,2021-05-18,7.3,19.1,0,,,NW,37,12:03,11.3,68,,WNW,19,1028.9,18.9,36,,NW,13,1025.6
,2021-05-19,6.9,19.4,0,,,NW,31,06:26,11.7,60,,NW,20,1028.3,18.9,36,,NNW,9,1024.6
,2021-05-20,8.1,20.9,0,,,NW,39,07:25,14.4,47,7,SSE,7,1025.9,19.2,26,6,SSE,13,1024.7
,2021-05-21,7.9,17.6,0,,,SSE,31,13:57,11.6,79,8,NW,7,1031.2,15.5,62,8,SSE,17,1028.9
,2021-05-22,7.6,19.4,0,,,WNW,28,08:06,11.2,79,,WNW,20,1028.2,18.9,48,,NE,4,1024.4
,2021-05-23,8.4,19.7,0.2,,,SSE,31,14:45,12.2,82,,WNW,19,1027.5,17.1,73,7,SSE,20,1026.5
,2021-05-24,10.4,18.9,0.2,,,NE,22,13:11,15.1,100,7,NW,7,1030.9,17.8,74,8,E,11,1028.2
,2021-05-25,8.6,21.9,0.2,,,NNE,35,16:45,15.7,86,,N,7,1025.3,20.7,51,,NNE,22,1019.1
,2021-05-26,11.8,19.3,0,,,WNW,56,16:45,15.8,52,,NW,22,1016.1,17.7,42,1,WNW,24,1015.7
,2021-05-27,8.1,18.4,0,,,W,43,20:44,11.7,57,,NW,22,1023.2,17.9,39,,WNW,20,1020.2
,2021-05-28,8.6,16.1,0,,,SSW,50,11:35,12.9,48,,WSW,24,1024.5,14.1,37,,SSW,26,1025.0
,2021-05-29,6.9,13.6,0,,,SSW,50,09:07,11.9,45,,SSW,30,1029.4,13.1,51,8,SSW,20,1027.8
,2021-05-30,8.3,16.1,0,,,SSW,41,10:52,12.4,57,8,SSW,17,1029.0,15.4,53,4,SSE,17,1026.5
,2021-05-31,6.3,18.1,0,,,WNW,24,05:12,10.2,70,,NW,19,1025.6,17.3,36,,NNE,7,1022.6
