"Daily Weather Observations for Nowra, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2101.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,11.0,21.9,1.8,,,NNW,43,14:38,17.9,63,8,NW,15,1006.6,16.0,89,6,SSE,9,1003.7
,2021-10-2,11.8,22.4,7.4,,,WNW,39,13:14,18.4,62,8,WNW,13,1003.8,15.9,100,8,SE,15,1001.2
,2021-10-3,10.5,24.0,17.0,,,WNW,43,15:07,16.6,84,2,NW,11,1003.8,23.1,41,8,WNW,26,1000.2
,2021-10-4,14.4,25.5,0.2,,,WSW,69,19:39,20.0,57,1,WNW,9,999.5,24.2,27,,WNW,33,998.2
,2021-10-5,11.9,19.7,0,,,WNW,74,09:44,15.5,47,,W,28,1006.2,19.2,30,4,W,37,1006.3
,2021-10-6,10.7,24.8,0,,,WNW,46,14:59,15.7,45,,WNW,24,1014.8,23.6,14,,WNW,28,1010.7
,2021-10-7,8.2,28.2,0,,,S,65,13:48,19.5,41,,ENE,6,1006.8,18.8,62,,S,46,1007.8
,2021-10-8,9.5,20.7,0,,,NE,41,14:48,15.3,62,8,N,6,1018.8,19.9,56,1,ENE,24,1015.8
,2021-10-9,9.3,28.8,0,,,WNW,43,13:59,18.0,56,,NNW,13,1015.8,27.9,18,,W,26,1011.6
,2021-10-10,13.5,17.1,0.4,,,S,43,08:54,16.9,78,7,S,24,1010.0,15.1,99,7,S,22,1008.8
,2021-10-11,7.3,16.4,0.4,,,S,41,23:49,11.5,61,8,SSW,17,1016.3,15.0,58,8,SE,26,1016.3
,2021-10-12,10.5,15.5,0.4,,,ENE,31,12:24,12.5,83,8,S,17,1019.1,13.3,83,8,NNE,9,1017.2
,2021-10-13,10.6,18.7,0.2,,,NNE,35,11:43,14.1,81,8, ,Calm,1017.1,14.1,100,8,ENE,17,1013.6
,2021-10-14,14.1,23.5,0.4,,,NNW,52,17:30,18.6,72,2,WNW,19,1008.5,20.5,72,8,NNE,28,1003.7
,2021-10-15,11.5,20.5,3.6,,,NW,70,07:15,13.1,62,8,WNW,28,1002.5,16.9,48,4,WNW,37,998.5
,2021-10-16,11.3,21.2,0.8,,,W,74,06:10,14.8,57,8,WNW,43,1001.1,20.4,42,3,WNW,44,1000.9
,2021-10-17,8.6,20.8,0,,,ENE,33,12:41,15.7,50,,WNW,13,1013.9,18.9,48,,ENE,17,1012.4
,2021-10-18,9.5,26.4,0,,,WSW,33,13:22,17.0,65,,NNW,11,1015.4,26.2,27,,WSW,15,1011.9
,2021-10-19,13.4,17.2,0,,,S,50,15:36,15.9,79,6,SSE,22,1016.6,14.2,84,8,SSW,24,1017.0
,2021-10-20,12.1,20.6,3.8,,,SW,48,23:26,15.4,99,8,S,13,1018.2,18.5,75,8,SSE,24,1017.2
,2021-10-21,13.2,21.4,11.6,,,ESE,30,22:05,17.0,99,8,SSW,19,1017.4,17.0,100,8,NNW,13,1015.8
,2021-10-22,11.8,23.7,21.0,,,ENE,31,13:02,18.2,78,7, ,Calm,1017.6,21.7,64,1,NE,20,1014.9
,2021-10-23,11.8,29.0,0,,,E,30,12:41,20.6,70,,WNW,19,1012.6,27.0,60,3,E,17,1008.9
,2021-10-24,14.3,21.0,3.6,,,S,35,00:21,16.0,81,8,SE,15,1015.1,19.8,54,8,E,19,1013.9
,2021-10-25,9.5,19.4,0.4,,,SE,31,11:21,14.7,58,,NNW,11,1016.2,18.2,52,2,SE,19,1014.7
,2021-10-26,11.7,,0,,,,,,15.8,46,8,SSW,7,1020.3,19.0,52,,E,20,1017.3
