"Daily Weather Observations for Oberon, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2104.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Oberon (Albion St) {station 063063}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,6.7,19.8,0,,,,,,9.3,61,4,NW,11,,,,,,,
,2021-05-2,7.8,17.3,0.2,,,,,,12.6,58,4,NW,7,,,,,,,
,2021-05-3,4.2,,0.2,,,,,,11.4,80,0,W,19,,,,,,,
,2021-05-4,,9.1,0.8,,,,,,5.1,87,8,SE,15,,,,,,,
,2021-05-5,4.2,12.2,1.2,,,,,,,,8,SSE,22,,,,,,,
,2021-05-6,9.3,13.1,3.0,,,,,,9.5,67,8,SE,44,,,,,,,
,2021-05-7,4.9,17.2,4.2,,,,,,8.6,82,8,SE,15,,,,,,,
,2021-05-8,5.0,16.2,0.6,,,,,,11.4,87,8,W,30,,,,,,,
,2021-05-9,5.1,16.7,0.2,,,,,,10.6,61,8,NW,11,,,,,,,
,2021-05-10,6.8,15.3,0,,,,,,7.3,77,2,W,44,,,,,,,
,2021-05-11,4.6,16.4,0.4,,,,,,9.2,70,8,NE,11,,,,,,,
,2021-05-12,4.2,16.6,0.6,,,,,,9.8,74,2,E,22,,,,,,,
,2021-05-13,5.0,13.6,0,,,,,,8.2,64,2,W,22,,,,,,,
,2021-05-14,3.3,8.7,0,,,,,,6.1,83,2,SW,44,,,,,,,
,2021-05-15,2.6,6.1,0.2,,,,,,3.4,92,2,SW,41,,,,,,,
,2021-05-16,-3.3,11.8,0.8,,,,,,1.9,75,2,SW,15,,,,,,,
,2021-05-17,-3.6,8.6,0.2,,,,,,2.6,66,8,W,26,,,,,,,
,2021-05-18,-2.1,10.3,0.2,,,,,,3.8,66,2,W,4,,,,,,,
,2021-05-19,-3.6,12.7,0.2,,,,,,3.6,64,4,W,4,,,,,,,
,2021-05-20,-2.3,13.1,0.2,,,,,,3.9,59,2,W,4,,,,,,,
,2021-05-21,-1.2,11.8,0.2,,,,,,5.9,54,2,E,11,,,,,,,
,2021-05-22,-2.9,15.3,0.4,,,,,,7.6,65,2,NW,7,,,,,,,
,2021-05-23,-1.6,14.6,0,,,,,,7.2,55,0,NW,4,,,,,,,
,2021-05-24,1.3,12.4,0,,,,,,6.4,70,8,NE,22,,,,,,,
,2021-05-25,-1.8,13.0,0.2,,,,,,8.3,66,0,NE,11,,,,,,,
,2021-05-26,,10.8,0.2,,,,,,4.9,82,6,W,33,,,,,,,
,2021-05-27,,8.6,0.8,,,,,,4.6,79,6,SW,44,,,,,,,
,2021-05-28,,9.3,0.2,,,,,,3.4,66,6,S,37,,,,,,,
,2021-05-29,-4.6,10.6,0,,,,,,3.2,66,0,S,30,,,,,,,
,2021-05-30,-4.2,9.6,0.2,,,,,,5.2,68,2,S,11,,,,,,,
,2021-05-31,-4.7,13.2,0.4,,,,,,3.9,68,0,S,4,,,,,,,
