"Daily Weather Observations for Oberon, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2104.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Oberon (Albion St) {station 063063}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,1.6,10.9,0.2,,,,,,6.1,75,8,NE,7,,,,,,,
,2021-07-2,4.8,11.2,10.8,,,,,,7.2,82,8,W,11,,,,,,,
,2021-07-3,2.6,10.3,0.8,,,,,,3.4,87,8,NW,11,,,,,,,
,2021-07-4,0.8,8.6,0.2,,,,,,3.8,91,6,NW,30,,,,,,,
,2021-07-5,-1.2,8.1,0.4,,,,,,2.9,85,8,SW,22,,,,,,,
,2021-07-6,-2.3,7.2,0,,,,,,2.1,93,6,SE,4,,,,,,,
,2021-07-7,-3.8,10.9,0,,,,,,2.5,89,4,SE,7,,,,,,,
,2021-07-8,-1.3,8.6,0,,,,,,3.9,83,6,SE,11,,,,,,,
,2021-07-9,-2.0,10.3,0.4,,,,,,3.4,94,8,W,7,,,,,,,
,2021-07-10,0.7,8.4,1.6,,,,,,2.8,90,6,SSW,15,,,,,,,
,2021-07-11,1.0,8.7,0.2,,,,,,4.2,81,6,NW,7,,,,,,,
,2021-07-12,-1.3,8.3,0,,,,,,3.2,91,6,SW,7,,,,,,,
,2021-07-13,0.9,10.6,0,,,,,,2.9,87,8,SW,4,,,,,,,
,2021-07-14,-1.8,11.2,2.2,,,,,,2.5,93,8,W,44,,,,,,,
,2021-07-15,0.8,9.2,6.8,,,,,,6.2,82,8,NW,37,,,,,,,
,2021-07-16,1.8,7.3,4.2,,,,,,3.2,81,8,W,48,,,,,,,
,2021-07-17,-1.6,6.2,9.6,,,,,,2.0,95,8,W,52,,,,,,,
,2021-07-18,-2.0,8.6,12.4,,,,,,3.2,92,8,W,30,,,,,,,
,2021-07-19,0.2,8.1,2.8,,,,,,2.0,96,8,W,11,,,,,,,
,2021-07-20,-1.6,,3.6,,,,,,2.1,96,8,W,41,,,,,,,
,2021-07-21,,4.6,0,,,,,,,,,,,,,,,,,
,2021-07-22,-0.8,6.8,0,,,,,,4.2,78,0,W,4,,,,,,,
,2021-07-23,-0.2,8.6,2.4,,,,,,5.4,74,8,W,41,,,,,,,
,2021-07-24,-1.2,5.4,2.4,,,,,,5.0,88,8,W,30,,,,,,,
,2021-07-25,-2.8,6.3,6.4,,,,,,2.1,95,8,W,52,,,,,,,
,2021-07-26,-2.1,8.2,3.8,,,,,,,,8,W,37,,,,,,,
,2021-07-27,2.6,11.2,0,,,,,,6.3,81,0,NW,37,,,,,,,
,2021-07-28,3.1,,0.2,,,,,,9.2,73,6,NW,41,,,,,,,
,2021-07-29,1.0,,0.4,,,,,,4.2,91,4,NW,22,,,,,,,
,2021-07-30,1.2,15.1,2.6,,,,,,6.0,85,6,W,30,,,,,,,
,2021-07-31,2.6,14.8,0,,,,,,8.2,82,2,SW,33,,,,,,,
