"Daily Weather Observations for Orange, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2105.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Orange Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Orange Airport AWS {station 063303}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,14.7,27.2,15.0,,,WSW,61,18:18,18.6,82,1,NNE,19,1013.6,26.3,52,6,N,19,1009.8
,2021-02-2,9.8,21.9,35.8,,,WSW,37,12:19,14.1,90,7,SW,15,1008.8,20.0,53,2,SW,20,1008.3
,2021-02-3,8.9,23.7,0,,,NW,31,12:56,14.7,73,,NE,17,1010.7,23.2,48,2,NNW,17,1008.4
,2021-02-4,12.4,25.9,0,,,NNE,63,15:41,18.2,77,,NNE,17,1010.3,25.2,57,4,N,17,1007.8
,2021-02-5,15.7,27.3,9.6,,,N,48,14:22,19.1,78,7,NNE,20,1009.3,26.3,51,8,N,30,1006.1
,2021-02-6,16.6,20.5,13.4,,,N,48,01:16,17.3,99,7,N,28,1003.4,17.1,99,8,NNW,15,1002.6
,2021-02-7,11.0,23.1,27.8,,,WSW,35,12:11,17.3,68,,SW,11,1006.2,22.4,51,,WSW,19,1005.7
,2021-02-8,11.3,24.4,0,,,NE,35,19:47,16.7,78,,ENE,17,1010.9,23.7,49,8,S,11,1009.5
,2021-02-9,11.8,23.1,0,,,ESE,31,13:43,15.9,77,5,ENE,15,1014.5,21.3,57,7,E,17,1012.5
,2021-02-10,9.2,24.2,0,,,NE,30,08:43,14.3,69,,ENE,19,1014.5,22.7,47,5,SSE,6,1011.9
,2021-02-11,9.5,25.2,0,,,WNW,30,13:01,16.4,80,,NNE,9,1013.1,23.5,42,7,NW,13,1010.1
,2021-02-12,11.3,25.7,0,,,NNW,56,12:25,19.3,63,8,NNW,19,1008.2,24.4,60,8,NW,41,1006.2
,2021-02-13,17.4,23.7,32.6,,,SW,39,14:20,18.1,99,8,NNW,9,1006.4,22.8,59,,SW,22,1007.0
,2021-02-14,8.5,22.6,5.8,,,ESE,37,07:32,14.4,73,,E,24,1013.2,21.6,50,2,E,19,1012.1
,2021-02-15,7.3,22.1,0,,,ESE,44,08:37,13.8,73,,ESE,31,1016.4,21.3,45,,ESE,20,1015.9
,2021-02-16,10.7,23.9,0,,,E,46,08:02,17.7,78,5,E,22,1019.0,22.4,58,7,E,22,1018.2
,2021-02-17,12.1,21.4,0,,,E,44,16:37,15.8,66,1,E,22,1021.3,20.9,46,1,E,24,1019.8
,2021-02-18,11.5,22.4,0,,,ENE,44,10:01,15.6,71,1,ENE,28,1021.0,21.5,59,5,NE,20,1019.5
,2021-02-19,11.1,24.6,0,,,NE,39,11:39,17.4,87,7,ENE,17,1019.0,23.8,57,6,ENE,19,1016.1
,2021-02-20,9.7,27.0,0,,,S,28,17:24,17.8,86,,ENE,9,1015.3,26.4,34,7,ENE,6,1012.1
,2021-02-21,9.5,26.9,0,,,SW,43,14:07,18.8,80,,SE,2,1010.9,26.4,46,,SSW,22,1008.0
,2021-02-22,12.3,27.3,0,,,WSW,46,14:59,22.6,58,,WSW,20,1006.7,26.3,49,8,WSW,28,1005.4
,2021-02-23,7.0,22.5,0,,,E,35,20:41,14.3,62,,SSE,7,1009.4,21.3,28,,NW,17,1009.3
,2021-02-24,8.9,21.5,0,,,NE,44,21:06,12.8,85,8,ENE,20,1014.0,19.6,61,4,NE,24,1011.9
,2021-02-25,10.5,23.2,4.0,,,NW,43,13:27,15.6,94,8,N,22,1009.6,20.6,69,,NW,22,1007.5
,2021-02-26,8.5,24.3,1.4,,,WSW,37,13:29,16.9,50,,WSW,13,1009.6,24.2,35,,W,22,1009.2
,2021-02-27,10.8,26.7,0,,,WNW,26,12:23,18.2,84,7,NE,13,1011.4,24.5,39,4,SW,17,1009.8
,2021-02-28,10.8,26.2,0.2,,,SW,31,13:47,19.2,75,,SW,13,1012.0,25.5,31,,SW,15,1010.0
