"Daily Weather Observations for Orange, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2105.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Orange Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Orange Airport AWS {station 063303}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,10.0,28.3,0,,,WSW,56,14:41,19.1,83,,NNW,13,1010.5,27.4,26,1,WSW,39,1009.4
,2021-03-2,10.8,21.8,0,,,SSW,48,08:10,14.1,54,,SSW,31,1010.8,21.0,29,,SW,20,1010.8
,2021-03-3,5.9,21.7,0,,,SW,28,14:45,12.1,94,1,ENE,7,1013.1,20.9,34,1,WSW,13,1011.9
,2021-03-4,5.9,22.2,0,,,W,39,13:59,13.4,86,1,NE,13,1013.9,21.1,40,,W,22,1010.9
,2021-03-5,9.0,22.5,0,,,SW,33,07:39,13.9,69,,SW,24,1007.3,21.3,37,,SSW,20,1007.0
,2021-03-6,6.6,23.9,0,,,ESE,33,09:25,12.2,87,6,NE,19,1009.9,21.9,34,,SSE,4,1009.1
,2021-03-7,8.9,24.7,0,,,N,37,11:17,13.3,85,1,NE,22,1013.4,24.1,40,,WNW,11,1010.8
,2021-03-8,11.1,26.2,0,,,NNW,44,09:29,16.8,82,2,N,13,1012.3,25.3,29,,W,26,1009.5
,2021-03-9,11.2,26.1,0,,,WNW,46,12:01,18.4,80,,NNW,15,1013.8,25.5,38,1,W,28,1013.6
,2021-03-10,6.2,27.0,0,,,NNE,31,20:18,17.0,83,6,ENE,17,1018.6,25.5,35,4,NNW,15,1016.7
,2021-03-11,13.9,23.1,0,,,WNW,46,15:19,17.2,86,7,NE,13,1020.2,21.4,68,8,N,13,1016.8
,2021-03-12,15.1,21.4,52.4,,,NNW,30,11:44,16.2,99,8,N,13,1017.7,18.9,88,7,WSW,9,1016.3
,2021-03-13,11.1,25.9,14.4,,,WSW,63,20:41,18.1,93,7,NNW,11,1015.6,25.3,62,,NNW,24,1012.1
,2021-03-14,14.6,16.5,52.6,,,WSW,33,23:27,14.6,98,8,SW,17,1012.7,13.8,99,8,SW,20,1013.4
,2021-03-15,4.1,20.0,0.8,,,ESE,20,23:02,10.4,90,,E,11,1019.6,19.4,49,,NNE,4,1019.1
,2021-03-16,7.5,19.2,0,,,ENE,46,09:27,11.5,81,2,ENE,17,1022.9,18.2,61,5,ENE,22,1021.2
,2021-03-17,11.1,17.4,0,,,E,48,11:15,12.2,81,,E,22,1022.1,15.0,77,8,E,28,1020.6
,2021-03-18,12.2,20.0,0.4,,,E,57,15:02,15.3,83,1,E,30,1020.3,18.3,60,6,ENE,28,1020.3
,2021-03-19,13.4,20.7,1.8,,,ESE,56,17:51,15.6,87,8,E,28,1023.0,19.6,63,8,ESE,35,1022.0
,2021-03-20,12.9,20.0,1.4,,,ESE,57,11:12,14.7,87,8,ESE,26,1020.4,18.5,77,8,ESE,22,1017.9
,2021-03-21,14.7,17.3,0,,,ENE,50,02:49,16.6,88,8,E,17,1020.7,15.2,93,8,E,28,1019.4
,2021-03-22,12.3,14.3,32.2,,,ENE,50,14:05,13.3,99,8,E,19,1018.3,14.1,96,7,ENE,28,1014.3
,2021-03-23,12.8,19.2,41.6,,,N,44,13:39,13.8,99,7,ENE,22,1003.7,18.4,99,8,NNW,24,999.2
,2021-03-24,13.7,19.2,30.6,,,WNW,48,15:03,14.1,96,8,W,20,1002.0,18.0,74,8,W,28,1001.4
,2021-03-25,11.9,17.2,1.0,,,W,43,12:58,13.7,99,8,WNW,9,1005.2,16.4,80,8,WSW,26,1006.5
,2021-03-26,4.2,17.5,4.6,,,WSW,30,23:22,10.6,97,,SW,4,1013.0,16.5,59,1,SW,13,1011.4
,2021-03-27,5.2,19.2,0,,,NW,44,15:09,14.0,75,,NW,6,1013.7,18.3,51,8,W,15,1012.0
,2021-03-28,6.2,18.0,0,,,SW,33,10:19,13.5,66,,WSW,9,1016.7,17.2,49,1,W,17,1015.5
,2021-03-29,3.8,18.1,0,,,SSW,39,12:04,12.0,76,,SSE,6,1019.3,17.4,51,,SSW,20,1018.3
,2021-03-30,4.7,19.1,0,,,SSE,28,13:39,11.7,99,, ,Calm,1021.6,18.5,53,,S,13,1020.1
,2021-03-31,3.7,19.8,0,,,S,30,14:16,11.6,83,,E,9,1022.6,19.1,46,,SSE,19,1021.1
