"Daily Weather Observations for Orange, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2105.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Orange Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Orange Airport AWS {station 063303}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,7.1,13.2,0,,,W,59,11:54,11.2,83,7,NNW,17,1011.3,8.5,90,8,NW,17,1011.9
,2021-08-2,-2.5,12.3,2.4,,,NE,41,12:19,5.4,89,,ENE,17,1020.2,11.9,59,1,NE,24,1016.4
,2021-08-3,5.4,8.2,8.2,,,WSW,61,21:39,6.3,92,8,W,24,1013.2,6.4,74,8,W,24,1012.7
,2021-08-4,0.7,4.8,5.2,,,WSW,65,09:38,1.4,95,8,WSW,35,1016.6,4.5,95,8,WSW,35,1017.0
,2021-08-5,1.3,7.1,5.0,,,SW,52,00:17,4.7,99,8,SW,28,1021.4,6.0,94,8,WSW,24,1021.1
,2021-08-6,4.6,8.1,0.2,,,SW,50,00:02,5.8,91,8,SW,26,1025.3,7.0,87,8,SW,24,1024.6
,2021-08-7,3.2,7.2,0,,,SSW,46,00:34,4.2,91,8,SW,24,1027.6,5.9,80,8,SW,30,1026.1
,2021-08-8,-1.2,12.8,0,,,ENE,39,12:36,7.1,77,,E,22,1031.3,11.0,74,7,E,19,1029.6
,2021-08-9,4.5,13.6,0,,,NE,39,01:26,7.8,85,3,NE,19,1031.3,12.1,63,6,NNW,22,1027.2
,2021-08-10,0.4,13.7,0.2,,,NNW,43,10:22,8.5,93,8,NNW,26,1029.7,13.3,64,8,NNW,28,1026.4
,2021-08-11,2.1,14.1,0,,,NNW,48,09:30,10.1,86,1,NNW,26,1027.7,13.3,77,8,NNW,33,1023.2
,2021-08-12,5.3,9.4,18.4,,,WNW,54,00:53,6.1,88,3,SW,24,1027.0,9.1,60,,SSW,19,1027.2
,2021-08-13,-0.9,9.7,0.2,,,SW,39,12:05,5.1,77,4,SSW,24,1030.3,9.0,69,,SSW,22,1027.2
,2021-08-14,-2.1,13.3,0.2,,,SW,26,14:22,6.9,71,,E,9,1029.7,11.9,50,,SSW,17,1027.2
,2021-08-15,-2.8,11.6,0,,,SW,35,15:21,6.9,68,,SW,11,1027.9,11.2,46,,SW,17,1024.9
,2021-08-16,1.0,11.0,0,,,WSW,48,13:45,6.7,79,,SW,26,1026.3,9.8,71,7,WSW,28,1024.1
,2021-08-17,3.2,8.6,0,,,SW,43,11:47,4.9,92,8,SSW,17,1024.3,6.6,73,6,SW,30,1022.5
,2021-08-18,-3.3,13.2,0.2,,,NNE,28,09:49,6.4,84,,NE,15,1026.6,12.9,48,,NE,4,1023.8
,2021-08-19,-1.5,13.4,0,,,NNW,33,11:37,8.5,70,6,N,9,1025.4,12.6,54,1,N,17,1022.5
,2021-08-20,-0.2,14.9,0,,,WNW,44,12:59,9.7,71,,N,7,1023.4,13.8,48,1,NW,26,1020.3
,2021-08-21,3.7,16.3,0.6,,,WNW,50,12:08,8.8,93,,NNE,6,1022.9,15.4,48,1,W,24,1020.4
,2021-08-22,4.4,18.2,0,,,NNW,43,11:34,13.9,54,,NNW,17,1024.0,17.6,41,4,NNW,28,1019.7
,2021-08-23,7.0,16.7,0,,,NNW,63,11:12,14.7,67,,N,30,1016.2,10.9,93,8,N,20,1013.3
,2021-08-24,3.4,3.9,51.8,,,SW,65,18:36,3.8,99,,SSW,17,1010.1,2.3,99,6,SW,31,1010.6
,2021-08-25,0.1,7.2,19.8,,,WSW,41,13:10,2.2,87,4,SW,22,1016.1,6.7,72,1,SW,24,1015.9
,2021-08-26,-2.2,10.2,0.2,,,WSW,20,12:29,7.1,78,,E,9,1019.6,9.0,68,7,WSW,13,1017.7
,2021-08-27,2.1,8.3,0,,,WSW,44,14:31,6.7,81,5,WSW,9,1018.9,5.8,80,8,W,22,1017.4
,2021-08-28,-1.9,9.9,0.4,,,WSW,35,09:49,5.9,62,,SW,20,1019.9,9.7,52,,SW,11,1018.0
,2021-08-29,-1.4,12.5,0,,,N,52,12:36,9.3,57,,NNE,15,1014.7,9.5,57,1,NW,31,1012.1
,2021-08-30,-0.5,12.2,0,,,NW,28,13:01,6.5,86,,NNE,6,1019.8,11.2,57,1,NNW,13,1019.2
,2021-08-31,-2.3,15.4,0.2,,,N,30,14:26,11.0,57,,SW,6,1024.4,15.0,47,,NW,20,1023.2
