"Daily Weather Observations for Parkes, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2106.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Parkes Airport."
"Observations were drawn from Parkes Airport AWS {station 065068}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,8.3,20.7,8.0,,,W,41,15:57,17.2,80,,N,20,1007.4,20.4,63,,W,17,1003.4
,2021-10-2,11.8,18.9,0.2,,,WNW,35,10:22,14.4,85,,WNW,19,1006.8,15.1,91,,WNW,17,1004.2
,2021-10-3,7.6,20.7,2.2,,,,,,13.6,92,,N,9,1007.0,19.7,58,,N,13,1003.7
,2021-10-4,10.2,18.8,0,,,WSW,41,07:26,12.2,80,,SW,28,1004.9,17.2,53,,W,22,1005.3
,2021-10-5,3.7,17.5,0,,,SW,43,10:41,10.0,84,,WSW,17,1013.4,16.0,48,,W,26,1013.2
,2021-10-6,0.7,20.9,0,,,SW,22,10:43,11.3,84,,NE,7,1018.2,19.6,32,,WSW,9,1014.2
,2021-10-7,6.2,23.0,0,,,NNW,44,09:53,16.6,48,,N,28,1011.4,22.8,41,,W,22,1010.7
,2021-10-8,1.7,22.5,0,,,W,20,14:38,12.0,79,,NW,7,1017.8,21.0,38,,NW,7,1015.6
,2021-10-9,4.1,26.6,0,,,NNW,35,09:51,16.5,73,, ,Calm,1016.7,25.7,45,,N,17,1013.1
,2021-10-10,12.3,22.0,0,,,SW,43,22:59,20.0,62,,WNW,11,1009.7,16.5,89,,NNW,9,1010.1
,2021-10-11,10.4,17.6,6.0,,,SW,43,23:01,11.3,89,,SW,13,1014.6,16.2,45,,SW,15,1012.7
,2021-10-12,9.8,18.4,10.0,,,E,39,09:08,11.9,80,,E,20,1014.0,18.2,62,,ENE,24,1011.8
,2021-10-13,9.4,19.9,0.2,,,NE,43,10:21,15.9,71,,NE,19,1012.0,17.2,82,,NW,17,1009.1
,2021-10-14,12.2,22.3,3.6,,,N,50,10:57,15.2,86,,NE,15,1006.2,22.2,49,,NNW,28,1002.5
,2021-10-15,8.9,14.5,1.6,,,W,59,13:31,11.3,77,,N,22,1003.7,12.7,85,,W,15,1002.6
,2021-10-16,8.0,17.2,5.0,,,W,43,15:33,9.6,84,,WSW,24,1010.1,14.7,63,,WSW,24,1009.8
,2021-10-17,2.3,20.1,0,,,WSW,26,15:35,11.4,83,, ,Calm,1016.5,19.2,45,,WNW,11,1014.1
,2021-10-18,3.8,23.9,0.2,,,WNW,26,14:26,15.1,76,,NNE,6,1017.0,23.2,33,,WNW,13,1014.4
,2021-10-19,8.5,21.5,0,,,SSW,37,13:56,16.1,68,,SSW,15,1017.7,21.4,42,,SSW,24,1015.9
,2021-10-20,4.1,23.0,0,,,SSE,46,14:36,15.0,63,,SSE,17,1017.9,22.0,40,,SSE,20,1014.9
,2021-10-21,6.0,22.5,0,,,E,24,05:14,17.2,58,,E,15,1015.5,22.1,46,,E,9,1012.9
,2021-10-22,9.1,27.1,0,,,N,22,09:13,19.9,61,,NE,11,1015.9,25.1,39,,N,7,1013.4
,2021-10-23,9.5,27.3,0,,,NNE,31,07:43,21.5,62,,NNE,19,1012.7,26.2,46,,SW,22,1010.6
,2021-10-24,6.7,20.9,0,,,SSW,46,15:07,12.1,78,,SW,17,1018.5,20.0,31,,SW,26,1016.9
,2021-10-25,1.2,19.3,0,,,SW,37,14:23,10.4,67,,WSW,11,1019.0,17.9,35,,SSW,19,1016.6
,2021-10-26,1.3,,0,,,,,,13.9,59,,WSW,7,1020.2,21.8,29,,SW,7,1017.0
