"Daily Weather Observations for Parramatta, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2107.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Parramatta North (Masons Drive) {station 066124}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,15.0,33.6,0,,,,,,21.2,79,8,NNE,6,,,,,,,
,2020-12-2,16.7,23.0,11.8,,,,,,21.2,76,8,SE,19,,,,,,,
,2020-12-3,16.6,25.0,0.2,,,,,,20.0,77,8,NE,2,,,,,,,
,2020-12-4,17.1,34.5,0,,,,,,25.0,66,0,W,4,,,,,,,
,2020-12-5,16.8,25.5,0,,,,,,20.0,83,8,W,4,,,,,,,
,2020-12-6,19.0,29.8,7.2,,,,,,24.2,49,1,WNW,15,,,,,,,
,2020-12-7,15.4,29.7,0,,,,,,24.5,42,3,NW,11,,,,,,,
,2020-12-8,14.8,24.0,0,,,,,,19.0,46,1,SW,11,,,,,,,
,2020-12-9,15.2,27.2,0,,,,,,19.8,63,1,W,2,,,,,,,
,2020-12-10,13.6,28.2,0,,,,,,22.2,66,2,WSW,4,,,,,,,
,2020-12-11,15.5,22.5,0,,,,,,19.5,56,6,SE,11,,,,,,,
,2020-12-12,15.8,24.2,0,,,,,,21.0,57,8,E,6,,,,,,,
,2020-12-13,12.3,23.6,1.6,,,,,,21.0,66,6,ESE,6,,,,,,,
,2020-12-14,16.6,24.5,5.0,,,,,,20.8,89,8,SW,4,,,,,,,
,2020-12-15,18.0,25.0,6.6,,,,,,21.2,98,8,ESE,2,,,,,,,
,2020-12-16,20.0,29.5,11.0,,,,,,24.2,90,7,NE,6,,,,,,,
,2020-12-17,19.9,33.3,2.4,,,,,,26.6,74,6,NNW,6,,,,,,,
,2020-12-18,20.0,31.2,0.6,,,,,,30.7,60,6,W,4,,,,,,,
,2020-12-19,18.5,19.9,1.6,,,,,,19.2,81,8,SSE,9,,,,,,,
,2020-12-20,17.2,23.8,4.8,,,,,,18.2,98,8,SE,4,,,,,,,
,2020-12-21,16.8,24.0,0.4,,,,,,20.7,93,8,ENE,2,,,,,,,
,2020-12-22,17.0,27.7,24.4,,,,,,20.2,98,8,NNW,4,,,,,,,
,2020-12-23,11.5,26.0,0,,,,,,21.5,58,2,SSW,9,,,,,,,
,2020-12-24,15.8,28.5,0,,,,,,21.4,74,6,NW,2,,,,,,,
,2020-12-25,17.3,21.0,0,,,,,,19.0,83,8,SSW,19,,,,,,,
,2020-12-26,15.8,24.4,1.8,,,,,,19.8,83,8,ESE,2,,,,,,,
,2020-12-27,15.5,31.8,7.2,,,,,,18.5,97,8,NNW,4,,,,,,,
,2020-12-28,17.6,30.7,0,,,,,,27.0,61,7,NW,2,,,,,,,
,2020-12-29,15.5,19.7,12.0,,,,,,17.0,98,8,WNW,2,,,,,,,
,2020-12-30,16.0,22.5,11.0,,,,,,18.4,99,8,SSW,7,,,,,,,
,2020-12-31,16.2,24.3,1.6,,,,,,21.8,71,7,S,7,,,,,,,
