"Daily Weather Observations for Paterson, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2108.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Paterson (Tocal AWS) {station 061250}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,18.5,19.6,2.6,,,S,30,16:14,18.7,94,0,SSW,9,,18.8,93,,S,13,
,2021-01-2,16.9,22.7,16.2,,,ESE,24,20:17,18.8,93,, ,Calm,,20.5,89,,SE,13,
,2021-01-3,18.7,27.6,1.8,,,E,26,17:23,22.4,79,,NNE,13,,24.0,84,,NNW,6,
,2021-01-4,17.6,28.7,0.8,,,WSW,57,16:28,21.8,86,,ENE,7,,28.3,63,,ESE,6,
,2021-01-5,16.2,31.0,38.6,,,W,33,11:47,23.2,71,,WSW,13,,29.6,54,,NW,13,
,2021-01-6,20.3,24.8,0.6,,,SSE,31,13:51,22.4,80,,SSW,7,,23.4,67,,SSE,13,
,2021-01-7,17.9,24.4,4.6,,,SE,37,11:23,20.7,71,0,S,13,,21.6,67,,SE,19,
,2021-01-8,16.1,22.9,0.8,,,SE,37,15:38,19.5,72,7,SSE,4,,22.1,56,,SE,15,
,2021-01-9,15.9,24.9,9.0,1.1,,ENE,41,11:48,18.7,90,6,S,6,,22.9,66,,ESE,17,
,2021-01-10,14.0,27.0,0.2,4.8,,SSE,31,14:37,19.8,88,1,E,7,,25.9,55,,SE,13,
,2021-01-11,13.7,29.0,0.2,,,NE,28,09:02,21.7,70,,ENE,4,,28.4,45,,ESE,9,
,2021-01-12,14.9,32.0,0,,,ENE,17,23:36,21.9,73,,NNW,2,,30.9,38,,ENE,2,
,2021-01-13,15.7,30.9,0,,,ESE,30,17:59,22.8,76,1, ,Calm,,29.9,47,,ESE,9,
,2021-01-14,16.6,35.6,0,,,SSW,46,19:33,21.5,84,6,NNE,11,,34.6,34,,NW,13,
,2021-01-15,20.9,31.2,10.2,,,NNE,31,17:17,25.0,77,4,SE,7,,29.8,61,,ESE,13,
,2021-01-16,17.3,28.2,1.2,,,,,,20.8,29,,W,20,,26.9,29,,WNW,11,
,2021-01-17,11.8,27.7,0,,,SSW,31,13:23,21.4,56,,N,7,,25.9,42,,SE,19,
,2021-01-18,14.2,30.9,0,8.0,,NE,20,18:06,18.3,81,7,NE,6,,29.4,45,,ESE,4,
,2021-01-19,16.3,27.4,0,4.0,,SE,37,11:21,23.3,73,6,WSW,9,,22.8,65,,SSE,15,
,2021-01-20,17.1,22.7,1.4,5.6,,SSE,31,12:43,18.4,84,8,WSW,6,,21.5,61,,SE,13,
,2021-01-21,12.6,28.5,0.2,,,ENE,28,10:25,20.4,70,1,N,2,,27.5,41,,NNE,11,
,2021-01-22,14.4,34.1,0,,,NW,28,10:32,21.4,73,2,NE,7,,33.9,33,,W,6,
,2021-01-23,18.0,36.1,0,,,NW,28,09:10,25.9,57,0,E,4,,35.2,32,,S,6,
,2021-01-24,17.7,36.9,0,8.0,,E,24,15:26,25.4,63,0,NE,7,,35.7,29,,ESE,7,
,2021-01-25,15.4,37.2,0,,,E,28,16:03,23.3,72,,NE,6,,35.9,23,,N,9,
,2021-01-26,18.1,37.9,0,,,NW,31,10:43,27.3,68,0, ,Calm,,37.2,23,,NW,13,
,2021-01-27,23.0,25.9,0,10.5,,S,35,12:04,25.9,71,8,SSW,13,,22.9,78,,SSW,13,
,2021-01-28,19.3,21.0,27.6,7.0,,SSE,37,09:58,20.5,96,8,S,13,,20.6,95,,SE,13,
,2021-01-29,19.0,24.9,16.8,3.4,,ESE,33,07:48,21.0,96,8,ESE,20,,24.0,83,,ESE,17,
,2021-01-30,20.7,30.0,1.4,,,SW,43,14:18,22.9,84,8, ,Calm,,29.9,62,,SE,6,
,2021-01-31,18.2,27.6,1.4,3.8,,S,33,12:52,21.9,95,8,N,6,,25.7,74,,S,15,
