"Daily Weather Observations for Paterson, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2108.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Paterson (Tocal AWS) {station 061250}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,20.6,32.1,0,,,NNE,26,20:50,23.5,89,5, ,Calm,,30.8,57,,ENE,7,
,2021-03-2,17.8,28.2,0,,,SSE,33,14:12,22.6,70,4,WSW,9,,25.9,62,,SE,20,
,2021-03-3,18.0,23.7,0,,,ESE,31,13:52,19.5,82,8,S,6,,23.3,60,,SSE,20,
,2021-03-4,14.1,27.6,0,,,W,28,15:24,17.5,91,4,NNE,6,,26.9,41,,WSW,13,
,2021-03-5,13.7,27.3,0,,,S,33,13:04,21.8,62,0,NE,4,,23.4,61,,SE,17,
,2021-03-6,17.1,24.3,0,,,SE,33,13:54,19.7,74,,SSW,7,,23.8,48,,SE,20,
,2021-03-7,12.5,27.3,0.2,,,E,28,13:55,18.4,87,0, ,Calm,,26.3,50,,E,15,
,2021-03-8,16.3,30.7,0,,,,,,20.5,83,6,ENE,2,,,,,,,
,2021-03-9,16.3,31.9,,,,,,,,,6,,,,30.8,40,,WNW,13,
,2021-03-10,20.0,26.0,,,,ESE,30,13:52,22.3,82,6,SE,7,,24.6,64,,ESE,20,
,2021-03-11,18.4,28.1,0,,,NE,33,14:18,23.3,72,5,ESE,11,,26.6,60,,NE,24,
,2021-03-12,20.5,28.0,0,,,SE,28,17:02,22.9,74,7, ,Calm,,27.2,63,,SE,2,
,2021-03-13,17.3,32.0,26.8,,,NNE,28,19:06,19.9,96,4, ,Calm,,30.3,54,,SE,2,
,2021-03-14,19.7,22.3,1.4,,,SW,33,12:03,22.0,90,8,ESE,9,,18.6,95,,SSW,11,
,2021-03-15,14.4,23.1,63.0,,,ESE,30,14:44,17.0,78,8,W,7,,22.1,68,,ESE,19,
,2021-03-16,12.6,21.9,0,,,SE,20,17:24,15.2,94,8,NE,6,,20.9,74,,SSE,7,
,2021-03-17,15.1,22.7,8.4,,,E,41,11:23,17.6,95,8,SSW,9,,21.5,82,,SE,17,
,2021-03-18,17.5,20.1,23.0,,,SE,44,07:02,18.9,93,,ESE,19,,18.9,94,,SE,13,
,2021-03-19,18.0,21.7,21.4,,,ESE,41,16:10,19.3,94,,SW,2,,21.5,82,,SE,11,
,2021-03-20,17.9,23.4,91.6,,,SE,39,23:45,19.8,96,0,SSE,9,,22.4,83,,ESE,20,
,2021-03-21,19.7,20.1,10.4,,,E,39,08:25,20.0,90,8,E,17,,19.9,89,,E,17,
,2021-03-22,17.7,20.0,28.2,,,NE,26,23:12,18.7,96,8,SSE,9,,19.2,87,,ENE,13,
,2021-03-23,17.3,22.6,17.6,,,NE,39,09:32,19.1,88,,NE,19,,20.8,87,,NNE,15,
,2021-03-24,18.9,28.0,3.0,,,NW,54,11:06,22.5,70,0,NW,20,,27.4,47,,WNW,17,
,2021-03-25,18.1,27.5,0,,,WNW,48,12:27,21.7,64,5,NW,15,,25.8,51,,NW,20,
,2021-03-26,15.0,26.0,0,,,S,26,15:24,19.1,75,0,NE,2,,25.5,44,,E,9,
,2021-03-27,15.5,27.4,0,,,W,28,09:29,18.9,82,3, ,Calm,,27.3,41,,W,9,
,2021-03-28,12.5,,0,,,,,,17.0,85,1, ,Calm,,25.9,41,,SE,13,
,2021-03-29,,27.3,,,,SSE,28,13:47,,,,,,,24.6,57,,SE,19,
,2021-03-30,14.6,23.0,3.8,,,SE,26,10:56,16.6,90,6,WSW,4,,21.8,57,,SE,15,
,2021-03-31,14.9,23.4,2.2,,,SSW,30,14:30,15.9,93,6,NNW,2,,21.9,61,,S,13,
