"Daily Weather Observations for Paterson, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2108.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Paterson (Tocal AWS) {station 061250}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,3.8,18.1,0,,,ENE,15,11:40,8.6,97,3,N,4,,17.5,63,,E,7,
,2021-06-2,4.9,21.7,0,,,ENE,13,10:18,10.1,91,3,N,2,,20.4,54,,ENE,9,
,2021-06-3,7.4,17.2,0,,,NW,39,23:50,9.9,94,8, ,Calm,,13.5,95,,WSW,9,
,2021-06-4,9.8,20.1,12.4,,,WNW,41,10:59,16.9,65,1,WNW,17,,19.0,55,,WNW,17,
,2021-06-5,8.3,17.5,0,,,W,26,13:40,13.9,61,5,SW,7,,16.1,51,,W,9,
,2021-06-6,6.8,17.5,0,2.4,,NW,26,00:01,11.8,57,0,NW,9,,16.7,47,,WSW,4,
,2021-06-7,2.6,19.1,0,0.0,,NE,17,09:09,8.0,80,2,NE,9,,18.5,46,,ENE,7,
,2021-06-8,3.4,17.0,0,1.7,,NE,28,18:57,7.4,95,8,NNW,2,,14.9,76,,ESE,6,
,2021-06-9,7.4,13.7,9.8,2.3,,NNW,52,15:18,10.3,73,2,NW,28,,11.7,64,,NNW,19,
,2021-06-10,6.1,12.1,0.4,0.7,,,,,8.7,85,8,NNE,4,,9.4,90,,WSW,7,
,2021-06-11,4.0,14.3,6.6,,,,,,10.8,65,3,NW,24,,13.1,63,,WNW,20,
,2021-06-12,6.2,17.5,0,,,,,,13.5,63,1,NW,13,,16.4,50,,NNW,22,
,2021-06-13,10.0,17.5,0,,,WNW,44,11:50,14.4,51,0,WNW,17,,16.6,46,,NW,13,
,2021-06-14,2.4,17.4,0,,,WNW,30,11:00,9.0,81,0,NE,7,,16.0,47,,W,13,
,2021-06-15,2.8,17.8,0,1.9,,WNW,19,12:37,9.6,82,3, ,Calm,,16.9,53,,SW,6,
,2021-06-16,3.4,20.7,0,,,NE,35,21:27,8.6,90,0,N,2,,19.6,54,,ENE,7,
,2021-06-17,8.6,17.8,0.4,0.6,,NW,63,11:24,14.6,50,0,NW,19,,16.4,44,,WNW,26,
,2021-06-18,12.2,18.6,0,5.7,,W,56,12:19,14.7,61,0,WNW,19,,16.6,52,,WNW,19,
,2021-06-19,11.9,16.0,0,,,SW,50,16:19,14.2,57,1,W,19,,14.4,71,,WSW,17,
,2021-06-20,11.2,15.0,4.6,3.0,,S,28,11:21,13.3,76,8,WSW,15,,14.0,82,,SW,13,
,2021-06-21,7.8,17.9,3.6,,,SSE,26,15:48,11.7,89,6,NE,6,,16.3,65,,S,9,
,2021-06-22,7.8,17.8,0.2,2.2,,SE,17,11:39,10.2,95,4,NNW,4,,16.3,74,,S,7,
,2021-06-23,6.0,16.7,0.2,,,ESE,13,11:34,8.6,97,7, ,Calm,,16.3,79,,ESE,7,
,2021-06-24,8.3,20.9,0.4,,,NNW,33,14:14,12.5,95,, ,Calm,,20.7,52,,NW,22,
,2021-06-25,11.6,19.7,0.8,,,NW,39,12:37,16.7,66,,WNW,15,,18.4,57,,WNW,17,
,2021-06-26,6.5,18.0,0,,,W,41,11:34,14.3,65,1,NW,17,,16.7,47,,WNW,20,
,2021-06-27,7.5,18.1,0,,,W,26,10:45,13.3,65,0,WNW,11,,16.7,39,,WNW,9,
,2021-06-28,3.6,14.3,2.2,0.0,,NE,15,11:27,6.8,90,8,NNE,6,,13.4,89,,ENE,7,
,2021-06-29,6.7,18.5,4.0,,,ESE,24,17:01,12.0,97,7,NE,4,,17.1,74,,ESE,9,
,2021-06-30,8.7,17.3,4.8,,,SE,13,13:22,10.6,98,,NE,2,,17.2,80,,SE,9,
