"Daily Weather Observations for Peak Hill, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2109.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Peak Hill Post Office {station 050031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,18.9,24.6,3.0,,,,,,19.0,82,7, ,Calm,,,,,,,
,2021-01-2,17.2,30.1,3.4,,,,,,23.0,60,6,NE,19,,,,,,,
,2021-01-3,17.5,30.0,23.2,,,,,,21.2,81,8,NW,4,,,,,,,
,2021-01-4,21.2,28.1,0,,,,,,24.8,73,7,NE,7,,,,,,,
,2021-01-5,16.7,30.7,14.4,,,,,,21.8,79,3,N,4,,,,,,,
,2021-01-6,15.8,31.0,0,,,,,,22.7,75,2,SE,4,,,,,,,
,2021-01-7,18.1,27.2,0,,,,,,21.6,57,6, ,Calm,,,,,,,
,2021-01-8,15.6,27.4,0,,,,,,19.6,52,0,SE,30,,,,,,,
,2021-01-9,15.3,29.4,0,,,,,,21.7,57,0,SE,37,,,,,,,
,2021-01-10,15.9,32.7,0,,,,,,22.2,60,0,W,4,,,,,,,
,2021-01-11,19.4,33.5,0,,,,,,26.1,49,0,SE,7,,,,,,,
,2021-01-12,21.4,36.2,0,,,,,,26.9,47,7,NW,11,,,,,,,
,2021-01-13,21.4,37.7,0,,,,,,26.2,58,3, ,Calm,,,,,,,
,2021-01-14,24.5,38.0,0,,,,,,29.0,35,2,NW,30,,,,,,,
,2021-01-15,17.2,32.0,0,,,,,,24.5,31,0, ,Calm,,,,,,,
,2021-01-16,10.8,26.8,0,,,,,,16.4,48,0,SW,37,,,,,,,
,2021-01-17,12.5,29.5,0,,,,,,20.9,41,1,SE,30,,,,,,,
,2021-01-18,14.1,32.8,0,,,,,,23.1,32,1,SE,11,,,,,,,
,2021-01-19,16.1,33.8,0,,,,,,23.1,35,0,S,7,,,,,,,
,2021-01-20,18.3,33.9,0,,,,,,22.7,55,0,SE,30,,,,,,,
,2021-01-21,16.9,35.6,0,,,,,,23.9,49,1,SE,26,,,,,,,
,2021-01-22,19.5,36.2,0,,,,,,25.7,50,0,NW,26,,,,,,,
,2021-01-23,21.8,39.2,0,,,,,,27.5,53,0,NE,26,,,,,,,
,2021-01-24,25.2,39.8,0,,,,,,30.8,43,1,NW,26,,,,,,,
,2021-01-25,24.6,38.1,0,,,,,,29.1,38,2,NW,22,,,,,,,
,2021-01-26,24.0,36.9,0,,,,,,29.4,45,3,NW,30,,,,,,,
,2021-01-27,22.6,38.3,0,,,,,,25.6,71,7,SE,11,,,,,,,
,2021-01-28,22.4,30.5,0,,,,,,24.3,64,7,NE,33,,,,,,,
,2021-01-29,21.4,29.9,0,,,,,,23.4,64,8,SE,33,,,,,,,
,2021-01-30,21.1,,3.4,,,,,,23.9,69,7,NE,7,,,,,,,
,2021-01-31,,37.5,0,,,,,,,,,,,,,,,,,
