"Daily Weather Observations for Peak Hill, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2109.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Peak Hill Post Office {station 050031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,11.8,18.0,0,,,,,,13.1,77,7, ,Calm,,,,,,,
,2021-08-2,2.4,19.2,0.8,,,,,,9.1,87,0, ,Calm,,,,,,,
,2021-08-3,8.7,14.0,5.4,,,,,,10.4,85,5,SW,4,,,,,,,
,2021-08-4,5.2,11.8,0.2,,,,,,6.9,87,7,SW,7,,,,,,,
,2021-08-5,4.8,13.4,0.4,,,,,,10.2,90,7,SW,15,,,,,,,
,2021-08-6,6.2,,0,,,,,,11.1,77,5,S,11,,,,,,,
,2021-08-7,,,0,,,,,,,,,,,,,,,,,
,2021-08-8,,19.4,0,,,,,,,,,,,,,,,,,
,2021-08-9,2.7,19.4,0,,,,,,14.0,64,0,E,19,,,,,,,
,2021-08-10,9.6,20.9,0,,,,,,14.2,73,5,N,19,,,,,,,
,2021-08-11,12.1,21.9,0,,,,,,15.4,71,3,N,30,,,,,,,
,2021-08-12,9.8,15.6,2.4,,,,,,11.4,77,1,S,7,,,,,,,
,2021-08-13,1.5,16.0,0,,,,,,9.9,76,0, ,Calm,,,,,,,
,2021-08-14,2.8,18.0,0,,,,,,9.7,78,0, ,Calm,,,,,,,
,2021-08-15,0.4,17.9,0,,,,,,9.1,73,0, ,Calm,,,,,,,
,2021-08-16,2.4,17.9,0,,,,,,10.2,68,0,S,4,,,,,,,
,2021-08-17,3.1,14.6,0,,,,,,8.2,93,1,S,4,,,,,,,
,2021-08-18,2.5,20.4,0,,,,,,13.2,60,0,E,26,,,,,,,
,2021-08-19,4.5,19.7,0,,,,,,13.0,72,0, ,Calm,,,,,,,
,2021-08-20,4.4,21.1,0,,,,,,15.0,68,0, ,Calm,,,,,,,
,2021-08-21,11.2,23.2,3.4,,,,,,15.3,66,7, ,Calm,,,,,,,
,2021-08-22,11.0,25.7,0,,,,,,16.1,59,7,NW,4,,,,,,,
,2021-08-23,14.6,19.6,0,,,,,,19.1,59,7,NW,30,,,,,,,
,2021-08-24,6.4,9.1,41.0,,,,,,7.2,90,8,NW,33,,,,,,,
,2021-08-25,1.0,13.4,1.6,,,,,,6.0,79,1,SW,7,,,,,,,
,2021-08-26,1.7,16.9,0,,,,,,7.6,85,0,S,4,,,,,,,
,2021-08-27,7.1,16.5,0,,,,,,11.0,64,6, ,Calm,,,,,,,
,2021-08-28,1.4,17.4,0,,,,,,9.8,70,0,S,4,,,,,,,
,2021-08-29,7.2,19.1,0,,,,,,12.1,54,8, ,Calm,,,,,,,
,2021-08-30,2.9,17.5,0,,,,,,8.5,81,8,W,4,,,,,,,
,2021-08-31,3.8,22.4,0,,,,,,13.6,70,0, ,Calm,,,,,,,
