"Daily Weather Observations for Marrangaroo, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2110.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Marrangaroo (Defence) {station 063308}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,11.7,13.4,0.2,,,SE,22,00:53,12.6,89,,SE,7,,12.6,90,,ESE,7,
,2021-01-2,10.2,17.6,7.2,,,ESE,20,16:55,12.7,92,,SSW,4,,16.6,80,,E,7,
,2021-01-3,12.6,23.2,0.6,,,WSW,24,12:41,16.2,90,,ENE,2,,19.6,80,,E,4,
,2021-01-4,13.1,22.4,8.8,,,W,22,13:04,18.7,93,,NNW,11,,15.6,92,,NW,9,
,2021-01-5,11.5,25.5,19.2,,,W,28,12:33,16.9,76,,W,9,,24.0,47,,WSW,9,
,2021-01-6,10.5,21.2,0.2,,,ESE,33,17:54,16.9,77,,ENE,6,,18.9,80,,E,9,
,2021-01-7,10.7,18.0,5.4,,,SSE,31,22:33,13.9,76,,SE,9,,17.4,69,,ESE,9,
,2021-01-8,9.8,15.1,2.6,,,SE,30,05:34,11.5,81,,SE,11,,13.7,76,,ESE,9,
,2021-01-9,10.4,20.6,0,,,SE,24,10:30,14.4,77,,SE,9,,18.4,57,,SE,9,
,2021-01-10,7.2,23.7,0.2,,,ENE,26,15:59,15.4,79,,S,4,,23.0,38,,ESE,9,
,2021-01-11,7.1,25.6,0.2,,,NE,19,15:46,16.7,67,, ,Calm,,25.2,31,,ENE,7,
,2021-01-12,7.8,28.6,0,,,SSE,22,15:21,21.0,54,, ,Calm,,27.1,23,,SSW,6,
,2021-01-13,11.5,27.5,0,,,ESE,24,14:31,20.0,65,,SE,6,,27.0,37,,ESE,9,
,2021-01-14,13.3,30.8,0,,,SW,33,16:47,23.9,41,,NNW,9,,29.4,31,,WNW,11,
,2021-01-15,8.9,27.0,0,,,W,41,14:41,20.1,57,,NW,6,,26.4,30,,WNW,19,
,2021-01-16,7.3,20.6,0,,,WSW,41,04:06,11.2,52,,WSW,13,,19.4,27,,SW,19,
,2021-01-17,6.0,24.6,0,,,W,24,14:19,14.5,54,,SE,7,,23.5,33,,NW,9,
,2021-01-18,7.7,26.8,0,,,W,26,13:22,16.1,72,,NW,6,,25.3,28,,W,11,
,2021-01-19,5.8,22.9,0,,,ESE,33,15:57,18.2,54,,SE,7,,19.9,64,,E,13,
,2021-01-20,11.3,17.7,0,,,E,22,17:30,12.0,85,,SE,7,,14.9,74,,E,9,
,2021-01-21,8.4,26.5,0,,,ENE,26,18:48,14.7,66,,NNE,7,,23.8,34,,NNW,6,
,2021-01-22,9.9,29.3,0,,,NW,35,12:00,20.7,56,,NNW,6,,27.8,33,,NW,7,
,2021-01-23,11.1,30.9,0,,,WSW,26,10:22,23.5,57,,WNW,6,,29.1,30,,W,6,
,2021-01-24,13.1,32.5,0,,,ESE,30,16:15,24.8,49,,NNW,9,,31.8,22,,WNW,6,
,2021-01-25,17.1,32.1,1.8,,,SE,19,12:40,23.5,61,, ,Calm,,31.0,28,,N,6,
,2021-01-26,13.6,31.2,0.2,,,NNW,41,14:40,24.3,47,,WNW,9,,30.9,32,,WNW,11,
,2021-01-27,16.9,21.7,0.2,,,ESE,30,18:14,21.5,79,,E,6,,17.3,84,,ESE,7,
,2021-01-28,13.6,17.0,0,,,SSE,33,14:30,15.1,89,,SE,11,,15.0,83,,SE,15,
,2021-01-29,12.9,19.4,1.4,,,E,30,00:02,15.6,90,,E,7,,18.7,80,,E,9,
,2021-01-30,15.6,25.4,3.0,,,NNW,30,13:14,18.2,91,,N,2,,22.1,67,,NNW,13,
,2021-01-31,11.6,22.5,3.2,,,ESE,30,12:57,17.9,97,,SE,7,,20.4,77,,ESE,9,
