"Daily Weather Observations for Marrangaroo, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2110.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Marrangaroo (Defence) {station 063308}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,3.1,12.7,0,,,NNW,17,18:03,8.5,98,, ,Calm,,10.8,70,, ,Calm,
,2021-07-2,7.4,13.4,7.8,,,WNW,24,15:48,8.7,89,,WNW,4,,11.2,65,,WNW,7,
,2021-07-3,-2.4,11.6,0,,,W,30,11:52,4.8,98,, ,Calm,,10.2,67,,WNW,9,
,2021-07-4,-2.9,7.6,0,,,SW,33,10:27,2.1,84,,WSW,7,,6.3,58,,W,9,
,2021-07-5,-1.5,8.4,0.2,,,SSW,24,13:23,3.8,81,,WSW,6,,7.8,52,,SW,13,
,2021-07-6,-6.5,11.0,0,,,NNW,13,11:14,-1.2,96,,NNE,2,,10.0,42,,NNW,2,
,2021-07-7,-5.8,11.5,0,,,NW,13,12:36,-1.4,96,, ,Calm,,10.8,46,,NNW,4,
,2021-07-8,-5.5,11.6,0,,,NNW,20,11:49,1.6,97,, ,Calm,,10.5,59,,NNW,9,
,2021-07-9,0.0,8.6,2.0,,,SW,19,23:33,5.5,96,, ,Calm,,7.1,89,,WSW,4,
,2021-07-10,0.5,10.9,1.0,,,SSE,26,15:20,7.2,79,,SSW,6,,8.9,67,,SE,11,
,2021-07-11,4.2,10.6,0.2,,,SSE,19,11:49,7.1,81,,SE,6,,9.7,72,,SE,7,
,2021-07-12,-2.0,12.6,0,,,NNW,24,13:51,3.1,98,,ESE,4,,10.5,59,,NW,6,
,2021-07-13,-2.1,12.5,0.4,,,WNW,28,22:55,6.8,97,,NNW,9,,10.0,54,,NW,7,
,2021-07-14,4.0,10.6,0,,,N,52,22:16,9.6,58,,NW,9,,8.3,77,,NNW,6,
,2021-07-15,7.3,14.7,1.8,,,NW,48,00:45,10.3,75,,NW,13,,14.2,55,,NW,13,
,2021-07-16,4.3,10.1,7.0,,,NW,50,23:53,6.6,90,,NW,7,,8.7,62,,WNW,19,
,2021-07-17,3.6,5.5,9.2,,,W,50,14:43,3.7,73,,WNW,17,,4.3,78,,W,19,
,2021-07-18,0.8,8.1,4.8,,,WNW,43,01:22,5.5,81,,WSW,15,,7.9,65,,WNW,7,
,2021-07-19,-2.7,6.7,0,,,WSW,30,14:19,2.7,95,, ,Calm,,5.6,68,,W,7,
,2021-07-20,2.3,6.4,1.0,,,NW,46,18:32,4.1,69,,W,13,,5.8,78,,WNW,13,
,2021-07-21,-0.1,8.4,3.0,,,WSW,24,01:20,2.8,77,,WSW,9,,7.7,45,,SSW,11,
,2021-07-22,-7.9,10.8,0.2,,,NW,20,11:13,-0.3,95,, ,Calm,,10.3,39,,NNW,7,
,2021-07-23,-1.4,8.3,1.8,,,NNW,39,10:53,4.5,89,,NNW,19,,6.9,78,,NNE,7,
,2021-07-24,4.5,8.2,1.6,,,WSW,41,13:20,6.2,92,,WNW,7,,6.4,78,,WSW,7,
,2021-07-25,0.8,6.8,9.4,,,W,65,15:35,2.0,85,,WNW,15,,4.1,71,,W,19,
,2021-07-26,1.2,11.1,0,,,W,52,02:00,6.7,87,,W,13,,8.2,77,,W,15,
,2021-07-27,6.3,13.2,0,,,NNW,37,15:13,8.3,68,,WNW,9,,12.7,49,,NW,13,
,2021-07-28,4.7,15.8,0,,,NNW,44,16:29,13.1,47,,NNW,9,,10.2,67,,WNW,11,
,2021-07-29,3.3,9.6,2.8,,,WSW,39,02:19,4.2,74,,W,11,,8.9,48,,WSW,9,
,2021-07-30,-7.7,13.2,0.2,,,NNW,30,15:04,0.3,94,, ,Calm,,12.6,21,,NW,11,
,2021-07-31,-0.8,17.4,0,,,NNW,43,17:26,10.8,45,,NNW,11,,16.9,41,,N,13,
