"Daily Weather Observations for Marrangaroo, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2110.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Marrangaroo (Defence) {station 063308}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,-1.9,20.0,0,,,SE,24,14:07,11.3,69,, ,Calm,,19.1,24,,ESE,9,
,2021-09-2,-0.8,20.4,0.2,,,NNW,24,13:31,13.5,77,,NE,7,,19.7,48,,N,9,
,2021-09-3,4.6,20.1,0,,,NNW,24,15:28,14.5,72,,NNW,11,,19.5,47,,N,11,
,2021-09-4,7.5,13.1,0,,,NNW,43,03:20,12.4,70,,NNW,11,,11.4,90,,NNW,11,
,2021-09-5,4.3,8.4,12.8,,,W,44,13:27,6.1,84,,W,11,,6.7,75,,WNW,19,
,2021-09-6,3.4,13.1,0.6,,,WSW,35,03:03,5.3,76,,WSW,13,,12.3,34,,SSW,11,
,2021-09-7,-3.9,15.0,0,,,SW,43,10:06,8.9,46,,SW,13,,13.8,38,,WSW,13,
,2021-09-8,-3.5,18.4,0,,,SW,19,15:49,9.1,75,,SE,2,,17.5,30,,SW,9,
,2021-09-9,-5.0,19.5,0,,,WNW,31,12:54,10.7,51,, ,Calm,,18.7,25,,WNW,11,
,2021-09-10,8.7,20.3,0,,,WNW,39,12:00,15.5,34,,W,15,,20.0,22,,W,13,
,2021-09-11,-2.0,21.5,0,,,WNW,35,13:36,15.5,33,,NNW,11,,20.3,19,,WNW,15,
,2021-09-12,5.0,21.9,0,,,W,52,11:31,18.1,25,,WNW,11,,21.1,21,,NW,15,
,2021-09-13,-0.9,10.8,0,,,SW,28,11:27,9.0,45,,S,6,,8.5,46,,SSW,7,
,2021-09-14,3.5,11.4,8.8,,,SSE,33,07:40,5.6,77,,SE,17,,11.0,47,,SSE,11,
,2021-09-15,-1.8,13.7,0,,,SSW,24,12:15,6.4,67,,SE,7,,12.5,42,,SW,7,
,2021-09-16,-1.7,15.4,0,,,E,20,16:32,8.7,62,,SE,6,,12.9,44,,ENE,7,
,2021-09-17,-0.5,18.0,0,,,NNW,30,15:45,11.3,64,,NW,4,,17.1,43,,NNW,7,
,2021-09-18,10.4,19.7,0.2,,,NW,52,12:10,16.5,50,,NNW,11,,11.7,92,,WNW,7,
,2021-09-19,-1.9,15.5,6.0,,,NW,30,11:16,9.6,56,,NW,6,,14.9,40,,WNW,11,
,2021-09-20,6.9,18.0,0,,,W,56,10:24,14.6,32,,WNW,19,,17.0,28,,WNW,19,
,2021-09-21,1.0,9.2,1.8,,,S,37,12:20,3.0,72,,WSW,9,,8.1,54,,SW,15,
,2021-09-22,-3.3,15.8,0,,,SSE,28,08:27,8.5,62,,S,11,,13.7,48,,W,6,
,2021-09-23,-1.2,20.1,0.2,,,SW,24,12:33,11.5,63,,SW,4,,19.0,43,,WNW,7,
,2021-09-24,-0.4,18.9,0,,,W,41,15:17,15.1,57,,WNW,13,,16.6,42,,W,11,
,2021-09-25,4.1,16.1,0,,,SW,35,12:07,12.6,42,,W,13,,14.9,30,,SSW,11,
,2021-09-26,3.7,8.6,0.8,,,ESE,26,22:08,4.8,82,,SE,11,,7.5,72,,E,11,
,2021-09-27,4.0,14.8,0,,,E,26,17:28,7.6,74,,ENE,6,,13.4,55,,NNE,7,
,2021-09-28,-0.2,18.5,0,,,NNW,28,11:45,12.7,71,,NNW,13,,17.4,55,,N,7,
,2021-09-29,5.2,15.2,5.6,,,NNW,30,21:49,11.0,93,,NW,4,,11.5,93,,NW,2,
,2021-09-30,4.4,16.3,15.0,,,N,31,14:04,9.8,92,, ,Calm,,15.1,74,,N,11,
