"Daily Weather Observations for Penrith, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2111.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,12.7,26.5,0.2,,,WNW,43,09:44,21.9,50,,NNW,2,,25.7,24,,W,17,
,2020-10-2,8.5,28.8,0,,,NNW,19,13:15,17.0,60,,SSE,4,,28.5,25,,N,6,
,2020-10-3,9.1,32.0,0,,,NNE,31,16:22,19.2,60,,SW,4,,31.8,18,,NNE,19,
,2020-10-4,11.0,34.0,0,,,N,37,16:13,17.6,76,,NNE,2,,33.2,25,,NNE,13,
,2020-10-5,11.5,34.5,0,,,SSE,37,21:19,21.5,56,,N,11,,33.7,22,,WNW,19,
,2020-10-6,16.5,23.9,0,,,SSE,24,03:03,18.4,74,,WSW,6,,23.7,56,,ESE,9,
,2020-10-7,16.9,22.4,0,,,NNE,19,22:48,19.1,84,, ,Calm,,21.3,75,,E,2,
,2020-10-8,16.2,29.8,0.2,,,NW,57,13:57,17.6,98,,N,6,,27.6,46,,NNW,41,
,2020-10-9,11.8,24.6,0.2,,,WNW,43,15:57,19.7,43,,WSW,13,,24.0,32,,WSW,13,
,2020-10-10,8.3,28.3,0,,,WNW,43,15:31,18.1,46,,NNE,6,,26.9,21,,N,7,
,2020-10-11,9.6,29.0,0,,,S,30,19:19,17.6,55,,SSE,2,,27.7,21,,N,11,
,2020-10-12,15.4,27.7,0,,,NW,35,14:42,19.4,71,,S,6,,25.7,35,,NE,4,
,2020-10-13,10.7,31.6,0,,,S,56,18:34,18.3,73,,SE,2,,31.0,20,,ESE,9,
,2020-10-14,15.8,25.5,0,,,ESE,24,15:35,18.9,70,,S,9,,25.3,42,,ENE,7,
,2020-10-15,14.5,32.0,0,,,S,44,14:57,20.6,72,,NNE,4,,29.3,35,,NE,6,
,2020-10-16,16.6,22.1,0,,,SE,24,12:28,19.3,78,,SSE,13,,18.6,78,,SSE,13,
,2020-10-17,14.9,32.5,0,,,W,41,17:02,18.0,83,,N,6,,31.4,37,,SW,11,
,2020-10-18,17.9,28.9,0,,,WNW,50,23:07,21.6,64,,S,6,,26.8,33,,S,2,
,2020-10-19,14.4,23.9,8.2,,,SE,28,16:50,16.2,84,,SSW,7,,21.6,53,,E,11,
,2020-10-20,15.4,24.0,0,,,NNE,26,14:22,17.9,76,,SSW,6,,23.1,58,,ENE,7,
,2020-10-21,11.5,28.5,0.2,,,NE,31,13:57,18.2,79,,NE,4,,26.9,39,,NNE,11,
,2020-10-22,15.3,27.9,0,,,SE,22,16:13,17.2,90,,SSW,2,,26.1,50,,ESE,4,
,2020-10-23,14.9,31.4,0,,,ENE,30,16:41,19.2,88,,WSW,2,,30.2,33,,NE,17,
,2020-10-24,17.9,24.4,7.2,,,NNW,26,12:45,20.8,98,,N,9,,20.8,98,,NE,6,
,2020-10-25,13.1,15.6,17.2,,,SSW,35,20:03,14.0,96,,S,7,,13.5,98,,SSW,9,
,2020-10-26,12.5,17.2,40.4,,,SSE,46,15:17,14.0,93,,SSW,19,,16.6,69,,SSE,20,
,2020-10-27,12.6,21.7,1.8,,,S,28,10:16,15.4,82,,SSW,9,,20.5,60,,S,9,
,2020-10-28,12.4,22.8,0,,,ESE,24,18:52,16.9,77,,SE,2,,21.9,60,,NW,6,
,2020-10-29,14.1,23.2,7.2,,,W,17,14:07,15.5,98,,SSE,2,,20.3,67,,SE,2,
,2020-10-30,10.8,25.0,1.4,,,ESE,26,16:07,16.6,82,, ,Calm,,23.3,55,,NE,7,
,2020-10-31,15.9,27.0,0.4,,,S,43,13:32,20.8,81,,NNW,9,,18.2,84,,S,24,
