"Daily Weather Observations for Penrith, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2111.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,12.3,20.9,12.0,,,S,43,14:19,17.5,92,,SW,9,,20.3,69,,S,22,
,2020-11-2,13.4,24.1,0.2,,,SW,30,07:37,18.5,66,,S,15,,23.1,53,,SSE,9,
,2020-11-3,10.1,26.2,0.2,,,NE,19,16:00,18.4,64,,SE,4,,25.3,41,,NW,9,
,2020-11-4,11.0,31.1,0,,,NNE,22,10:40,17.2,82,,N,4,,29.1,31,,NNE,11,
,2020-11-5,16.5,17.5,3.6,,,SSE,39,09:23,16.6,98,,S,11,,14.6,98,,SW,9,
,2020-11-6,12.4,23.8,26.0,,,SSW,31,03:46,17.4,59,,SSW,17,,22.7,39,,E,6,
,2020-11-7,10.6,24.7,0,,,ESE,39,12:07,18.2,72,,SSW,4,,19.7,58,,SSE,19,
,2020-11-8,13.7,23.0,0,,,E,26,17:04,18.0,54,,S,7,,20.6,44,,ESE,11,
,2020-11-9,12.3,24.1,0,,,ENE,24,17:39,17.5,75,,W,2,,23.6,43,,SE,7,
,2020-11-10,9.6,26.7,0.2,,,E,30,16:25,18.3,65,,NE,4,,25.8,38,,NE,7,
,2020-11-11,11.6,31.0,0,,,E,26,16:44,19.6,72,,E,4,,29.8,32,,NE,7,
,2020-11-12,15.4,30.6,0,,,W,54,21:55,20.8,86,,NNE,2,,30.5,34,,N,13,
,2020-11-13,17.6,29.6,2.8,,,WSW,57,14:12,20.2,98,,N,15,,24.5,68,,NW,19,
,2020-11-14,13.5,30.4,1.2,,,ESE,30,17:18,21.5,61,,SSW,4,,29.5,31,,SE,6,
,2020-11-15,13.4,34.2,0.2,,,NNE,26,12:48,20.8,77,,NNW,4,,33.9,28,,NE,11,
,2020-11-16,15.9,40.6,0,,,W,54,13:37,23.6,79,,SE,4,,38.4,23,,W,22,
,2020-11-17,17.1,27.7,0,,,ESE,31,23:47,20.9,68,,SSW,4,,25.3,50,,E,15,
,2020-11-18,15.7,26.5,9.4,,,ENE,35,13:55,18.4,93,,WNW,4,,25.7,51,,NNE,11,
,2020-11-19,14.4,30.7,0.2,,,ENE,26,16:51,21.2,69,,S,4,,29.3,43,,NNE,13,
,2020-11-20,16.7,39.9,0,,,W,61,18:32,23.5,72,,N,4,,39.3,24,,W,6,
,2020-11-21,15.5,29.0,6.6,,,NE,33,18:44,22.0,64,,SSE,6,,27.9,48,,E,9,
,2020-11-22,15.8,28.5,1.6,,,N,19,14:29,20.0,89,,N,7,,26.5,68,,NW,4,
,2020-11-23,19.2,28.2,0.2,,,NW,57,12:43,23.4,90,,NNE,6,,25.8,47,,SE,11,
,2020-11-24,14.9,26.8,0.2,,,ESE,22,17:17,20.9,75,,SW,2,,24.5,51,,E,9,
,2020-11-25,16.6,28.0,0.8,,,ENE,30,18:44,19.6,87,,SSE,2,,26.9,50,,NE,13,
,2020-11-26,15.1,36.3,0.2,,,SSE,44,19:50,22.8,69,,W,4,,35.6,30,,NW,2,
,2020-11-27,18.1,34.2,0,,,N,28,11:06,21.2,60,,W,4,,31.4,41,,NE,9,
,2020-11-28,18.4,41.5,0,,,NW,50,13:14,26.4,72,,SW,4,,39.4,18,,NW,20,
,2020-11-29,24.9,40.0,0,,,NW,78,04:49,33.7,27,,NNW,35,,36.5,28,,WNW,35,
,2020-11-30,16.0,25.7,0.2,,,ESE,35,23:31,19.1,74,,SW,6,,24.8,46,,ENE,7,
