"Daily Weather Observations for Penrith, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2111.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,17.2,38.5,0.2,,,SW,83,17:38,22.3,69,,NNE,7,,34.6,39,,NNE,9,
,2020-12-2,19.0,24.9,9.0,,,ENE,26,17:46,21.8,80,,ESE,6,,23.1,65,,ENE,9,
,2020-12-3,16.6,23.5,6.4,,,NNE,19,10:08,18.3,98,,WNW,4,,21.2,84,,NNE,9,
,2020-12-4,18.0,36.0,0,,,W,33,14:12,23.2,80,,N,9,,35.5,17,,W,13,
,2020-12-5,18.1,26.5,0.2,,,NNE,37,20:28,21.1,75,,SSE,4,,24.1,72,,NNE,6,
,2020-12-6,19.8,30.6,5.0,,,WNW,57,13:18,24.5,45,,WNW,17,,30.1,24,,WNW,26,
,2020-12-7,15.1,30.5,0,,,WNW,52,08:55,25.1,31,,WNW,15,,29.4,24,,WNW,22,
,2020-12-8,13.0,27.3,0,,,SW,46,23:11,19.4,37,,SW,20,,26.8,25,,SSW,11,
,2020-12-9,11.7,29.3,0,,,ENE,35,16:53,20.1,54,,NNE,7,,27.7,33,,N,9,
,2020-12-10,14.8,31.5,0,,,ESE,43,11:49,21.9,62,,NW,4,,25.0,55,,SSE,24,
,2020-12-11,15.4,23.8,0,,,SSE,37,12:09,19.2,59,,S,9,,21.4,47,,SE,17,
,2020-12-12,15.7,26.3,0,,,ESE,39,14:47,19.4,66,,SW,7,,25.1,38,,E,17,
,2020-12-13,13.9,26.5,0,,,E,30,13:32,21.3,68,,SE,7,,24.6,48,,ENE,11,
,2020-12-14,17.2,27.1,2.0,,,ENE,35,14:22,19.5,98,,S,7,,25.2,56,,ESE,7,
,2020-12-15,18.4,25.5,3.4,,,ENE,30,13:46,20.2,99,,SSW,9,,24.0,92,,NE,20,
,2020-12-16,19.9,33.1,14.8,,,NE,41,15:26,23.9,98,,ENE,7,,31.0,56,,ENE,13,
,2020-12-17,20.5,34.9,9.6,,,N,31,16:57,23.8,95,,NNW,6,,32.6,50,,N,11,
,2020-12-18,20.9,34.0,0,,,W,43,09:15,27.5,76,,S,4,,32.2,44,,NNE,7,
,2020-12-19,17.1,19.8,1.4,,,SSE,28,23:12,17.6,98,,SSW,9,,19.3,82,,SSE,7,
,2020-12-20,17.0,25.6,3.6,,,NNE,19,17:03,18.2,98,,SSW,7,,24.1,71,,NE,7,
,2020-12-21,18.1,24.2,0.2,,,NNE,22,14:01,21.3,92,,SSW,2,,20.9,91,,NNE,19,
,2020-12-22,17.5,29.0,20.6,,,WNW,48,17:08,18.9,98,,NE,4,,27.2,45,,NW,13,
,2020-12-23,13.9,28.4,0,,,S,31,09:30,22.8,44,,SW,13,,27.0,35,,S,7,
,2020-12-24,15.8,30.4,0,,,SSW,35,21:08,21.2,74,,NNE,7,,30.0,38,,NE,13,
,2020-12-25,17.5,21.1,0.2,,,S,30,01:14,18.8,80,,SSW,6,,20.9,71,,ESE,7,
,2020-12-26,15.6,26.4,1.4,,,SSW,33,16:02,17.6,98,,SSW,2,,23.3,69,,ENE,15,
,2020-12-27,16.0,34.1,5.4,,,ENE,24,17:24,18.5,98,,SW,2,,32.4,44,,NE,11,
,2020-12-28,18.4,34.2,0,,,SE,44,11:57,27.8,51,,NE,15,,23.5,67,,SE,22,
,2020-12-29,15.7,19.6,22.0,,,SSW,20,14:39,16.5,98,,S,4,,18.6,98,,SW,7,
,2020-12-30,16.5,21.6,12.4,,,SW,28,04:03,17.1,98,,SSW,9,,21.0,85,,SW,7,
,2020-12-31,16.9,23.6,2.4,,,ESE,24,17:18,21.2,78,,S,9,,22.4,71,,SSE,7,
