"Daily Weather Observations for Penrith, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2111.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,9.8,16.0,1.2,,,NNW,9,16:17,11.3,99,, ,Calm,,15.2,89,,WNW,2,
,2021-07-2,10.2,18.1,5.2,,,SW,13,14:13,10.5,98,,NW,2,,16.7,82,,SW,7,
,2021-07-3,4.4,17.4,0,,,WNW,19,21:45,8.5,98,, ,Calm,,17.3,68,,S,4,
,2021-07-4,2.0,16.9,0.2,,,W,20,21:42,8.9,90,, ,Calm,,16.0,43,,N,9,
,2021-07-5,1.3,17.1,0,,,SSE,20,14:13,6.8,98,,N,4,,16.1,42,,S,11,
,2021-07-6,1.0,16.1,0,,,NW,9,13:20,4.6,98,, ,Calm,,15.4,47,,NE,6,
,2021-07-7,1.2,16.8,0,,,ENE,15,14:50,4.7,98,, ,Calm,,15.8,51,,NNE,9,
,2021-07-8,3.4,15.6,0,,,WSW,7,11:20,6.4,98,, ,Calm,,14.5,67,,NNW,4,
,2021-07-9,6.4,14.4,0.6,,,WSW,20,22:41,8.7,98,,SSW,4,,12.0,98,, ,Calm,
,2021-07-10,8.6,17.5,2.0,,,SSW,43,11:00,14.1,66,,SSW,20,,16.4,59,,SSW,13,
,2021-07-11,8.8,18.4,0,,,SSW,24,01:57,13.7,73,,S,7,,16.5,59,,ESE,7,
,2021-07-12,4.6,18.4,0,,,NNE,20,14:22,5.9,98,, ,Calm,,18.0,62,,NE,13,
,2021-07-13,3.7,19.6,0,,,N,13,14:24,8.4,98,, ,Calm,,18.0,56,,N,6,
,2021-07-14,6.3,16.0,0,,,SSW,30,14:41,9.4,96,,SW,2,,14.3,71,,ENE,6,
,2021-07-15,7.6,22.2,0,,,WNW,30,20:11,16.0,87,,NNE,4,,19.2,64,,NNW,6,
,2021-07-16,7.0,19.3,0.2,,,W,61,12:18,12.4,92,,NNE,7,,17.4,39,,W,19,
,2021-07-17,11.2,14.6,0.6,,,W,65,09:41,13.5,43,,WNW,28,,14.0,42,,WNW,15,
,2021-07-18,7.0,19.4,0,,,W,48,02:44,13.4,63,,E,4,,18.0,37,,W,17,
,2021-07-19,2.4,16.8,0,,,WNW,22,15:31,8.5,88,, ,Calm,,15.1,45,,SE,2,
,2021-07-20,2.0,16.6,0,,,W,41,10:37,8.8,95,,SSW,2,,14.9,52,,NNW,22,
,2021-07-21,8.1,16.1,0,,,SSW,44,09:30,11.9,41,,SW,24,,15.6,32,,SW,17,
,2021-07-22,-0.6,17.8,0,,,NE,26,15:41,5.1,98,,SW,2,,16.4,36,,NE,13,
,2021-07-23,5.0,16.5,0,,,N,19,11:19,11.9,79,,NNE,7,,12.8,87,,SW,7,
,2021-07-24,6.2,18.9,0.4,,,NW,59,13:53,8.7,98,, ,Calm,,16.8,40,,WNW,20,
,2021-07-25,7.2,16.6,0,,,WNW,52,04:56,12.9,46,,WNW,11,,14.2,34,,W,28,
,2021-07-26,7.7,20.3,0,,,W,41,14:40,16.6,49,,WNW,11,,18.3,40,,W,19,
,2021-07-27,4.6,21.3,0,,,N,24,16:28,12.8,78,,N,6,,20.8,40,,NNE,9,
,2021-07-28,5.5,26.6,0,,,WNW,61,12:38,11.3,88,,SSW,6,,23.0,31,,WNW,28,
,2021-07-29,5.9,19.3,0.2,,,SW,41,12:49,13.2,52,,NW,4,,18.7,25,,SSW,13,
,2021-07-30,0.5,18.2,0,,,N,11,11:16,7.5,80,, ,Calm,,17.9,36,,WSW,4,
,2021-07-31,3.2,23.3,0,,,NNE,19,16:01,10.1,75,,NNW,4,,22.3,39,,SW,4,
