"Daily Weather Observations for Perisher Valley, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2112.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Perisher Valley AWS {station 071075}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,1.1,6.3,5.4,,,W,35,04:29,2.7,89,,NNE,4,,4.1,77,,NNE,6,
,2021-07-2,0.2,2.0,1.8,,,WNW,54,22:59,1.4,95,,W,26,,1.8,92,,WNW,6,
,2021-07-3,-1.6,-1.1,5.8,,,W,63,03:19,-1.6,90,,W,6,,-2.8,81,,WNW,7,
,2021-07-4,-4.7,-1.3,14.4,,,W,67,12:08,-3.4,90,,W,26,,-2.8,93,,W,20,
,2021-07-5,-3.8,1.4,2.4,,,WSW,41,06:20,-1.3,69,,WSW,13,,-1.1,78,,SW,11,
,2021-07-6,-9.3,4.5,0,,,WSW,22,13:03,-1.6,32,,WSW,11,,2.5,27,,SW,2,
,2021-07-7,-10.0,6.0,0,,,W,30,23:19,-5.1,66,, ,Calm,,3.6,40,,NE,7,
,2021-07-8,-5.2,4.3,0,,,W,41,03:47,1.6,16,,SSW,4,,4.0,19,,SW,2,
,2021-07-9,-5.3,7.4,0,,,W,30,05:20,0.8,60,,WSW,6,,3.4,39,,ESE,7,
,2021-07-10,-7.0,1.0,0,,,SSW,22,08:23,-0.4,83,,SSW,7,,0.4,93,,SE,6,
,2021-07-11,-7.6,4.8,0,,,W,41,23:52,-2.4,77,, ,Calm,,3.5,54,,W,7,
,2021-07-12,-3.4,2.2,0,,,W,59,20:11,0.5,89,,W,26,,1.4,77,,WNW,11,
,2021-07-13,-0.5,1.4,0,,,W,72,18:35,0.0,92,,W,22,,1.0,80,,W,28,
,2021-07-14,-1.1,2.1,1.0,,,W,83,04:35,1.3,91,,W,31,,1.3,100,,W,15,
,2021-07-15,-0.5,2.1,33.8,,,W,69,07:46,1.6,100,,WNW,30,,1.7,100,,W,22,
,2021-07-16,-0.8,-0.2,25.0,,,WNW,91,09:39,-0.6,100,,W,26,,-1.3,100,,W,24,
,2021-07-17,-3.9,-0.2,60.8,,,W,78,00:03,-3.7,97,,WNW,30,,-3.3,94,,WNW,33,
,2021-07-18,-4.3,1.3,8.6,,,W,54,00:35,-0.4,88,,WSW,28,,-0.3,89,,WSW,24,
,2021-07-19,-6.2,-0.1,0,,,W,57,12:25,-1.8,93,,W,22,,-0.8,90,,WNW,7,
,2021-07-20,-2.9,-0.3,6.4,,,W,78,10:48,-1.5,99,,W,37,,-1.1,100,,W,33,
,2021-07-21,-5.9,-0.2,13.8,,,SSW,48,03:24,-4.2,76,,SW,15,,-1.0,70,,WSW,11,
,2021-07-22,-9.3,1.7,0,,,WNW,37,23:07,-0.9,58,,NNE,2,,0.2,64,,WSW,6,
,2021-07-23,-4.3,0.5,0,,,W,52,01:12,-1.4,85,,NNW,11,,-0.4,86,,WSW,4,
,2021-07-24,-1.5,-0.3,6.4,,,WNW,81,12:15,-1.1,100,,W,9,,-1.3,100,,WSW,13,
,2021-07-25,-5.4,0.4,57.8,,,WNW,78,10:52,-5.3,94,,W,26,,-4.7,97,,WNW,39,
,2021-07-26,-5.4,1.5,24.4,,,W,91,11:24,0.3,100,,W,30,,1.2,100,,W,48,
,2021-07-27,0.1,2.8,11.0,,,W,85,06:11,1.3,89,,W,41,,2.0,84,,SW,11,
,2021-07-28,0.3,2.2,14.8,,,W,91,01:11,2.2,95,,NW,15,,0.7,97,,W,6,
,2021-07-29,-4.1,-0.3,35.2,,,W,63,09:34,-3.0,75,,W,30,,-1.5,81,,W,17,
,2021-07-30,-3.9,3.9,0,,,WNW,48,03:04,-2.7,72,,W,20,,0.9,43,,N,9,
,2021-07-31,-2.9,5.5,1.2,,,W,57,09:09,3.7,93,,W,22,,3.3,81,,WSW,19,
