"Daily Weather Observations for Pindari, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2113.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Pindari Dam {station 054104}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,18.1,32.2,0.4,13.2,,,,,23.5,82,6, ,Calm,,,,,,,
,2021-03-2,16.9,33.1,0.6,5.4,,,,,22.6,73,0, ,Calm,,,,,,,
,2021-03-3,17.0,30.9,0,7.0,,,,,22.7,71,2,SSE,7,,,,,,,
,2021-03-4,18.3,29.0,0,8.0,,,,,20.6,57,2,SE,19,,,,,,,
,2021-03-5,16.0,,0,6.0,,,,,19.0,81,6, ,Calm,,,,,,,
,2021-03-6,,,,,,,,,,,,,,,,,,,,
,2021-03-7,,31.0,,,,,,,,,,,,,,,,,,
,2021-03-8,16.8,27.4,7.2,17.2,,,,,20.3,90,8, ,Calm,,,,,,,
,2021-03-9,16.4,30.0,48.4,8.0,,,,,21.0,75,2, ,Calm,,,,,,,
,2021-03-10,16.4,30.2,0,4.0,,,,,21.0,75,4, ,Calm,,,,,,,
,2021-03-11,19.3,28.6,0.6,3.6,,,,,20.7,86,8, ,Calm,,,,,,,
,2021-03-12,18.3,,1.8,5.8,,,,,20.7,81,6, ,Calm,,,,,,,
,2021-03-13,,,,,,,,,,,,,,,,,,,,
,2021-03-14,,31.7,,,,,,,,,,,,,,,,,,
,2021-03-15,17.2,26.8,10.2,12.4,,,,,20.4,77,6,SE,19,,,,,,,
,2021-03-16,17.2,22.9,0,4.0,,,,,18.8,61,6,E,37,,,,,,,
,2021-03-17,15.9,23.0,0,4.6,,,,,17.4,86,6, ,Calm,,,,,,,
,2021-03-18,14.6,23.0,3.6,4.0,,,,,20.5,80,2, ,Calm,,,,,,,
,2021-03-19,15.0,,0,5.2,,,,,22.0,70,0, ,Calm,,,,,,,
,2021-03-20,,,,,,,,,,,,,,,,,,,,
,2021-03-21,,30.0,,,,,,,,,,,,,,,,,,
,2021-03-22,14.4,22.8,14.0,14.6,,,,,21.5,71,8,SE,19,,,,,,,
,2021-03-23,17.5,23.8,83.0,,,,,,18.5,100,8, ,Calm,,,,,,,
,2021-03-24,18.5,25.4,37.6,9.0,,,,,20.0,91,7,W,9,,,,,,,
,2021-03-25,11.9,25.3,0,3.4,,,,,15.9,93,2, ,Calm,,,,,,,
,2021-03-26,11.2,,0,4.0,,,,,16.7,82,0, ,Calm,,,,,,,
,2021-03-27,,,0,,,,,,,,,,,,,,,,,
,2021-03-28,,26.3,0,,,,,,,,,,,,,,,,,
,2021-03-29,11.3,27.5,0,12.4,,,,,17.0,78,0, ,Calm,,,,,,,
,2021-03-30,14.6,28.0,0,5.0,,,,,19.8,70,0,NE,7,,,,,,,
,2021-03-31,11.5,25.8,0,5.2,,,,,16.0,70,0,E,9,,,,,,,
