"Daily Weather Observations for Pindari, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2113.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Pindari Dam {station 054104}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,,25.5,,,,,,,,,,,,,,,,,,
,2021-08-2,4.0,23.5,0.4,6.8,,,,,15.5,79,6,ENE,4,,,,,,,
,2021-08-3,8.0,16.2,25.5,,,,,,16.2,96,8,NW,7,,,,,,,
,2021-08-4,0.0,13.6,2.0,,,,,,9.0,79,2, ,Calm,,,,,,,
,2021-08-5,1.8,14.9,0,1.8,,,,,9.4,69,6, ,Calm,,,,,,,
,2021-08-6,-1.2,,0,2.0,,,,,7.2,89,0, ,Calm,,,,,,,
,2021-08-7,,,,,,,,,,,,,,,,,,,,
,2021-08-8,,21.5,,,,,,,,,,,,,,,,,,
,2021-08-9,-0.2,17.2,0.2,7.2,,,,,13.5,62,6,SE,28,,,,,,,
,2021-08-10,10.0,20.5,0,2.4,,,,,13.1,66,6, ,Calm,,,,,,,
,2021-08-11,5.0,20.0,0,2.2,,,,,13.8,59,2, ,Calm,,,,,,,
,2021-08-12,13.2,20.6,0,2.0,,,,,14.5,85,6,S,7,,,,,,,
,2021-08-13,10.0,,0.2,1.4,,,,,13.7,81,2, ,Calm,,,,,,,
,2021-08-14,,,,,,,,,,,,,,,,,,,,
,2021-08-15,,22.1,,,,,,,,,,,,,,,,,,
,2021-08-16,10.3,20.4,7.6,3.0,,,,,13.1,88,4, ,Calm,,,,,,,
,2021-08-17,-1.0,18.7,0,2.0,,,,,9.6,71,0, ,Calm,,,,,,,
,2021-08-18,-2.0,19.0,0,1.6,,,,,12.6,78,0, ,Calm,,,,,,,
,2021-08-19,1.0,20.0,0,2.0,,,,,13.5,67,2,SE,7,,,,,,,
,2021-08-20,1.0,,0,2.0,,,,,13.8,63,3, ,Calm,,,,,,,
,2021-08-21,,,0,,,,,,,,,,,,,,,,,
,2021-08-22,,24.7,0,,,,,,,,,,,,,,,,,
,2021-08-23,8.0,23.4,0,8.8,,,,,17.1,65,4, ,Calm,,,,,,,
,2021-08-24,7.0,12.3,24.8,2.0,,,,,8.3,96,8,W,7,,,,,,,
,2021-08-25,2.0,15.4,2.2,2.4,,,,,8.5,72,2,W,7,,,,,,,
,2021-08-26,-1.5,15.4,0,2.8,,,,,8.0,73,2, ,Calm,,,,,,,
,2021-08-27,-0.5,,0,2.4,,,,,9.4,76,0, ,Calm,,,,,,,
,2021-08-28,,,0,,,,,,,,,,,,,,,,,
,2021-08-29,,24.0,0,,,,,,,,,,,,,,,,,
,2021-08-30,-0.8,20.9,0,,,,,,13.8,53,0, ,Calm,,,,,,,
,2021-08-31,1.0,25.2,0,2.0,,,,,14.5,54,0, ,Calm,,,,,,,
