"Daily Weather Observations for Pooncarie, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2114.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Pooncarie Mail Agency {station 047029}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,22.1,36.2,4.4,,,,,,25.0,55,4,NNE,9,,,,,,,
,2021-01-2,20.1,30.0,11.4,,,,,,24.0,74,7,SSE,9,,,,,,,
,2021-01-3,18.5,32.3,0.1,,,,,,20.2,75,2,WSW,9,,,,,,,
,2021-01-4,19.0,30.4,0,,,,,,19.2,66,8,WSW,11,,,,,,,
,2021-01-5,15.0,28.8,0,,,,,,17.3,59,0,SSW,11,,,,,,,
,2021-01-6,15.1,28.3,0,,,,,,17.2,68,6,SW,15,,,,,,,
,2021-01-7,16.0,33.3,0,,,,,,18.5,58,2,SSE,11,,,,,,,
,2021-01-8,18.5,34.2,0,,,,,,25.0,41,0,NNE,9,,,,,,,
,2021-01-9,17.6,35.0,0,,,,,,25.2,37,0,NNE,9,,,,,,,
,2021-01-10,17.3,37.3,0,,,,,,27.0,36,0,NNW,7,,,,,,,
,2021-01-11,21.6,39.0,0,,,,,,29.0,31,0,NNW,9,,,,,,,
,2021-01-12,21.0,37.4,0,,,,,,22.0,60,1,W,9,,,,,,,
,2021-01-13,19.6,42.0,0,,,,,,29.4,22,1,NE,4,,,,,,,
,2021-01-14,16.5,30.9,0,,,,,,18.2,60,0,SE,11,,,,,,,
,2021-01-15,13.0,25.7,0,,,,,,16.0,58,3,,9,,,,,,,
,2021-01-16,11.6,27.2,0,,,,,,14.8,54,0,SSE,9,,,,,,,
,2021-01-17,14.4,29.3,0,,,,,,17.0,70,0,SSW,11,,,,,,,
,2021-01-18,15.5,31.2,0,,,,,,18.8,44,0,SSE,9,,,,,,,
,2021-01-19,16.2,32.2,0,,,,,,17.6,54,0,SE,11,,,,,,,
,2021-01-20,14.5,34.5,0,,,,,,18.0,45,0,SE,6,,,,,,,
,2021-01-21,12.6,38.1,0,,,,,,21.6,31,0, ,Calm,,,,,,,
,2021-01-22,17.8,40.0,0,,,,,,24.5,26,0,SSW,7,,,,,,,
,2021-01-23,16.2,42.0,0,,,,,,25.4,24,0,SSE,9,,,,,,,
,2021-01-24,21.5,43.0,0,,,,,,30.0,21,7,NW,6,,,,,,,
,2021-01-25,29.5,42.1,0,,,,,,33.0,21,4,NNW,13,,,,,,,
,2021-01-26,21.0,30.2,1.6,,,,,,21.9,87,8,S,9,,,,,,,
,2021-01-27,17.8,31.7,1.4,,,,,,19.3,52,0,SE,11,,,,,,,
,2021-01-28,19.2,31.0,0,,,,,,24.5,38,8,S,9,,,,,,,
,2021-01-29,22.2,31.1,0,,,,,,23.2,72,8,N,9,,,,,,,
,2021-01-30,17.9,33.1,2.0,,,,,,18.7,68,3,,9,,,,,,,
,2021-01-31,17.6,33.4,0,,,,,,20.7,53,1,SE,9,,,,,,,
