"Daily Weather Observations for Pooncarie, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2114.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Pooncarie Mail Agency {station 047029}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,7.8,,0,,,,,,10.0,97,8,NNW,6,,,,,,,
,2021-07-2,3.6,18.2,0.2,,,,,,5.4,91,3,NNW,9,,,,,,,
,2021-07-3,2.2,14.9,0,,,,,,4.5,84,0,SSW,9,,,,,,,
,2021-07-4,3.2,15.1,0,,,,,,6.2,97,0,W,11,,,,,,,
,2021-07-5,0.0,14.0,0,,,,,,2.4,89,4, ,Calm,,,,,,,
,2021-07-6,1.1,15.7,0,,,,,,3.0,93,4, ,Calm,,,,,,,
,2021-07-7,0.5,15.8,0,,,,,,3.5,97,0, ,Calm,,,,,,,
,2021-07-8,1.4,12.0,0,,,,,,3.5,97,6,E,6,,,,,,,
,2021-07-9,-0.9,16.0,0,,,,,,1.2,92,6, ,Calm,,,,,,,
,2021-07-10,0.0,18.1,0,,,,,,2.8,82,0,S,9,,,,,,,
,2021-07-11,0.4,18.6,0,,,,,,6.0,97,4,N,7,,,,,,,
,2021-07-12,6.0,20.4,0,,,,,,10.3,87,7,NNW,9,,,,,,,
,2021-07-13,1.9,19.0,0,,,,,,5.0,86,6, ,Calm,,,,,,,
,2021-07-14,4.6,21.9,7.4,,,,,,10.1,96,8, ,Calm,,,,,,,
,2021-07-15,8.4,20.8,2.0,,,,,,10.2,97,2,NW,7,,,,,,,
,2021-07-16,9.6,16.3,5.0,,,,,,10.2,90,8,WNW,19,,,,,,,
,2021-07-17,7.0,14.8,2.6,,,,,,8.4,89,0,W,22,,,,,,,
,2021-07-18,4.9,14.1,0.2,,,,,,6.6,97,0, ,Calm,,,,,,,
,2021-07-19,6.0,15.0,0,,,,,,8.9,95,8, ,Calm,,,,,,,
,2021-07-20,6.5,15.4,0,,,,,,10.7,97,6,WNW,11,,,,,,,
,2021-07-21,1.6,14.8,1.5,,,,,,3.5,97,0,W,7,,,,,,,
,2021-07-22,2.6,10.3,0.1,,,,,,6.4,89,8,E,9,,,,,,,
,2021-07-23,6.1,12.1,8.2,,,,,,7.2,94,8,E,9,,,,,,,
,2021-07-24,5.0,16.0,0.8,,,,,,8.9,88,2,NNW,9,,,,,,,
,2021-07-25,6.5,15.7,2.0,,,,,,8.2,97,0,NW,11,,,,,,,
,2021-07-26,8.1,19.3,0,,,,,,10.6,90,0,NNW,9,,,,,,,
,2021-07-27,7.8,22.1,0,,,,,,10.3,89,0,NNW,9,,,,,,,
,2021-07-28,10.0,20.2,0,,,,,,13.8,97,6,WNW,9,,,,,,,
,2021-07-29,4.1,17.4,0,,,,,,7.0,94,0, ,Calm,,,,,,,
,2021-07-30,5.2,19.0,0,,,,,,9.0,77,8,NNW,9,,,,,,,
,2021-07-31,8.6,25.0,0,,,,,,14.2,69,6,W,7,,,,,,,
