"Daily Weather Observations for Port Macquarie Airport (Comparison), New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2115.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Port Macquarie site is now Port Macquarie Airport {station number 060138}."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Port Macquarie Airport AWS (Comparison) {station 060139}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,10.7,24.7,0.4,,,,,,20.5,53,,,,,23.9,49,,,,
,2020-11-2,16.1,21.8,0,,,,,,17.0,89,,,,,21.2,60,,,,
,2020-11-3,14.8,23.5,1.0,,,,,,19.2,65,,,,,22.2,46,,,,
,2020-11-4,12.3,22.6,0,,,,,,20.1,57,,,,,21.9,59,,,,
,2020-11-5,12.8,26.6,0,,,,,,18.6,82,,,,,19.4,87,,,,
,2020-11-6,13.8,22.8,4.6,,,,,,17.8,61,,,,,21.0,56,,,,
,2020-11-7,10.6,23.4,0,,,,,,18.9,67,,,,,21.2,52,,,,
,2020-11-8,14.4,21.7,0.8,,,,,,19.6,48,,,,,19.9,51,,,,
,2020-11-9,9.4,22.3,0,,,,,,17.2,70,,,,,21.7,46,,,,
,2020-11-10,10.3,23.9,0,,,,,,20.1,62,,,,,21.6,59,,,,
,2020-11-11,11.1,25.8,0,,,,,,22.4,60,,,,,24.2,58,,,,
,2020-11-12,16.4,27.6,0,,,,,,23.3,61,,,,,25.9,60,,,,
,2020-11-13,20.0,26.0,0.2,,,,,,20.0,87,,,,,24.9,68,,,,
,2020-11-14,14.4,27.3,5.2,,,,,,22.3,76,,,,,24.5,65,,,,
,2020-11-15,12.4,27.2,0,,,,,,23.5,70,,,,,26.3,63,,,,
,2020-11-16,18.3,30.7,0,,,,,,24.9,63,,,,,29.5,61,,,,
,2020-11-17,20.4,24.5,0.2,,,,,,21.6,77,,,,,22.7,66,,,,
,2020-11-18,10.1,24.8,0,,,,,,21.6,63,,,,,23.1,52,,,,
,2020-11-19,13.7,25.2,0,,,,,,23.0,57,,,,,24.0,55,,,,
,2020-11-20,15.3,27.2,0,,,,,,24.1,66,,,,,26.0,60,,,,
,2020-11-21,15.7,26.0,0,,,,,,23.2,77,,,,,23.9,68,,,,
,2020-11-22,17.4,28.3,0,,,,,,22.1,84,,,,,27.5,62,,,,
,2020-11-23,19.2,30.0,0.6,,,,,,21.4,89,,,,,27.9,52,,,,
,2020-11-24,18.4,25.4,1.2,,,,,,22.1,66,,,,,23.4,56,,,,
,2020-11-25,14.4,25.8,0,,,,,,21.4,64,,,,,24.2,56,,,,
,2020-11-26,12.5,27.2,0,,,,,,23.3,65,,,,,26.0,61,,,,
,2020-11-27,14.3,27.2,0,,,,,,25.1,68,,,,,26.0,66,,,,
,2020-11-28,18.0,31.5,0,,,,,,25.1,64,,,,,29.9,54,,,,
,2020-11-29,20.0,36.1,0,,,,,,26.1,66,,,,,32.3,47,,,,
,2020-11-30,20.5,24.7,0,,,,,,22.2,70,,,,,22.9,61,,,,
