"Daily Weather Observations for Port Macquarie Airport (Comparison), New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2115.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The "official" Port Macquarie site is now Port Macquarie Airport {station number 060138}."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Port Macquarie Airport AWS (Comparison) {station 060139}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,19.6,27.4,0.4,,,,,,25.1,67,,,,,26.4,60,,,,
,2021-02-2,19.9,25.7,0,,,,,,21.1,87,,,,,23.2,71,,,,
,2021-02-3,16.1,26.2,0,,,,,,21.7,68,,,,,25.1,61,,,,
,2021-02-4,16.2,27.2,0,,,,,,23.3,75,,,,,27.0,60,,,,
,2021-02-5,17.3,28.1,0,,,,,,23.7,80,,,,,27.1,66,,,,
,2021-02-6,20.3,28.7,0,,,,,,23.1,81,,,,,27.2,71,,,,
,2021-02-7,20.9,29.4,5.0,,,,,,24.1,86,,,,,28.3,47,,,,
,2021-02-8,19.4,27.4,0,,,,,,23.2,74,,,,,25.1,59,,,,
,2021-02-9,18.1,25.9,1.2,,,,,,20.4,86,,,,,24.3,58,,,,
,2021-02-10,17.4,23.0,2.6,,,,,,18.5,90,,,,,22.3,70,,,,
,2021-02-11,15.9,25.5,2.2,,,,,,21.8,70,,,,,24.4,49,,,,
,2021-02-12,13.9,28.9,0,,,,,,21.3,75,,,,,28.3,62,,,,
,2021-02-13,21.1,24.4,0,,,,,,23.5,85,,,,,22.7,91,,,,
,2021-02-14,18.9,26.5,31.2,,,,,,22.0,77,,,,,26.4,52,,,,
,2021-02-15,18.4,25.4,0.2,,,,,,21.2,72,,,,,22.9,68,,,,
,2021-02-16,19.0,26.8,3.6,,,,,,23.1,70,,,,,25.7,58,,,,
,2021-02-17,19.4,26.1,6.6,,,,,,23.8,56,,,,,25.4,52,,,,
,2021-02-18,18.2,26.3,15.8,,,,,,20.7,97,,,,,25.2,73,,,,
,2021-02-19,19.7,24.7,12.4,,,,,,22.3,94,,,,,22.5,95,,,,
,2021-02-20,19.6,25.0,55.6,,,,,,20.4,99,,,,,22.1,98,,,,
,2021-02-21,20.2,23.4,50.0,,,,,,22.3,96,,,,,22.2,99,,,,
,2021-02-22,20.1,29.2,118.4,,,,,,23.4,84,,,,,28.8,70,,,,
,2021-02-23,20.9,23.6,0.2,,,,,,21.4,96,,,,,22.5,77,,,,
,2021-02-24,18.6,24.3,16.4,,,,,,19.2,98,,,,,23.6,80,,,,
,2021-02-25,19.2,28.5,3.6,,,,,,22.9,81,,,,,27.1,73,,,,
,2021-02-26,18.8,29.2,0.2,,,,,,22.8,81,,,,,27.8,57,,,,
,2021-02-27,21.8,24.6,0.2,,,,,,22.0,97,,,,,23.3,95,,,,
,2021-02-28,20.3,28.3,29.6,,,,,,21.2,100,,,,,27.0,77,,,,
