"Daily Weather Observations for Quandialla, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2117.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for this location are not available after December 2014."
"Observations for this location are not available after December 2014."
"Observations were drawn from Quandialla Post Office {station 073032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,,,1.6,,,,,,,,,,,,,,,,,
,2021-07-2,,,5.8,,,,,,,,,,,,,,,,,
,2021-07-3,,,0.6,,,,,,,,,,,,,,,,,
,2021-07-4,,,0,,,,,,,,,,,,,,,,,
,2021-07-5,,,0,,,,,,,,,,,,,,,,,
,2021-07-6,,,0,,,,,,,,,,,,,,,,,
,2021-07-7,,,0,,,,,,,,,,,,,,,,,
,2021-07-8,,,0,,,,,,,,,,,,,,,,,
,2021-07-9,,,2.0,,,,,,,,,,,,,,,,,
,2021-07-10,,,0.6,,,,,,,,,,,,,,,,,
,2021-07-11,,,0,,,,,,,,,,,,,,,,,
,2021-07-12,,,0,,,,,,,,,,,,,,,,,
,2021-07-13,,,0,,,,,,,,,,,,,,,,,
,2021-07-14,,,0.4,,,,,,,,,,,,,,,,,
,2021-07-15,,,7.2,,,,,,,,,,,,,,,,,
,2021-07-16,,,4.0,,,,,,,,,,,,,,,,,
,2021-07-17,,,9.2,,,,,,,,,,,,,,,,,
,2021-07-18,,,2.0,,,,,,,,,,,,,,,,,
,2021-07-19,,,1.2,,,,,,,,,,,,,,,,,
,2021-07-20,,,1.0,,,,,,,,,,,,,,,,,
,2021-07-21,,,7.0,,,,,,,,,,,,,,,,,
,2021-07-22,,,0,,,,,,,,,,,,,,,,,
,2021-07-23,,,3.4,,,,,,,,,,,,,,,,,
,2021-07-24,,,3.6,,,,,,,,,,,,,,,,,
,2021-07-25,,,3.4,,,,,,,,,,,,,,,,,
,2021-07-26,,,0,,,,,,,,,,,,,,,,,
,2021-07-27,,,0,,,,,,,,,,,,,,,,,
,2021-07-28,,,0,,,,,,,,,,,,,,,,,
,2021-07-29,,,4.8,,,,,,,,,,,,,,,,,
,2021-07-30,,,0,,,,,,,,,,,,,,,,,
,2021-07-31,,,0.2,,,,,,,,,,,,,,,,,
