"Daily Weather Observations for Quandialla, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2117.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for this location are not available after December 2014."
"Observations for this location are not available after December 2014."
"Observations were drawn from Quandialla Post Office {station 073032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,,,0,,,,,,,,,,,,,,,,,
,2021-09-2,,,0,,,,,,,,,,,,,,,,,
,2021-09-3,,,0,,,,,,,,,,,,,,,,,
,2021-09-4,,,3.2,,,,,,,,,,,,,,,,,
,2021-09-5,,,21.6,,,,,,,,,,,,,,,,,
,2021-09-6,,,0.8,,,,,,,,,,,,,,,,,
,2021-09-7,,,0,,,,,,,,,,,,,,,,,
,2021-09-8,,,0,,,,,,,,,,,,,,,,,
,2021-09-9,,,0,,,,,,,,,,,,,,,,,
,2021-09-10,,,0,,,,,,,,,,,,,,,,,
,2021-09-11,,,0,,,,,,,,,,,,,,,,,
,2021-09-12,,,0,,,,,,,,,,,,,,,,,
,2021-09-13,,,0.2,,,,,,,,,,,,,,,,,
,2021-09-14,,,0.8,,,,,,,,,,,,,,,,,
,2021-09-15,,,0,,,,,,,,,,,,,,,,,
,2021-09-16,,,0,,,,,,,,,,,,,,,,,
,2021-09-17,,,0,,,,,,,,,,,,,,,,,
,2021-09-18,,,2.0,,,,,,,,,,,,,,,,,
,2021-09-19,,,2.6,,,,,,,,,,,,,,,,,
,2021-09-20,,,0,,,,,,,,,,,,,,,,,
,2021-09-21,,,1.0,,,,,,,,,,,,,,,,,
,2021-09-22,,,0,,,,,,,,,,,,,,,,,
,2021-09-23,,,0,,,,,,,,,,,,,,,,,
,2021-09-24,,,0,,,,,,,,,,,,,,,,,
,2021-09-25,,,0,,,,,,,,,,,,,,,,,
,2021-09-26,,,0,,,,,,,,,,,,,,,,,
,2021-09-27,,,0,,,,,,,,,,,,,,,,,
,2021-09-28,,,0,,,,,,,,,,,,,,,,,
,2021-09-29,,,29.0,,,,,,,,,,,,,,,,,
,2021-09-30,,,16.4,,,,,,,,,,,,,,,,,
