"Daily Weather Observations for Quandialla, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2117.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for this location are not available after December 2014."
"Observations for this location are not available after December 2014."
"Observations were drawn from Quandialla Post Office {station 073032}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,,,19.2,,,,,,,,,,,,,,,,,
,2021-10-2,,,1.0,,,,,,,,,,,,,,,,,
,2021-10-3,,,3.6,,,,,,,,,,,,,,,,,
,2021-10-4,,,0,,,,,,,,,,,,,,,,,
,2021-10-5,,,0,,,,,,,,,,,,,,,,,
,2021-10-6,,,0,,,,,,,,,,,,,,,,,
,2021-10-7,,,0,,,,,,,,,,,,,,,,,
,2021-10-8,,,0,,,,,,,,,,,,,,,,,
,2021-10-9,,,0,,,,,,,,,,,,,,,,,
,2021-10-10,,,0,,,,,,,,,,,,,,,,,
,2021-10-11,,,0.8,,,,,,,,,,,,,,,,,
,2021-10-12,,,0,,,,,,,,,,,,,,,,,
,2021-10-13,,,0.2,,,,,,,,,,,,,,,,,
,2021-10-14,,,20.4,,,,,,,,,,,,,,,,,
,2021-10-15,,,6.0,,,,,,,,,,,,,,,,,
,2021-10-16,,,2.2,,,,,,,,,,,,,,,,,
,2021-10-17,,,0,,,,,,,,,,,,,,,,,
,2021-10-18,,,0,,,,,,,,,,,,,,,,,
,2021-10-19,,,1.8,,,,,,,,,,,,,,,,,
