"Daily Weather Observations for Quirindi, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2118.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Quirindi Post Office {station 055049}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,,25.4,0,,,,,,21.0,65,7,,4,,,,,,,
,2021-01-2,,,0,,,,,,19.0,70,7, ,Calm,,,,,,,
,2021-01-3,,29.7,0,,,,,,,,,,,,,,,,,
,2021-01-4,16.8,27.0,25.0,,,,,,22.2,84,8, ,Calm,,,,,,,
,2021-01-5,15.0,30.6,54.6,,,,,,20.0,84,4, ,Calm,,,,,,,
,2021-01-6,15.2,26.4,0,,,,,,23.1,75,4, ,Calm,,,,,,,
,2021-01-7,13.2,24.3,3.6,,,,,,18.8,74,6,SE,19,,,,,,,
,2021-01-8,12.9,,0,,,,,,19.7,58,0,SE,19,,,,,,,
,2021-01-9,,28.0,0,,,,,,,,,,,,,,,,,
,2021-01-10,12.0,30.0,0,,,,,,19.8,61,0, ,Calm,,,,,,,
,2021-01-11,13.8,32.4,0,,,,,,22.0,54,0, ,Calm,,,,,,,
,2021-01-12,13.0,33.0,0,,,,,,23.0,58,1, ,Calm,,,,,,,
,2021-01-13,12.8,34.0,0,,,,,,23.0,58,0, ,Calm,,,,,,,
,2021-01-14,10.0,36.0,0,,,,,,25.0,48,4, ,Calm,,,,,,,
,2021-01-15,,34.0,7.2,,,,,,22.8,61,0, ,Calm,,,,,,,
,2021-01-16,9.8,28.4,0,,,,,,19.8,34,0,,4,,,,,,,
,2021-01-17,9.0,30.0,0,,,,,,21.2,47,0, ,Calm,,,,,,,
,2021-01-18,8.9,31.4,0,,,,,,19.4,62,8, ,Calm,,,,,,,
,2021-01-19,9.4,31.6,0,,,,,,21.2,64,0, ,Calm,,,,,,,
,2021-01-20,,29.2,0,,,,,,21.2,58,7, ,Calm,,,,,,,
,2021-01-21,9.0,33.0,0,,,,,,22.0,45,0, ,Calm,,,,,,,
,2021-01-22,10.0,34.2,0,,,,,,23.8,63,6, ,Calm,,,,,,,
,2021-01-23,15.0,35.0,0,,,,,,28.2,43,0, ,Calm,,,,,,,
,2021-01-24,16.0,36.8,0.4,,,,,,25.4,39,0, ,Calm,,,,,,,
,2021-01-25,17.0,36.8,0,,,,,,23.0,91,1, ,Calm,,,,,,,
,2021-01-26,16.8,37.4,0,,,,,,27.8,78,0, ,Calm,,,,,,,
,2021-01-27,20.0,36.4,0,,,,,,30.4,58,3, ,Calm,,,,,,,
,2021-01-28,18.8,28.0,0,,,,,,25.0,49,4, ,Calm,,,,,,,
,2021-01-29,16.0,34.4,0,,,,,,22.4,63,7, ,Calm,,,,,,,
,2021-01-30,16.8,32.0,0,,,,,,23.4,57,7, ,Calm,,,,,,,
,2021-01-31,17.0,33.0,0,,,,,,24.8,53,5, ,Calm,,,,,,,
