"Daily Weather Observations for Quirindi, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2118.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Quirindi Post Office {station 055049}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.5,26.4,0,,,,,,16.4,87,2, ,Calm,,,,,,,
,2021-04-2,10.0,28.0,0,,,,,,16.4,84,0, ,Calm,,,,,,,
,2021-04-3,9.8,29.0,0,,,,,,18.6,68,0, ,Calm,,,,,,,
,2021-04-4,10.0,27.4,0,,,,,,18.4,68,6, ,Calm,,,,,,,
,2021-04-5,10.2,28.4,0,,,,,,21.8,67,6, ,Calm,,,,,,,
,2021-04-6,12.0,26.4,0,,,,,,22.0,66,5, ,Calm,,,,,,,
,2021-04-7,11.8,28.0,0,,,,,,22.0,65,3, ,Calm,,,,,,,
,2021-04-8,12.0,27.4,0,,,,,,21.4,62,3, ,Calm,,,,,,,
,2021-04-9,10.8,29.0,0,,,,,,17.2,78,4, ,Calm,,,,,,,
,2021-04-10,9.8,25.2,0,,,,,,14.2,76,8, ,Calm,,,,,,,
,2021-04-11,7.8,19.2,0,,,,,,14.8,71,2, ,Calm,,,,,,,
,2021-04-12,2.0,21.0,0,,,,,,9.0,64,0, ,Calm,,,,,,,
,2021-04-13,4.0,25.4,0,,,,,,11.0,55,0, ,Calm,,,,,,,
,2021-04-14,6.0,26.5,0,,,,,,15.0,49,0, ,Calm,,,,,,,
,2021-04-15,7.8,29.0,0,,,,,,17.0,78,0, ,Calm,,,,,,,
,2021-04-16,12.0,24.0,0,,,,,,13.9,83,8, ,Calm,,,,,,,
,2021-04-17,11.8,15.0,13.6,,,,,,12.0,76,8, ,Calm,,,,,,,
,2021-04-18,9.0,21.7,8.6,,,,,,10.2,73,0, ,Calm,,,,,,,
,2021-04-19,5.2,23.5,0,,,,,,12.2,87,0, ,Calm,,,,,,,
,2021-04-20,6.8,23.6,0,,,,,,11.5,84,0, ,Calm,,,,,,,
,2021-04-21,6.0,22.0,0,,,,,,12.4,71,0,,9,,,,,,,
,2021-04-22,3.0,,0,,,,,,9.4,69,0, ,Calm,,,,,,,
,2021-04-23,,,0,,,,,,,,,,,,,,,,,
,2021-04-24,,,0,,,,,,,,,,,,,,,,,
,2021-04-25,,,0,,,,,,,,,,,,,,,,,
,2021-04-26,,,0,,,,,,,,,,,,,,,,,
,2021-04-27,,,0,,,,,,,,,,,,,,,,,
,2021-04-28,,,0,,,,,,,,,,,,,,,,,
,2021-04-29,,,0,,,,,,,,,,,,,,,,,
,2021-04-30,,,0,,,,,,,,,,,,,,,,,
