"Daily Weather Observations for Scone, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2121.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Scone Airport AWS {station 061363}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.9,24.8,0.2,,,S,39,14:55,16.4,95,,S,7,1024.1,23.4,54,,SSE,22,1022.0
,2021-04-2,10.4,25.7,0.2,,,S,33,14:06,14.9,100,, ,Calm,1026.3,24.8,54,,S,17,1023.6
,2021-04-3,12.1,26.6,0,,,SSE,24,13:31,15.3,100,,S,4,1025.1,24.6,55,,S,13,1020.6
,2021-04-4,10.2,28.1,0,,,WNW,20,12:59,18.9,83,, ,Calm,1020.7,26.9,42,,WNW,11,1016.6
,2021-04-5,14.0,27.1,0.2,,,S,31,15:02,19.9,78,,SSW,9,1018.8,26.3,53,,SSE,19,1016.1
,2021-04-6,16.5,27.0,0,,,ESE,41,14:39,21.1,78,,SSE,7,1020.6,25.2,56,,SE,26,1017.0
,2021-04-7,17.3,27.3,0,,,S,44,14:56,21.8,80,,SSE,20,1017.9,25.1,60,,SSE,35,1013.1
,2021-04-8,15.7,26.2,0,,,SE,30,14:17,18.5,99,, ,Calm,1013.5,24.8,53,,SE,20,1008.3
,2021-04-9,10.5,30.1,0,,,WNW,37,13:07,21.0,79,, ,Calm,1008.0,28.8,33,,WSW,22,1003.7
,2021-04-10,11.7,25.1,0.6,,,W,46,11:20,17.0,91,,WNW,9,1007.5,24.3,27,,WNW,26,1005.3
,2021-04-11,6.8,19.2,0,,,WNW,63,10:40,16.4,44,,W,31,1011.9,18.4,26,,W,33,1012.0
,2021-04-12,2.6,20.7,0,,,WSW,22,14:10,13.7,46,,NNW,6,1020.2,20.7,26,,WNW,7,1017.2
,2021-04-13,0.7,24.8,0,,,W,20,15:31,12.0,67,,SSE,2,1022.5,24.2,25,,NW,7,1017.4
,2021-04-14,3.3,27.0,0,,,WNW,46,10:06,21.0,44,,WNW,20,1017.7,26.1,31,,NW,22,1014.1
,2021-04-15,8.9,28.5,0,,,WNW,33,14:18,20.7,49,,ENE,2,1016.8,27.7,25,,WSW,17,1012.2
,2021-04-16,8.9,22.7,0,,,SSE,35,15:47,14.6,71,, ,Calm,1020.3,19.5,56,,SSE,24,1018.7
,2021-04-17,13.2,15.6,12.0,,,SSE,28,00:44,13.6,100,,S,13,1023.1,14.5,99,,S,17,1020.7
,2021-04-18,8.2,20.7,5.0,,,SSE,19,12:48,12.6,90,,NW,7,1022.6,20.3,42,,SSE,4,1018.4
,2021-04-19,4.3,24.3,0.2,,,NW,26,14:49,14.3,79,, ,Calm,1019.6,23.2,29,,NW,13,1014.9
,2021-04-20,4.8,24.0,0,,,NNW,33,10:58,17.2,65,, ,Calm,1017.2,22.7,32,,NW,17,1012.2
,2021-04-21,8.5,20.7,0,,,W,43,09:50,18.0,48,,W,22,1013.4,20.2,30,,WSW,13,1012.2
,2021-04-22,2.3,20.8,0,,,W,46,15:55,14.6,61,,NNE,6,1014.9,19.6,26,,WSW,26,1011.5
,2021-04-23,1.5,21.9,0,,,W,37,13:36,13.3,58,,ENE,2,1019.4,21.1,35,,W,15,1015.8
,2021-04-24,2.7,23.6,0,,,WNW,24,13:35,13.0,70,, ,Calm,1023.0,23.1,28,,WNW,9,1018.9
,2021-04-25,2.8,21.5,0,,,S,24,13:06,12.3,81,,SSW,2,1024.2,21.3,36,,SSE,11,1020.8
,2021-04-26,4.8,22.0,0,,,S,20,14:56,11.6,100,,ENE,2,1025.5,21.4,45,,SSE,15,1022.1
,2021-04-27,3.7,22.4,0,,,S,22,15:33,11.0,100,,NNE,6,1027.8,22.1,41,,S,9,1023.4
,2021-04-28,5.7,22.4,0,,,SE,20,13:30,11.6,100,, ,Calm,1026.4,21.8,46,,E,9,1022.1
,2021-04-29,5.6,23.0,0.2,,,SE,24,14:45,11.2,100,, ,Calm,1024.8,22.4,31,,SSE,13,1021.7
,2021-04-30,6.0,22.5,0,,,SSE,28,14:12,11.7,100,, ,Calm,1028.3,22.0,39,,SSE,22,1025.1
