"Daily Weather Observations for South West Rocks, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2123.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Smoky Cape Lighthouse."
"Observations were drawn from South West Rocks (Smoky Cape Lighthouse) {station 059030}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,,,0,,,,,,,,,,,,,,,,,
,2020-09-2,,22.2,4.0,,,,,,18.0,93,5,N,26,,,,,,,
,2020-09-3,15.5,24.0,0,,,,,,17.8,88,3,NNW,19,,,,,,,
,2020-09-4,16.3,,0,,,,,,19.1,75,0,N,15,,,,,,,
,2020-09-5,,,0,,,,,,,,,,,,,,,,,
,2020-09-6,,,0,,,,,,,,,,,,,,,,,
,2020-09-7,,,0,,,,,,,,,,,,,,,,,
,2020-09-8,,24.9,0,,,,,,,,,,,,,,,,,
,2020-09-9,14.0,24.1,0,,,,,,19.6,64,4,NW,9,,,,,,,
,2020-09-10,12.8,18.1,36.0,,,,,,13.6,92,8,NE,19,,,,,,,
,2020-09-11,12.1,22.0,15.0,,,,,,17.0,63,5,S,13,,,,,,,
,2020-09-12,11.5,22.0,1.8,,,,,,15.0,89,3,SW,11,,,,,,,
,2020-09-13,13.1,23.6,0,,,,,,18.1,60,1,N,11,,,,,,,
,2020-09-14,13.4,24.8,0,,,,,,19.5,67,1,W,9,,,,,,,
,2020-09-15,13.9,,0,,,,,,19.5,80,2,SW,9,,,,,,,
,2020-09-16,,23.2,0,,,,,,,,,,,,,,,,,
,2020-09-17,15.8,25.6,0,,,,,,20.6,74,1,N,4,,,,,,,
,2020-09-18,14.6,25.5,0,,,,,,17.4,77,7,WSW,4,,,,,,,
,2020-09-19,15.2,25.1,0,,,,,,20.6,81,3,N,2,,,,,,,
,2020-09-20,16.1,22.0,0,,,,,,19.0,82,8,N,22,,,,,,,
,2020-09-21,16.8,24.4,2.0,,,,,,20.1,89,2,N,17,,,,,,,
,2020-09-22,18.6,,0.4,,,,,,20.8,83,7,N,28,,,,,,,
,2020-09-23,18.0,27.9,0,,,,,,21.4,36,0,SW,9,,,,,,,
,2020-09-24,14.0,25.0,0,,,,,,17.0,59,2,SW,6,,,,,,,
,2020-09-25,14.9,24.1,0,,,,,,19.6,35,1,N,19,,,,,,,
,2020-09-26,10.0,20.1,0,,,,,,13.1,42,0,W,28,,,,,,,
,2020-09-27,8.6,21.0,0,,,,,,13.8,48,1,SW,7,,,,,,,
,2020-09-28,10.0,22.0,0,,,,,,14.5,73,4,SW,9,,,,,,,
,2020-09-29,11.2,22.0,0,,,,,,16.5,69,2,SW,4,,,,,,,
,2020-09-30,14.0,22.7,0,,,,,,17.9,72,8,N,19,,,,,,,
