"Daily Weather Observations for South West Rocks, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2123.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Smoky Cape Lighthouse."
"Observations were drawn from South West Rocks (Smoky Cape Lighthouse) {station 059030}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,20.7,28.9,9.0,,,,,,25.0,77,6,E,4,,,,,,,
,2021-01-2,19.5,26.6,3.0,,,,,,20.6,99,8,SW,9,,,,,,,
,2021-01-3,20.3,,10.0,,,,,,22.0,99,6,N,9,,,,,,,
,2021-01-4,,27.1,0,,,,,,,,,,,,,,,,,
,2021-01-5,20.0,30.1,1.4,,,,,,23.3,81,4, ,Calm,,,,,,,
,2021-01-6,22.1,28.0,0,,,,,,23.1,99,8,SW,4,,,,,,,
,2021-01-7,18.6,,16.8,,,,,,18.7,99,8,SW,4,,,,,,,
,2021-01-8,,26.0,0,,,,,,,,,,,,,,,,,
,2021-01-9,16.1,26.6,20.0,,,,,,17.7,93,8,SW,4,,,,,,,
,2021-01-10,17.4,27.5,4.4,,,,,,21.5,86,3,SW,9,,,,,,,
,2021-01-11,18.7,29.1,0,,,,,,21.6,80,5,SW,4,,,,,,,
,2021-01-12,20.5,28.0,0,,,,,,22.7,72,1,N,9,,,,,,,
,2021-01-13,19.4,29.8,0,,,,,,22.0,79,3,NNE,4,,,,,,,
,2021-01-14,20.6,27.9,0,,,,,,22.6,83,1,N,13,,,,,,,
,2021-01-15,21.4,29.3,0,,,,,,22.5,90,6,N,30,,,,,,,
,2021-01-16,19.6,28.8,0,,,,,,21.9,70,3,SW,15,,,,,,,
,2021-01-17,19.6,,0,,,,,,21.5,68,3,NNE,2,,,,,,,
,2021-01-18,,29.3,0,,,,,,,,,,,,,,,,,
,2021-01-19,20.0,28.5,0,,,,,,25.3,56,1,SW,22,,,,,,,
,2021-01-20,18.1,22.7,20.0,,,,,,18.3,98,8,SW,4,,,,,,,
,2021-01-21,17.6,,0,,,,,,19.0,81,6,SW,13,,,,,,,
,2021-01-22,,27.2,0,,,,,,,,,,,,,,,,,
,2021-01-23,19.0,27.8,0,,,,,,22.7,81,1,N,15,,,,,,,
,2021-01-24,21.2,,0,,,,,,23.5,63,1,N,15,,,,,,,
,2021-01-25,,28.0,0,,,,,,,,,,,,,,,,,
,2021-01-26,21.9,27.9,0,,,,,,24.1,98,1,N,24,,,,,,,
,2021-01-27,22.5,31.6,0,,,,,,24.0,85,0,NNE,22,,,,,,,
,2021-01-28,22.0,31.0,2.0,,,,,,22.0,99,7,SW,15,,,,,,,
,2021-01-29,22.1,30.1,0,,,,,,24.4,88,8,ENE,13,,,,,,,
,2021-01-30,21.1,27.2,3.0,,,,,,22.1,99,8,NE,4,,,,,,,
,2021-01-31,22.1,29.9,1.0,,,,,,24.1,91,7,N,13,,,,,,,
