"Daily Weather Observations for Sydney Airport, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2125.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,20.6,27.7,0,0.4,6.8,NNE,56,17:54,22.0,83,7,S,13,1016.1,25.8,66,1,E,22,1012.3
,2021-02-2,17.9,24.4,18.6,7.6,5.9,S,52,04:31,19.5,82,7,SSW,28,1010.5,22.3,64,2,SSE,30,1010.5
,2021-02-3,17.9,25.0,1.0,7.8,9.3,S,41,23:26,20.1,67,1,SSW,24,1013.7,22.8,50,5,SE,22,1012.6
,2021-02-4,18.7,29.1,0,6.8,10.1,NE,59,16:25,23.7,69,6,NNW,6,1013.4,28.2,51,5,NE,41,1010.0
,2021-02-5,21.8,29.2,0,8.4,11.2,NNE,67,16:33,25.6,67,2,NNE,31,1012.1,27.6,62,2,NE,44,1009.0
,2021-02-6,22.4,26.2,0,9.0,1.1,NNE,50,23:22,24.6,71,8,NNE,19,1004.8,24.5,83,8,NNE,28,1002.9
,2021-02-7,19.0,27.0,0.4,3.4,11.2,SE,39,15:02,23.9,62,2,WSW,13,1006.4,25.5,65,5,SE,24,1006.8
,2021-02-8,19.7,23.1,0,8.6,3.6,S,41,04:39,20.6,80,6,S,24,1014.0,22.2,72,7,S,30,1013.6
,2021-02-9,19.4,23.8,0,5.4,6.5,S,37,13:28,22.2,51,7,SE,20,1017.7,22.3,66,4,SSE,26,1016.7
,2021-02-10,17.4,24.9,0.8,6.4,9.9,S,31,01:31,22.4,60,5,SE,19,1017.7,23.6,51,4,ESE,19,1015.5
,2021-02-11,20.0,28.4,0,9.2,11.9,NE,50,16:38,23.6,53,1,NNW,15,1015.3,26.6,46,1,ENE,33,1011.8
,2021-02-12,20.2,35.2,0,11.0,4.6,NNE,52,00:02,22.9,55,8,N,11,1008.8,33.9,32,6,N,24,1005.0
,2021-02-13,,21.2,6.4,7.4,0.0,SSE,52,14:12,20.4,96,8,S,33,1007.6,19.9,92,8,SSE,33,1009.9
,2021-02-14,17.2,23.3,12.2,2.0,11.1,S,44,11:20,20.2,81,3,S,28,1016.1,22.1,71,4,S,35,1015.8
,2021-02-15,19.8,23.7,0,8.0,4.1,S,72,16:45,20.6,66,7,S,39,1018.9,21.5,68,6,S,50,1018.6
,2021-02-16,19.1,27.0,3.8,5.2,8.7,ESE,43,15:10,22.6,81,7,ESE,20,1021.5,25.4,62,5,SE,26,1021.6
,2021-02-17,19.1,25.9,18.2,7.8,7.0,ESE,46,17:50,21.6,74,7,SSE,20,1023.9,24.3,54,6,SE,28,1023.8
,2021-02-18,19.1,25.7,1.4,6.4,5.2,E,46,11:20,24.3,47,1,E,24,1024.8,22.7,73,7,ENE,6,1023.6
,2021-02-19,20.2,28.0,6.8,6.4,9.7,NE,41,00:12,24.4,74,6,ENE,30,1021.7,26.0,66,5,ESE,20,1018.5
,2021-02-20,20.6,29.3,0,6.2,10.7,NE,35,16:36,22.6,85,7,SSW,7,1016.7,28.1,58,1,NE,19,1013.5
,2021-02-21,21.1,28.0,0,5.4,11.5,SSW,30,11:14,23.7,82,6,SSE,15,1011.5,26.9,66,3,SE,20,1008.8
,2021-02-22,20.3,26.4,0,5.6,10.7,S,63,20:54,23.5,77,1,SW,9,1006.8,24.9,79,1,SSE,33,1005.4
,2021-02-23,19.8,21.2,0,8.4,0.0,S,56,23:02,20.9,69,7,S,37,1012.5,20.2,62,7,S,39,1014.2
,2021-02-24,16.6,21.3,41.8,5.6,2.2,SSE,43,23:08,18.4,91,6,SSW,28,1018.0,19.6,92,7,S,26,1016.4
,2021-02-25,18.0,23.5,3.6,2.0,0.9,S,26,14:04,19.3,89,7,WNW,11,1011.4,21.9,85,8,S,15,1010.4
,2021-02-26,18.3,26.3,5.2,1.2,10.7,SE,35,15:49,22.0,85,1,S,15,1010.2,25.1,61,1,SE,20,1009.5
,2021-02-27,19.5,24.6,0,7.6,0.0,NNE,33,18:05,20.2,86,8,SW,11,1014.6,22.6,78,8,NNE,20,1012.4
,2021-02-28,19.0,26.5,0.2,2.8,10.9,S,35,06:18,22.2,85,6,S,26,1012.7,25.3,60,1,SE,20,1010.8
