"Daily Weather Observations for Sydney Airport, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2125.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,8.3,20.2,0,2.8,6.0,NW,28,09:57,11.4,77,6,WNW,15,1023.7,19.5,40,7,NW,2,1020.5
,2021-06-2,10.0,22.5,0,1.8,9.3,NNE,20,18:38,14.1,64,3,WNW,15,1021.8,19.9,49,1,E,13,1017.7
,2021-06-3,11.3,16.1,0,2.4,0.0,W,31,10:04,13.8,74,7,NW,11,1015.2,13.4,94,8,WNW,7,1010.8
,2021-06-4,10.3,21.2,9.4,1.4,6.4,WSW,41,13:29,15.2,71,2,WSW,15,1010.8,18.6,47,7,W,24,1010.7
,2021-06-5,8.6,17.8,0,3.2,9.3,SW,35,00:44,12.5,60,1,W,15,1022.9,17.1,32,1,NW,11,1020.4
,2021-06-6,7.9,19.4,0,2.2,9.3,WSW,31,06:56,13.2,51,0,WNW,13,1024.0,17.5,56,1,S,11,1023.0
,2021-06-7,8.2,20.1,0,3.2,8.6,NNE,26,15:41,12.4,70,6,NW,13,1024.0,18.6,56,6,NNE,17,1018.7
,2021-06-8,11.6,20.0,0,2.6,1.3,N,43,12:38,15.4,49,6,NNW,20,1013.5,19.4,45,7,NNE,30,1008.5
,2021-06-9,9.9,16.5,7.6,2.4,7.6,WNW,52,14:18,11.3,82,3,WNW,20,1005.0,14.4,43,4,WNW,31,1001.7
,2021-06-10,6.9,11.4,0,4.0,0.0,NNE,44,09:19,11.0,69,7,NNE,17,1006.0,11.0,81,8,WNW,11,1005.5
,2021-06-11,4.6,16.7,6.6,1.6,4.9,WNW,37,13:04,7.1,91,3,WNW,17,1011.0,16.1,55,7,WNW,20,1009.6
,2021-06-12,7.1,18.8,0,2.5,9.3,WNW,44,13:13,13.6,57,1,NNW,20,1016.1,18.0,34,1,WNW,26,1013.8
,2021-06-13,7.8,19.2,0,4.2,9.4,W,43,11:43,12.4,59,1,NW,17,1017.4,18.5,40,1,W,22,1014.3
,2021-06-14,9.8,17.3,0,4.6,0.4,S,33,18:43,11.6,64,7,WNW,19,1016.6,16.2,73,7,SW,9,1014.9
,2021-06-15,11.1,17.2,0,0.0,0.9,SSE,30,17:02,14.0,77,6,NW,13,1018.0,15.7,79,7,SSW,11,1015.7
,2021-06-16,8.9,19.8,0,1.6,7.4,W,50,22:31,11.6,83,1,WNW,13,1017.9,19.3,54,5,N,7,1013.5
,2021-06-17,9.6,18.6,6.2,2.0,8.3,W,54,00:15,14.5,53,1,NW,11,1009.9,16.5,39,3,W,30,1007.6
,2021-06-18,8.8,19.1,0,4.0,8.0,WSW,57,13:02,13.8,58,1,NW,17,1007.4,17.7,39,6,WSW,37,1004.7
,2021-06-19,11.1,15.2,1.8,4.0,0.0,SSW,80,10:51,13.3,58,7,WSW,30,1012.0,13.1,90,8,SSW,54,1014.2
,2021-06-20,12.1,14.8,6.6,1.3,1.5,SSW,59,01:16,13.0,83,6,SSW,30,1023.1,13.6,90,7,SW,35,1022.7
,2021-06-21,10.3,15.3,4.4,1.2,3.3,SSW,39,01:04,12.7,91,7,W,11,1027.4,14.2,80,3,S,26,1026.1
,2021-06-22,9.7,16.3,2.4,2.2,2.8,N,24,03:04,11.1,91,7,WNW,17,1031.8,14.8,84,4,SSW,9,1029.7
,2021-06-23,10.2,19.8,0,0.0,2.9,NNE,30,16:46,12.8,85,7,NNW,9,1027.6,18.6,53,6,N,19,1022.8
,2021-06-24,12.7,22.9,0,3.6,3.1,N,43,11:02,17.1,64,7,N,20,1015.8,21.1,51,4,N,30,1010.6
,2021-06-25,12.3,20.3,0.6,3.0,9.1,W,52,14:14,16.0,57,1,WNW,20,1015.5,19.5,36,1,W,31,1013.7
,2021-06-26,9.5,18.8,0,4.8,9.2,W,52,15:06,14.0,61,1,NW,24,1018.9,18.0,37,3,W,30,1018.3
,2021-06-27,7.1,19.2,0,4.6,9.1,WNW,31,07:09,11.9,57,1,WNW,13,1025.7,17.8,33,0,SW,4,1024.7
,2021-06-28,7.6,16.2,3.2,0.6,2.8,S,35,13:57,10.6,88,6,NW,13,1032.2,15.6,74,4,S,26,1030.5
,2021-06-29,10.1,16.3,21.2,2.2,1.8,SSW,31,05:25,12.4,94,7,W,13,1034.1,14.4,93,5,SSW,19,1031.6
,2021-06-30,10.8,17.3,28.2,2.0,1.9,NNE,20,00:00,12.6,96,7,NNW,9,1031.5,16.6,83,7,ENE,11,1027.7
