"Daily Weather Observations for Tabulam, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2126.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tabulam (Muirne) {station 057095}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,11.7,25.4,0,2.2,,,,,17.4,69,5,NNW,28,,,,,,,
,2020-10-2,13.7,26.4,0,3.6,,,,,21.1,57,0,SE,9,,,,,,,
,2020-10-3,13.8,24.4,0,4.6,,,,,17.6,82,5,SSE,9,,,,,,,
,2020-10-4,11.5,24.8,0,3.2,,,,,14.2,91,1,S,6,,,,,,,
,2020-10-5,12.8,25.8,0,3.4,,,,,16.6,79,2,NNE,9,,,,,,,
,2020-10-6,12.9,26.8,0,4.4,,,,,17.0,81,0,NNE,6,,,,,,,
,2020-10-7,12.6,26.0,0,4.8,,,,,16.1,82,1,S,6,,,,,,,
,2020-10-8,13.4,28.8,0,4.2,,,,,15.9,83,7,NNE,6,,,,,,,
,2020-10-9,14.2,28.6,0,4.6,,,,,20.1,68,3,NNW,13,,,,,,,
,2020-10-10,12.4,25.6,0,7.6,,,,,16.6,76,2,NNE,9,,,,,,,
,2020-10-11,13.0,25.6,0,9.2,,,,,17.8,72,2,SSE,9,,,,,,,
,2020-10-12,12.7,24.8,0,4.0,,,,,16.0,83,5,SE,9,,,,,,,
,2020-10-13,12.2,21.8,0.8,4.6,,,,,15.6,81,5,SSE,9,,,,,,,
,2020-10-14,12.0,23.0,0,2.8,,,,,14.8,80,1,SSE,13,,,,,,,
,2020-10-15,11.0,24.8,0,3.6,,,,,15.2,74,1,S,9,,,,,,,
,2020-10-16,12.4,29.6,0,5.2,,,,,17.1,59,0,NNW,17,,,,,,,
,2020-10-17,15.4,28.2,0,5.2,,,,,19.4,73,5,NNE,6,,,,,,,
,2020-10-18,15.2,29.1,0,7.4,,,,,19.6,58,4,NNW,17,,,,,,,
,2020-10-19,12.4,23.5,11.6,9.8,,,,,15.9,79,7,WSW,6,,,,,,,
,2020-10-20,12.6,22.7,0,2.2,,,,,16.4,75,4,WSW,9,,,,,,,
,2020-10-21,11.2,23.1,0,3.0,,,,,16.5,73,1,SSE,9,,,,,,,
,2020-10-22,14.2,24.4,0,4.6,,,,,16.6,84,8,SSE,9,,,,,,,
,2020-10-23,15.2,25.2,4.4,4.4,,,,,17.7,92,7,NE,9,,,,,,,
,2020-10-24,15.8,21.8,5.4,2.2,,,,,16.6,99,8,NNE,9,,,,,,,
,2020-10-25,16.0,27.8,4.2,1.2,,,,,18.8,88,5,NNW,17,,,,,,,
,2020-10-26,14.7,24.5,25.4,8.2,,,,,17.2,96,8,SE,9,,,,,,,
,2020-10-27,13.2,20.9,0.6,4.2,,,,,16.5,83,7,SE,9,,,,,,,
,2020-10-28,12.9,20.9,7.2,2.8,,,,,14.8,100,,SE,6,,,,,,,
,2020-10-29,13.5,25.0,7.6,2.4,,,,,15.6,100,8,S,6,,,,,,,
,2020-10-30,12.4,28.4,0,6.0,,,,,17.0,78,1,NNW,9,,,,,,,
,2020-10-31,15.8,27.0,0.8,6.6,,,,,21.4,69,1,NNW,24,,,,,,,
