"Daily Weather Observations for Tabulam, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2126.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tabulam (Muirne) {station 057095}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,17.4,26.2,3.8,7.0,,,,,18.5,100,8,SSW,9,,,,,,,
,2021-02-2,16.1,26.7,0.4,4.8,,,,,19.4,83,8,SW,9,,,,,,,
,2021-02-3,16.6,25.1,5.0,3.2,,,,,18.5,86,7,SSE,9,,,,,,,
,2021-02-4,15.9,27.1,0,5.2,,,,,19.8,85,5,S,9,,,,,,,
,2021-02-5,17.4,27.5,0,5.2,,,,,20.2,84,5,SE,4,,,,,,,
,2021-02-6,16.8,28.0,0,3.0,,,,,20.2,84,6,SE,6,,,,,,,
,2021-02-7,19.6,31.4,0.4,4.2,,,,,20.6,98,3,NNE,9,,,,,,,
,2021-02-8,18.8,25.4,3.6,8.8,,,,,19.9,82,7,SSE,9,,,,,,,
,2021-02-9,16.1,24.1,2.4,6.2,,,,,19.1,85,6,SSE,13,,,,,,,
,2021-02-10,14.7,25.3,0.4,4.4,,,,,17.6,86,5,S,24,,,,,,,
,2021-02-11,15.2,25.4,0,5.2,,,,,17.1,89,6,SW,4,,,,,,,
,2021-02-12,16.8,28.6,0,3.8,,,,,19.2,81,4,NW,4,,,,,,,
,2021-02-13,17.6,29.0,0,3.6,,,,,20.8,77,5,NNW,24,,,,,,,
,2021-02-14,18.4,22.4,22.8,7.4,,,,,18.6,96,8,SSW,24,,,,,,,
,2021-02-15,14.7,25.4,1.4,5.2,,,,,17.5,74,2,SSE,9,,,,,,,
,2021-02-16,16.0,22.1,0.8,5.6,,,,,17.4,96,8,S,13,,,,,,,
,2021-02-17,15.3,21.5,12.2,4.4,,,,,16.4,100,8,SSE,24,,,,,,,
,2021-02-18,15.4,22.7,13.0,3.4,,,,,16.8,100,,S,28,,,,,,,
,2021-02-19,16.3,23.4,23.2,43.2,,,,,18.8,100,8,S,24,,,,,,,
,2021-02-20,16.2,25.4,12.8,0.7,,,,,18.2,100,8,SSE,9,,,,,,,
,2021-02-21,17.2,27.8,3.0,0.6,,,,,19.6,92,6,WSW,6,,,,,,,
,2021-02-22,17.7,30.6,10.2,6.6,,,,,19.2,95,1,N,4,,,,,,,
,2021-02-23,18.4,29.1,0,7.8,,,,,21.6,90,7,ENE,4,,,,,,,
,2021-02-24,17.7,24.6,12.8,6.0,,,,,18.4,100,8,S,6,,,,,,,
,2021-02-25,17.2,26.8,3.0,1.2,,,,,19.4,100,8,SE,2,,,,,,,
,2021-02-26,18.4,29.5,0.2,4.6,,,,,22.0,90,4,NNW,4,,,,,,,
,2021-02-27,20.4,27.8,5.8,3.8,,,,,21.0,96,7,SSE,6,,,,,,,
,2021-02-28,19.5,29.5,0.8,4.0,,,,,21.2,96,8,NE,6,,,,,,,
