"Daily Weather Observations for Tabulam, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2126.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tabulam (Muirne) {station 057095}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,12.8,21.9,0,3.8,,,,,15.4,77,2,S,9,,,,,,,
,2021-04-2,14.5,22.4,9.4,4.2,,,,,15.8,100,,S,17,,,,,,,
,2021-04-3,14.2,19.5,2.8,0.7,,,,,15.0,98,8,SSE,17,,,,,,,
,2021-04-4,14.2,17.8,4.8,0.6,,,,,16.6,98,,S,9,,,,,,,
,2021-04-5,15.5,18.8,17.2,4.1,,,,,16.8,100,,SSE,13,,,,,,,
,2021-04-6,15.7,17.5,29.8,0.0,,,,,16.9,100,,SE,17,,,,,,,
,2021-04-7,15.4,20.4,40.6,0.0,,,,,17.5,100,,SSE,17,,,,,,,
,2021-04-8,15.6,22.6,6.8,1.2,,,,,17.4,99,7,SSE,17,,,,,,,
,2021-04-9,14.1,26.2,0.6,2.0,,,,,18.1,89,0,NW,6,,,,,,,
,2021-04-10,16.2,25.5,0,4.0,,,,,20.2,60,1,WNW,24,,,,,,,
,2021-04-11,14.6,23.2,0,5.8,,,,,18.8,47,1,SSW,17,,,,,,,
,2021-04-12,8.2,20.1,0,4.8,,,,,12.9,48,3,SW,9,,,,,,,
,2021-04-13,8.9,19.7,0,4.0,,,,,13.1,66,5,SSW,6,,,,,,,
,2021-04-14,9.2,23.0,0,2.2,,,,,15.3,68,0,NNW,9,,,,,,,
,2021-04-15,11.3,24.8,0,3.6,,,,,16.0,64,0,NNW,9,,,,,,,
,2021-04-16,14.6,24.8,0,4.6,,,,,18.9,63,2,NNW,9,,,,,,,
,2021-04-17,14.5,,0,4.8,,,,,16.8,84,8,SSE,13,,,,,,,
,2021-04-18,,19.6,16.8,,,,,,,,,,,,,,,,,
,2021-04-19,11.4,21.2,0,2.6,,,,,16.0,78,1,NW,9,,,,,,,
,2021-04-20,10.3,23.2,0,1.8,,,,,15.5,76,0,NNW,9,,,,,,,
,2021-04-21,13.0,22.6,0,4.4,,,,,16.9,58,0,NW,9,,,,,,,
,2021-04-22,8.9,17.4,0,1.2,,,,,11.6,72,7,N,9,,,,,,,
,2021-04-23,8.7,19.8,0,2.2,,,,,12.8,50,0,SW,6,,,,,,,
,2021-04-24,10.0,,0,0.8,,,,,13.8,74,0,SSW,6,,,,,,,
,2021-04-25,9.8,21.2,0,1.0,,,,,14.2,78,0,NW,6,,,,,,,
,2021-04-26,11.0,21.0,0,4.6,,,,,15.4,86,7,S,9,,,,,,,
,2021-04-27,9.8,20.4,0,2.2,,,,,15.7,91,1,SSE,9,,,,,,,
,2021-04-28,11.6,19.1,0,3.0,,,,,15.1,79,8,SSW,6,,,,,,,
,2021-04-29,11.8,20.5,0,1.8,,,,,15.2,90,7,SSW,6,,,,,,,
,2021-04-30,12.7,18.6,2.6,2.8,,,,,15.3,90,6,SSE,9,,,,,,,
