"Daily Weather Observations for Tamworth, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2127.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Evaporation data becomes available as written records are processed, which may not be for several months."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Tamworth Airport AWS {station 055325}"
"Evaporation observations are from Tamworth (Oxley Lane) {station 055327}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,11.4,24.4,5.2,,,NW,46,13:33,18.4,74,8,NNE,7,1009.0,16.2,80,8,SSW,2,1003.8
,2021-10-2,10.7,21.1,0.2,,,W,46,13:01,15.5,88,8,NNW,15,1006.9,20.0,57,5,WNW,30,1003.9
,2021-10-3,7.7,23.7,0.8,,,NW,33,10:19,15.2,84,,NNW,11,1007.3,22.6,52,4,W,19,1004.6
,2021-10-4,10.1,24.5,0,,,W,46,13:29,20.1,59,,NW,22,1003.3,23.1,47,1,WNW,24,1004.0
,2021-10-5,3.8,21.3,0,,,W,57,13:06,14.9,61,,NW,19,1012.6,20.8,34,1,W,33,1011.3
,2021-10-6,0.5,23.0,0,,,NNW,28,14:56,11.6,72,,SE,6,1017.5,22.3,36,,WNW,7,1014.1
,2021-10-7,2.2,25.3,0,,,N,35,12:40,10.1,78,7,E,4,1014.5,24.4,30,4,NW,22,1011.7
,2021-10-8,8.1,26.3,0,,,WNW,26,11:58,17.4,69,,E,6,1017.3,25.2,42,,NNW,17,1015.0
,2021-10-9,7.5,29.2,0,,,NNW,31,12:45,17.1,71,,SSE,6,1018.9,28.4,35,1,NW,15,1014.5
,2021-10-10,10.7,29.2,0,,,NW,57,17:19,21.9,61,1,NW,4,1013.8,28.4,48,6,NNW,31,1008.4
,2021-10-11,14.7,20.8,26.4,,,ESE,33,22:02,16.0,100,7,NW,6,1012.2,20.2,72,8,NNW,11,1010.8
,2021-10-12,11.7,19.9,3.8,,,E,46,01:22,14.0,99,8,SE,15,1012.8,19.0,65,8,E,24,1008.6
,2021-10-13,11.9,24.9,10.4,,,SE,31,00:42,18.4,75,8,E,13,1012.8,21.8,70,7,NE,11,1008.7
,2021-10-14,14.2,27.4,0.6,,,N,56,10:07,19.9,75,,N,6,1009.1,27.2,50,5,NNW,30,1005.1
,2021-10-15,12.4,20.7,0,,,W,74,18:50,15.9,66,5,N,22,1006.6,18.4,43,6,NW,35,1004.2
,2021-10-16,5.9,20.0,2.4,,,WNW,57,10:55,13.4,82,,NW,24,1010.7,18.3,51,8,WNW,31,1008.6
,2021-10-17,3.9,22.9,0,,,SW,22,10:29,13.7,75,,N,6,1016.6,21.2,38,,SSE,9,1013.2
,2021-10-18,7.4,25.2,0,,,W,24,12:04,15.9,68,1,N,2,1017.5,24.2,31,8,WNW,9,1013.7
,2021-10-19,5.5,26.7,0,,,W,26,14:32,16.5,71,,ESE,11,1017.6,25.7,34,1,W,11,1013.6
,2021-10-20,6.7,23.6,0,,,S,41,15:13,16.6,74,,ESE,6,1015.0,22.6,33,,WNW,9,1011.4
,2021-10-21,8.5,25.3,0,,,SE,31,00:36,18.6,63,,SE,20,1014.3,24.2,51,8,SE,15,1011.2
,2021-10-22,10.7,28.0,0,,,SE,24,23:25,19.0,67,,SE,9,1016.2,27.1,40,1,WNW,7,1013.1
,2021-10-23,10.6,33.3,0,,,NNW,44,15:18,22.2,69,,ESE,6,1015.4,32.2,38,,N,17,1009.2
,2021-10-24,13.6,25.6,0,,,WSW,43,10:06,20.9,46,,W,26,1015.9,24.7,31,,WNW,22,1013.6
,2021-10-25,4.1,24.6,0,,,W,33,13:05,15.3,61,,NNW,6,1017.2,23.3,24,,NW,17,1014.3
,2021-10-26,3.0,,0,,,,,,16.0,50,,SE,6,1019.1,25.5,16,,NW,13,1015.4
