"Daily Weather Observations for Taralga, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2128.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Taralga Post Office {station 070080}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-0.5,15.5,0,,,,,,6.5,86,7,N,19,,,,,,,
,2020-09-2,-1.0,19.5,0,,,,,,12.0,66,7,NW,37,,,,,,,
,2020-09-3,9.0,21.0,0,,,,,,17.0,100,3,NNW,52,,,,,,,
,2020-09-4,5.5,17.5,0.8,,,,,,13.0,100,5,NW,22,,,,,,,
,2020-09-5,1.5,14.0,0,,,,,,9.5,81,0,W,11,,,,,,,
,2020-09-6,-3.0,15.5,0,,,,,,6.0,100,0,W,11,,,,,,,
,2020-09-7,1.0,21.0,0,,,,,,11.5,82,0,NNE,4,,,,,,,
,2020-09-8,2.0,21.0,0,,,,,,16.0,61,8,N,4,,,,,,,
,2020-09-9,9.0,9.5,3.5,,,,,,9.0,100,8,ESE,7,,,,,,,
,2020-09-10,6.0,12.5,4.5,,,,,,8.5,100,8,E,37,,,,,,,
,2020-09-11,3.0,17.0,0,,,,,,9.0,100,6,NE,22,,,,,,,
,2020-09-12,0.5,,0,,,,,,13.0,100,0,NW,11,,,,,,,
,2020-09-13,,,0,,,,,,,,,,,,,,,,,
,2020-09-14,6.0,19.0,0.6,,,,,,13.0,78,1,W,15,,,,,,,
,2020-09-15,-0.5,20.0,0,,,,,,12.5,83,0,N,4,,,,,,,
,2020-09-16,2.0,20.5,0,,,,,,16.0,66,0,NW,22,,,,,,,
,2020-09-17,7.0,23.5,0,,,,,,17.0,62,6,NW,26,,,,,,,
,2020-09-18,8.5,17.5,0,,,,,,11.0,76,8,NE,33,,,,,,,
,2020-09-19,9.5,19.5,0,,,,,,13.5,89,6,NE,19,,,,,,,
,2020-09-20,12.5,18.0,11.5,,,,,,12.5,100,8,NE,11,,,,,,,
,2020-09-21,7.0,23.5,0.4,,,,,,18.0,72,0,NW,33,,,,,,,
,2020-09-22,8.5,17.0,6.0,,,,,,14.0,58,0,NW,33,,,,,,,
,2020-09-23,6.0,16.0,0,,,,,,11.0,76,2,W,41,,,,,,,
,2020-09-24,6.0,14.5,0,,,,,,8.0,74,8,W,44,,,,,,,
,2020-09-25,0.0,13.0,0.6,,,,,,11.0,65,6,NNW,41,,,,,,,
,2020-09-26,0.5,9.0,16.0,,,,,,4.0,77,6,W,56,,,,,,,
,2020-09-27,1.5,12.0,0.8,,,,,,8.5,68,2,WNW,19,,,,,,,
,2020-09-28,6.0,16.0,0,,,,,,9.0,74,1,NW,11,,,,,,,
,2020-09-29,3.5,16.8,0,,,,,,12.0,56,3,N,6,,,,,,,
,2020-09-30,2.5,16.0,0,,,,,,10.5,82,8,NNE,4,,,,,,,
