"Daily Weather Observations for Taralga, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2128.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Taralga Post Office {station 070080}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,8.0,16.0,8.5,,,,,,10.0,100,8,S,22,,,,,,,
,2020-11-2,3.5,18.0,0.2,,,,,,11.0,88,6,SE,31,,,,,,,
,2020-11-3,7.0,21.5,0,,,,,,13.0,78,0,E,15,,,,,,,
,2020-11-4,4.0,24.5,0,,,,,,18.5,68,2,W,11,,,,,,,
,2020-11-5,9.5,10.0,8.0,,,,,,10.0,93,8,E,26,,,,,,,
,2020-11-6,5.0,18.2,15.0,,,,,,9.0,74,6,SE,7,,,,,,,
,2020-11-7,4.0,,0,,,,,,15.5,56,3,E,11,,,,,,,
,2020-11-8,,18.0,0,,,,,,,,,,,,,,,,,
,2020-11-9,4.0,19.0,0,,,,,,12.0,88,6,NE,35,,,,,,,
,2020-11-10,8.0,23.0,0,,,,,,14.0,78,1,NE,19,,,,,,,
,2020-11-11,5.0,26.5,0,,,,,,18.5,68,0,N,15,,,,,,,
,2020-11-12,10.5,24.5,0,,,,,,19.5,53,8,WNW,33,,,,,,,
,2020-11-13,13.5,22.2,3.8,,,,,,16.0,90,8,NW,11,,,,,,,
,2020-11-14,5.0,20.5,2.0,,,,,,14.5,74,2,SW,11,,,,,,,
,2020-11-15,4.0,28.0,0,,,,,,19.0,56,0, ,Calm,,,,,,,
,2020-11-16,11.0,29.0,0,,,,,,25.0,43,6,NW,37,,,,,,,
,2020-11-17,4.0,23.5,0,,,,,,17.0,54,0,WSW,30,,,,,,,
,2020-11-18,11.0,21.5,0.2,,,,,,13.5,89,8,ENE,30,,,,,,,
,2020-11-19,7.0,29.0,0,,,,,,16.0,90,4,NE,11,,,,,,,
,2020-11-20,11.5,32.0,0,,,,,,25.0,55,1,NW,26,,,,,,,
,2020-11-21,9.0,26.5,0,,,,,,15.5,75,0,E,11,,,,,,,
,2020-11-22,12.0,26.5,0,,,,,,23.2,52,8,W,22,,,,,,,
,2020-11-23,15.0,20.0,15.0,,,,,,18.0,81,8,NW,35,,,,,,,
,2020-11-24,8.0,22.0,9.0,,,,,,16.0,80,6,E,15,,,,,,,
,2020-11-25,11.5,25.0,0.2,,,,,,14.5,84,7,NE,19,,,,,,,
,2020-11-26,9.5,28.5,0,,,,,,22.0,59,0,W,15,,,,,,,
,2020-11-27,10.5,31.0,0,,,,,,15.5,84,1,NE,22,,,,,,,
,2020-11-28,14.0,33.0,0,,,,,,26.0,53,8,NW,41,,,,,,,
,2020-11-29,17.5,29.0,4.8,,,,,,27.5,37,6,WNW,59,,,,,,,
,2020-11-30,10.5,20.0,0.2,,,,,,12.0,88,8,E,30,,,,,,,
