"Daily Weather Observations for Taralga, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2128.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Taralga Post Office {station 070080}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,2.0,21.0,0,,,,,,13.0,67,2,SW,15,,,,,,,
,2021-09-2,1.0,19.0,0,,,,,,13.0,100,1,NE,30,,,,,,,
,2021-09-3,6.5,21.5,0,,,,,,16.0,100,0,N,19,,,,,,,
,2021-09-4,8.0,13.0,0,,,,,,12.0,100,8,NNW,33,,,,,,,
,2021-09-5,5.0,8.0,13.0,,,,,,5.0,93,8,W,44,,,,,,,
,2021-09-6,3.0,13.0,2.0,,,,,,8.0,74,1,NW,30,,,,,,,
,2021-09-7,1.0,13.0,0,,,,,,7.0,86,1,NW,26,,,,,,,
,2021-09-8,3.0,18.0,0,,,,,,7.5,87,3,WNW,19,,,,,,,
,2021-09-9,4.5,17.0,0,,,,,,8.5,87,7,WNW,41,,,,,,,
,2021-09-10,8.5,20.0,0,,,,,,15.0,50,4,W,33,,,,,,,
,2021-09-11,0.0,,0,,,,,,15.5,56,0,NW,11,,,,,,,
,2021-09-12,,21.0,0,,,,,,,,,,,,,,,,,
,2021-09-13,-1.0,9.5,0,,,,,,8.0,87,6,W,26,,,,,,,
,2021-09-14,1.0,11.0,3.0,,,,,,5.5,93,7,SSE,26,,,,,,,
,2021-09-15,-2.5,12.5,0,,,,,,7.0,72,1,SSE,22,,,,,,,
,2021-09-16,1.0,14.5,0,,,,,,7.0,79,6,NE,30,,,,,,,
,2021-09-17,-1.0,19.0,0,,,,,,11.5,71,0,N,11,,,,,,,
,2021-09-18,10.0,17.5,1.0,,,,,,15.5,65,6,NW,22,,,,,,,
,2021-09-19,0.0,14.0,5.0,,,,,,11.0,65,2,NW,11,,,,,,,
,2021-09-20,7.5,17.0,0,,,,,,13.5,43,0,WNW,43,,,,,,,
,2021-09-21,0.0,11.0,3.0,,,,,,6.0,86,6,SW,26,,,,,,,
,2021-09-22,-2.0,15.5,2.2,,,,,,9.0,74,1,SW,11,,,,,,,
,2021-09-23,3.0,18.5,0,,,,,,11.0,82,6,WNW,11,,,,,,,
,2021-09-24,4.0,18.2,0,,,,,,13.5,73,1,WNW,41,,,,,,,
,2021-09-25,5.5,15.0,0,,,,,,9.5,63,0,SW,11,,,,,,,
,2021-09-26,3.0,11.5,0,,,,,,8.0,74,0,E,11,,,,,,,
,2021-09-27,2.0,15.5,0,,,,,,10.5,59,2,NNE,19,,,,,,,
,2021-09-28,1.0,19.0,0,,,,,,15.0,69,6,NW,19,,,,,,,
,2021-09-29,5.0,16.5,0,,,,,,13.0,89,6,N,11,,,,,,,
,2021-09-30,7.5,17.0,27.0,,,,,,11.5,71,8,NW,41,,,,,,,
