"Daily Weather Observations for Temora, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2130.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Temora Airport {station 073151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,16.9,41.7,0,,,SW,69,15:00,25.6,43,,NNE,24,1008.8,41.4,19,,WNW,33,1003.5
,2020-12-2,13.0,27.1,0,,,SW,43,03:28,16.5,29,,SSW,20,1020.0,24.7,17,,SW,17,1019.1
,2020-12-3,12.1,29.5,0,,,SE,28,00:06,19.7,62,,ENE,13,1021.0,28.1,25,,SW,17,1017.1
,2020-12-4,7.0,33.6,0,,,WSW,48,13:32,24.7,22,,NNE,11,1016.2,32.9,8,,W,26,1012.3
,2020-12-5,7.3,32.6,0,,,NNE,69,13:08,21.8,42,,ENE,13,1009.4,29.7,36,,N,44,1001.3
,2020-12-6,10.9,23.5,4.6,,,WNW,50,13:41,14.9,64,,WSW,22,1007.4,22.8,30,,W,26,1006.1
,2020-12-7,10.5,23.8,0,,,WNW,48,14:03,18.0,40,,W,28,1008.3,21.4,31,,W,31,1006.2
,2020-12-8,7.0,22.6,0.2,,,SW,46,12:17,13.5,65,,SW,22,1016.1,21.2,25,,WSW,30,1015.6
,2020-12-9,4.8,28.4,0,,,W,30,11:57,18.8,37,,E,7,1019.7,27.2,23,,W,19,1015.8
,2020-12-10,8.8,32.2,0,,,E,50,21:07,24.7,30,,SSE,7,1018.0,31.0,18,,W,17,1015.9
,2020-12-11,13.6,27.3,0,,,E,54,21:17,17.7,48,,E,35,1025.0,26.7,27,,E,22,1022.1
,2020-12-12,12.4,27.9,0,,,E,50,08:04,18.4,43,,E,35,1027.9,26.8,26,,E,24,1023.0
,2020-12-13,13.8,30.7,0,,,E,41,23:18,20.0,50,,ENE,26,1023.3,28.7,21,,ENE,17,1018.3
,2020-12-14,15.4,33.2,0,,,E,48,20:45,22.7,53,,E,28,1018.7,31.4,24,,ESE,20,1014.0
,2020-12-15,17.8,32.5,0,,,ESE,39,17:57,23.6,55,,E,20,1014.6,29.8,38,,ESE,13,1010.8
,2020-12-16,21.7,34.2,0,,,N,46,16:35,26.1,60,,NE,15,1010.5,32.3,34,,NE,11,1005.3
,2020-12-17,20.0,35.3,9.2,,,WNW,50,15:27,25.1,76,,NNW,19,1006.4,34.9,31,,WSW,20,1003.6
,2020-12-18,17.9,28.7,6.4,,,WSW,39,12:11,20.3,55,,W,11,1009.8,27.7,27,,WSW,22,1009.0
,2020-12-19,8.9,28.3,0,,,S,28,16:18,20.8,38,,SSW,9,1015.8,26.6,11,,W,13,1013.1
,2020-12-20,12.0,29.6,0,,,SW,48,13:52,21.4,60,,E,7,1014.0,28.2,15,,WNW,15,1010.9
,2020-12-21,13.8,27.5,0,,,N,54,14:23,21.3,47,,NE,17,1009.9,26.4,22,,N,22,1006.3
,2020-12-22,14.5,23.3,10.2,,,WSW,67,18:03,16.3,84,,W,24,1005.9,19.8,49,,W,22,1007.1
,2020-12-23,12.5,27.4,0,,,WSW,35,23:01,14.4,76,,SW,13,1016.7,25.7,35,,S,17,1015.1
,2020-12-24,9.5,30.0,0,,,WSW,43,12:51,22.2,39,,SSW,15,1016.4,28.7,21,,WSW,20,1013.5
,2020-12-25,6.2,31.7,0,,,E,43,19:21,20.0,62,,E,13,1016.6,30.3,16,,W,15,1014.0
,2020-12-26,15.0,33.3,0,,,NNW,39,11:56,20.9,57,,ENE,22,1016.5,31.2,17,,NW,19,1011.6
,2020-12-27,10.5,37.0,0,,,N,57,13:28,25.1,52,,N,28,1012.1,35.6,14,,NNW,24,1006.7
,2020-12-28,17.5,32.5,0,,,WNW,46,14:31,24.4,45,,SW,15,1006.4,32.0,22,,W,24,1005.6
,2020-12-29,8.7,29.4,0,,,E,41,21:00,17.8,43,,S,6,1012.8,27.3,16,,WNW,15,1011.1
,2020-12-30,16.2,32.7,0,,,E,43,00:00,22.0,56,,ENE,28,1016.2,30.6,27,,NNE,11,1013.2
,2020-12-31,17.4,32.5,0,,,ESE,48,19:30,23.1,55,,ENE,28,1017.3,31.1,28,,ENE,15,1013.6
