"Daily Weather Observations for Temora, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2130.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Temora Airport {station 073151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,3.4,12.4,0,,,E,20,09:24,9.1,92,,ENE,9,1024.9,11.6,100,,E,13,1022.2
,2021-07-2,6.5,13.6,5.2,,,N,30,23:13,10.8,100,,N,9,1019.6,13.0,80,,NNE,11,1017.8
,2021-07-3,2.6,11.3,4.6,,,SW,28,01:08,6.5,100,,W,6,1020.7,10.1,67,,WNW,19,1019.0
,2021-07-4,0.6,11.6,0.2,,,WSW,30,13:51,5.0,94,,N,7,1024.4,10.8,67,,W,13,1022.2
,2021-07-5,2.7,11.2,0.4,,,WSW,26,13:31,7.4,98,,SSW,9,1024.5,9.4,73,,SW,15,1023.3
,2021-07-6,0.3,8.8,0,,,SSW,26,02:19,5.2,97,,SSE,11,1024.8,8.2,70,,WSW,13,1023.6
,2021-07-7,-1.2,11.5,0,,,SSE,20,10:03,3.1,99,,S,9,1026.3,10.2,62,,SE,9,1023.9
,2021-07-8,-3.0,12.3,0,,,ENE,22,09:56,0.9,99,, ,Calm,1023.9,11.6,67,,ENE,9,1020.1
,2021-07-9,0.9,14.4,5.4,,,NW,26,08:10,7.9,99,,E,11,1016.4,14.1,70,,NW,9,1014.3
,2021-07-10,0.5,13.4,0.4,,,SSE,20,11:37,5.6,100,,S,6,1022.6,13.1,61,,SSW,11,1023.0
,2021-07-11,-0.9,15.4,0,,,E,30,10:23,8.2,84,,E,13,1028.4,15.0,57,,NE,13,1025.0
,2021-07-12,-0.4,14.7,0,,,NNE,26,10:42,8.5,99,,ENE,11,1024.1,12.6,75,,N,7,1020.3
,2021-07-13,-0.2,14.5,0.2,,,NNW,20,10:31,6.9,100,,N,6,1019.5,13.9,65,,NE,13,1015.8
,2021-07-14,3.7,10.4,0,,,N,39,11:56,9.6,79,,NNW,20,1014.8,9.8,99,,NNE,26,1008.8
,2021-07-15,3.2,17.4,4.8,,,NNW,46,23:13,9.7,100,,ENE,7,1007.1,16.5,67,,N,17,1003.2
,2021-07-16,6.9,12.2,4.4,,,WNW,56,14:15,9.0,98,,NNW,17,998.6,10.4,81,,WNW,33,998.1
,2021-07-17,5.8,9.4,9.4,,,WNW,61,10:33,6.9,88,,WNW,33,1001.2,7.6,94,,WNW,41,1002.6
,2021-07-18,6.0,9.7,7.6,,,W,43,02:17,7.0,98,,W,17,1016.9,9.2,89,,WNW,17,1017.7
,2021-07-19,3.9,11.6,0.2,,,WNW,28,14:25,8.1,100,,NNW,6,1020.4,11.0,74,,WNW,15,1016.6
,2021-07-20,3.9,10.4,0.6,,,WSW,50,19:24,7.0,91,,N,13,1013.3,8.3,99,,NW,22,1009.0
,2021-07-21,1.7,10.3,8.4,,,SW,44,00:17,4.1,93,,SW,22,1019.6,9.3,67,,SSW,17,1019.7
,2021-07-22,-2.2,11.3,0.2,,,N,30,12:27,3.1,100,,ENE,9,1019.4,10.3,62,,N,20,1014.1
,2021-07-23,3.0,11.6,2.6,,,NNE,35,13:01,7.0,99,,NNE,15,1008.8,11.0,80,,N,17,1003.8
,2021-07-24,6.3,10.7,2.2,,,WNW,59,23:15,7.9,96,,WNW,9,1007.1,9.9,89,,NNW,20,1004.7
,2021-07-25,,10.8,3.0,,,W,63,02:24,5.9,84,,W,31,1010.5,9.8,60,,WNW,30,1013.1
,2021-07-26,5.8,15.1,1.8,,,WNW,44,00:06,9.2,97,,NW,15,1019.3,13.8,76,,WNW,17,1017.8
,2021-07-27,0.7,16.4,1.0,,,N,41,16:02,8.6,99,,N,11,1019.0,15.8,55,,N,26,1014.9
,2021-07-28,8.6,13.2,0,,,N,44,00:55,10.8,70,,NNE,20,1008.1,11.8,80,,NNW,22,1005.8
,2021-07-29,0.0,13.4,1.2,,,SSW,31,13:30,6.2,95,,SW,13,1018.5,13.0,61,,SSW,13,1018.7
,2021-07-30,-2.5,13.2,0.2,,,N,30,12:30,5.8,100,,ENE,7,1022.2,12.3,54,,NNE,20,1017.8
,2021-07-31,5.8,18.1,0,,,NNE,39,08:08,11.8,57,,NNE,26,1013.5,17.9,54,,N,20,1008.3
