"Daily Weather Observations for Temora, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2130.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Temora Airport {station 073151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,1.5,22.7,0,,,NE,24,13:07,14.4,64,,NE,11,1028.2,22.3,41,,NE,17,1026.6
,2021-09-2,1.8,24.2,0,,,NNE,37,14:10,15.5,62,,ENE,19,1027.1,23.4,53,,NNE,26,1022.0
,2021-09-3,14.1,21.8,0,,,NNE,44,11:49,17.1,70,,NNE,30,1023.7,20.5,63,,N,26,1018.8
,2021-09-4,13.2,14.0,6.4,,,NNE,43,09:02,13.5,100,,NNE,26,1017.7,11.7,100,,WSW,17,1016.1
,2021-09-5,6.4,13.7,14.4,,,WSW,50,15:32,7.0,98,,W,20,1018.9,11.6,76,,SW,20,1019.8
,2021-09-6,4.6,14.8,0.2,,,WSW,35,07:41,8.1,93,,SW,22,1029.2,14.3,59,,SW,20,1028.8
,2021-09-7,-0.1,15.5,0,,,SW,35,09:39,10.8,83,,SW,11,1031.6,15.0,63,,WSW,20,1029.9
,2021-09-8,-0.3,17.6,0,,,S,24,13:53,9.5,100,,SSW,6,1033.6,17.0,52,,W,11,1030.2
,2021-09-9,0.2,20.3,0,,,NW,26,14:28,10.3,100,,N,7,1030.7,19.8,51,,NW,13,1026.0
,2021-09-10,2.8,22.8,0,,,W,31,13:31,13.3,74,,N,7,1024.5,22.3,41,,W,19,1021.7
,2021-09-11,0.6,24.6,0,,,NW,44,14:08,15.2,69,,N,15,1017.4,24.2,29,,NW,24,1011.7
,2021-09-12,3.3,15.0,0,,,WSW,39,01:23,13.8,71,,WSW,17,1009.3,12.9,78,,SW,11,1009.2
,2021-09-13,0.5,12.4,0.4,,,S,39,15:52,8.8,97,,WSW,17,1016.6,9.4,84,,WSW,13,1017.4
,2021-09-14,-0.7,15.8,4.8,,,SSW,30,13:44,9.4,86,,SSE,7,1026.3,13.9,51,,SW,15,1024.3
,2021-09-15,-1.4,16.5,0,,,NE,22,09:10,10.8,74,,ENE,15,1026.5,15.3,46,,SW,9,1023.4
,2021-09-16,-0.7,17.5,0,,,ENE,30,08:25,11.4,73,,E,20,1024.5,16.3,53,,NE,13,1020.9
,2021-09-17,-0.3,20.7,0,,,N,39,20:11,12.0,74,,NE,17,1020.8,19.2,53,,N,17,1017.4
,2021-09-18,11.8,17.4,10.8,,,WSW,39,12:45,13.1,98,,WSW,17,1016.3,15.9,55,,WSW,24,1017.6
,2021-09-19,-0.1,18.6,0.2,,,NW,46,14:09,10.5,79,,NW,7,1024.7,18.3,42,,W,19,1020.7
,2021-09-20,1.2,17.2,0,,,WSW,46,20:12,12.7,69,,NNW,9,1016.5,8.7,92,,W,15,1015.6
,2021-09-21,1.5,13.2,1.6,,,SW,44,08:12,4.5,87,,SW,28,1022.9,12.9,56,,SSW,20,1023.6
,2021-09-22,-0.1,15.8,0,,,SW,33,13:21,10.2,81,,SSW,17,1027.3,14.4,60,,SW,19,1024.7
,2021-09-23,0.9,20.9,0,,,W,22,11:08,11.3,94,,NNE,7,1024.1,19.5,54,,W,13,1019.9
,2021-09-24,1.3,23.3,0,,,WNW,52,14:24,15.6,76,,NNW,17,1016.0,22.1,31,,WNW,28,1011.2
,2021-09-25,3.0,14.9,0,,,WSW,37,11:53,10.2,66,,SW,20,1019.2,13.8,50,,WSW,22,1019.4
,2021-09-26,-1.9,17.8,0,,,E,43,08:44,11.7,66,,E,30,1025.2,17.0,43,,E,20,1023.0
,2021-09-27,-0.1,18.8,0,,,NE,31,11:24,11.1,69,,ENE,17,1024.5,18.7,58,,N,15,1019.1
,2021-09-28,3.3,22.6,0,,,NNE,50,09:58,16.2,68,,NNE,28,1019.9,21.5,59,,NNE,19,1015.1
,2021-09-29,13.3,15.7,15.2,,,N,39,06:34,13.6,99,,N,15,1015.9,15.2,99,,NE,20,1011.5
,2021-09-30,10.7,19.9,10.4,,,NW,43,19:35,15.1,91,,N,17,1011.0,18.3,70,,N,17,1007.8
